gp_code,af_prev,ast_prev,can_prev,chd_prev,ckd_prev,copd_prev,dem_prev,dep_prev,dm_prev,ep_prev,hf_prev,hyp_prev,ld_prev,mh_prev,ndh_prev,ob_prev,ost_prev,pad_prev,pc_prev,ra_prev,stia_prev
A81001,2.894467213114754,8.787632221318145,3.6885245901639343,3.8422131147540983,6.464,2.459016393442623,0.6915983606557377,12.0,10.119798234552333,1.216,1.3063524590163935,18.00717213114754,0.7940573770491803,1.2295081967213115,9.568,17.535999999999998,0.30864197530864196,0.665983606557377,0.8452868852459017,0.776156473144986,2.4077868852459017
A81002,3.0387034865124214,8.039182570511738,4.366137114831005,4.574048406013434,4.780615586116569,3.7903827700181254,1.0981981021430856,21.447282252783236,9.04162633107454,1.1329404060248853,0.7943277534918435,19.405053843693356,0.6983686960230302,0.9702526921846678,8.50687622789784,20.641781270464964,1.1163693726489505,0.8476383409745176,0.42648469986139254,0.8409785932721712,2.734833137861179
A81004,2.5912215758857746,6.5279091769157995,4.036664903930901,3.2963158822492513,5.181576616474756,2.4854574299312535,1.0135730653974968,11.658547387068202,8.36705676473805,1.0186005314437556,1.1457782478406489,16.428697338268993,0.7579763793407368,0.6962806275339327,16.862267493356953,21.279893711248892,1.020644861980979,0.49356601445443327,0.6786532698748458,0.8856247974943299,2.203419707385863
A81005,3.7905431809300505,6.8454001088731635,6.031001693369806,4.233424514784421,2.744853399875234,2.5270287872867008,1.4849550605705353,12.710542732376792,9.514263685427911,0.9981285090455396,1.3286440015631107,21.37553731926534,0.7424775302852676,1.0681255698840693,15.08109794135995,13.474734872114785,1.2243878060969515,0.5210368633580825,0.7294516087013156,0.8353584447144593,3.2304285528201118
A81006,2.760214834455095,8.567101752361722,3.746005846760487,4.385070365082602,4.611421210820095,4.4122645999048205,1.271330477938677,18.1021897810219,10.16891891891892,1.056247316444826,1.0265823645387178,18.95438167108573,0.9789924535998369,0.9517982187776192,9.600686990124517,19.562043795620436,1.0638297872340425,0.9517982187776192,0.7070501053776599,0.8318775476249896,2.5698551906995717
A81007,2.467972871137905,7.6229590303515975,4.09758854559156,4.069329314242653,4.694167852062589,3.9186134137151467,0.9702336096458177,20.957799905168326,8.998835855646101,0.995732574679943,0.8477769404672193,17.633760361718164,0.8477769404672193,1.0644310474755088,7.77619724988146,13.620199146514937,0.1463771651622347,0.8760361718161266,0.6311228334589299,0.9273039496279336,2.581009796533534
A81009,2.285293033542204,7.4247144340602285,3.1084899864848263,3.4156530286275957,3.9722863741339496,2.5555965106278413,0.7986239095712003,9.899923017705929,10.033394049787493,1.447267128560431,1.2900847769996313,16.13220297333825,1.5481017323995576,1.6709669492566654,16.289453425712086,21.15473441108545,2.136349355953503,0.8354834746283327,0.36859565057132326,0.5975500448162534,2.1009952082565424
A81011,2.6182859067183024,8.316267473956014,4.428354941909412,5.017679744064658,6.570713391739674,3.8137733625189427,1.0186900151540663,25.542344597413436,10.141800246609124,1.2724238631622862,0.934500757703317,20.643205926923724,0.9513386091934669,1.1870685300555648,9.355444305381727,20.1188986232791,0.05807200929152149,1.1870685300555648,0.6819329853510692,1.0138902970698571,2.769826570129651
A81012,1.5044247787610618,7.140158670192672,2.3008849557522124,2.831858407079646,2.7829747427502336,4.619469026548673,0.5309734513274336,17.46959775491113,10.227012153175878,1.4031805425631432,0.9380530973451328,16.070796460176993,0.6725663716814159,1.0265486725663717,13.11973807296539,21.258185219831617,0.4016064257028112,0.8849557522123894,0.7256637168141593,0.45004500450045004,1.7699115044247788
A81013,2.7730542838456507,8.542853174051952,4.041857423152387,3.518639633747547,4.19716935090288,3.4270765206017004,0.8109875735775016,24.678705059378558,11.153846153846155,1.171303074670571,0.6278613472858077,23.636363636363637,0.8371484630477436,0.9156311314584695,17.471937530502686,16.723605010574264,0.713436385255648,0.5886200130804448,0.2223675604970569,0.9796176331173961,2.171353826030085
