gp_code,extract_date,total_list,female_total,a0_14,a15_44,a45_64,a65_74,a75_84,a85plus,pct_0_14,pct_15_44,pct_45_64,pct_65_74,pct_75_84,pct_85plus,pct_female,pct_65plus
F84696,2026-07-01,5779,2920,775,3356,1183,277,141,47,13.411,58.072,20.471,4.793,2.44,0.813,50.528,8.046
F84698,2026-07-01,14485,7184,2136,9951,1976,302,89,31,14.746,68.699,13.642,2.085,0.614,0.214,49.596,2.913
F84710,2026-07-01,13090,6216,1551,7827,2692,611,315,94,11.849,59.794,20.565,4.668,2.406,0.718,47.487,7.792
F84716,2026-07-01,5347,2541,1237,2813,875,215,144,63,23.134,52.609,16.364,4.021,2.693,1.178,47.522,7.892
F84717,2026-07-01,11988,5949,1926,6832,2431,544,204,51,16.066,56.99,20.279,4.538,1.702,0.425,49.625,6.665
F84718,2026-07-01,14050,6253,1956,8794,2523,536,179,62,13.922,62.591,17.957,3.815,1.274,0.441,44.505,5.53
F84719,2026-07-01,5773,2813,590,3209,1363,386,150,75,10.22,55.586,23.61,6.686,2.598,1.299,48.727,10.584
F84720,2026-07-01,5134,2490,1046,2135,1276,395,209,73,20.374,41.586,24.854,7.694,4.071,1.422,48.5,13.187
F84724,2026-07-01,16943,7769,3339,8824,3633,811,250,86,19.707,52.081,21.442,4.787,1.476,0.508,45.854,6.77
F84729,2026-07-01,4973,2212,918,2625,1130,200,72,28,18.46,52.785,22.723,4.022,1.448,0.563,44.48,6.033
F84730,2026-07-01,9369,4378,1395,4806,2494,483,150,41,14.89,51.297,26.62,5.155,1.601,0.438,46.729,7.194
F84731,2026-07-01,2360,1169,205,1279,557,206,90,23,8.686,54.195,23.602,8.729,3.814,0.975,49.534,13.517
F84733,2026-07-01,1076,162,0,556,461,52,6,1,0.0,51.673,42.844,4.833,0.558,0.093,15.056,5.483
F84735,2026-07-01,8463,4047,1531,4113,2107,439,204,69,18.091,48.6,24.897,5.187,2.41,0.815,47.82,8.413
F84739,2026-07-01,5048,2236,851,2652,1307,172,51,15,16.858,52.536,25.891,3.407,1.01,0.297,44.295,4.715
F84740,2026-07-01,3839,1464,542,1879,1168,201,39,10,14.118,48.945,30.425,5.236,1.016,0.26,38.135,6.512
F84741,2026-07-01,2323,989,301,1272,488,152,68,42,12.957,54.757,21.007,6.543,2.927,1.808,42.574,11.279
F84747,2026-07-01,26379,12619,3993,15981,5162,849,298,96,15.137,60.582,19.569,3.218,1.13,0.364,47.837,4.712
F84749,2026-07-01,24856,11660,3552,16443,3915,675,212,59,14.29,66.153,15.751,2.716,0.853,0.237,46.91,3.806
F85002,2026-07-01,93735,47258,16953,40213,23907,7028,3963,1671,18.086,42.901,25.505,7.498,4.228,1.783,50.417,13.508
F85004,2026-07-01,12049,6085,1923,4974,3231,1097,599,225,15.96,41.281,26.816,9.104,4.971,1.867,50.502,15.943
F85007,2026-07-01,15607,7301,2174,6817,4625,1236,551,204,13.93,43.679,29.634,7.92,3.53,1.307,46.78,12.757
F85008,2026-07-01,11161,5372,1369,5038,3187,968,433,166,12.266,45.139,28.555,8.673,3.88,1.487,48.132,14.04
F85010,2026-07-01,4156,2007,615,1657,1112,419,246,107,14.798,39.87,26.756,10.082,5.919,2.575,48.292,18.576
F85013,2026-07-01,9013,4506,1376,4328,2378,579,238,114,15.267,48.02,26.384,6.424,2.641,1.265,49.994,10.33
F85014,2026-07-01,15995,8403,2023,6683,4440,1327,1106,416,12.648,41.782,27.759,8.296,6.915,2.601,52.535,17.812
F85016,2026-07-01,6847,3458,1033,2411,1754,779,594,276,15.087,35.213,25.617,11.377,8.675,4.031,50.504,24.084
F85017,2026-07-01,6338,2971,768,2855,1859,542,213,101,12.117,45.046,29.331,8.552,3.361,1.594,46.876,13.506
F85019,2026-07-01,14484,7354,2227,6476,3985,1126,502,168,15.376,44.711,27.513,7.774,3.466,1.16,50.773,12.4
F85020,2026-07-01,10103,5123,1756,3853,2659,984,617,234,17.381,38.137,26.319,9.74,6.107,2.316,50.708,18.163
F85023,2026-07-01,12440,6333,3011,5812,2759,521,243,94,24.204,46.72,22.178,4.188,1.953,0.756,50.908,6.897
F85025,2026-07-01,14917,7738,2595,6121,3868,1220,829,284,17.396,41.034,25.93,8.179,5.557,1.904,51.874,15.64
F85028,2026-07-01,6537,2873,745,2834,2067,559,226,106,11.397,43.353,31.62,8.551,3.457,1.622,43.95,13.63
F85029,2026-07-01,11725,6139,1747,3971,3294,1251,1005,457,14.9,33.868,28.094,10.67,8.571,3.898,52.358,23.139
F85030,2026-07-01,12567,6188,2085,5513,3405,901,439,224,16.591,43.869,27.095,7.17,3.493,1.782,49.24,12.445
F85031,2026-07-01,12152,6073,1715,6125,3037,745,373,157,14.113,50.403,24.992,6.131,3.069,1.292,49.975,10.492
F85032,2026-07-01,9339,4693,1559,3603,2501,804,567,305,16.693,38.58,26.78,8.609,6.071,3.266,50.252,17.946
F85033,2026-07-01,20391,10427,2915,7090,5849,2394,1538,605,14.296,34.77,28.684,11.74,7.543,2.967,51.135,22.25
F85034,2026-07-01,8926,4426,1382,4613,1945,550,290,146,15.483,51.68,21.79,6.162,3.249,1.636,49.585,11.046
F85035,2026-07-01,11608,6047,1931,4165,3261,1069,748,434,16.635,35.88,28.093,9.209,6.444,3.739,52.093,19.392
F85039,2026-07-01,7088,3711,1504,3212,1645,433,217,77,21.219,45.316,23.208,6.109,3.062,1.086,52.356,10.257
F85044,2026-07-01,6990,3507,1366,3237,1631,465,201,90,19.542,46.309,23.333,6.652,2.876,1.288,50.172,10.815
