month,gp_code,supplier,oc_total,oc_clinical,oc_admin,oc_rate_1k,list_size,oc_capability,oc_usage
2023-04,A81058,ECONSULT HEALTH LIMITED,206.0,157.0,49.0,22.05331334974842,9341.0,1.0,1.0
2023-04,A81060,ECONSULT HEALTH LIMITED,90.0,55.0,35.0,15.0,6000.0,1.0,1.0
2023-04,A81063,ECONSULT HEALTH LIMITED,56.0,38.0,18.0,10.19850664724094,5491.0,1.0,1.0
2023-04,A81064,ECONSULT HEALTH LIMITED,170.0,126.0,44.0,20.073208170976503,8469.0,1.0,1.0
2023-04,A81065,ECONSULT HEALTH LIMITED,36.0,21.0,15.0,9.44633954342692,3811.0,1.0,1.0
2023-04,A81066,"ECONSULT HEALTH LIMITED, ACCURX LIMITED",25.0,20.0,5.0,4.819741661846925,5187.0,1.0,1.0
2023-04,A81067,ECONSULT HEALTH LIMITED,156.0,84.0,72.0,13.459879206212252,11590.0,1.0,1.0
2023-04,A81070,ECONSULT HEALTH LIMITED,76.0,49.0,27.0,11.695906432748536,6498.0,1.0,1.0
2023-04,A81602,None/Unknown,0.0,0.0,0.0,0.0,2298.0,0.0,0.0
2023-04,A81608,ECONSULT HEALTH LIMITED,19.0,10.0,9.0,2.1595817231188907,8798.0,1.0,1.0
2023-04,A81610,None/Unknown,0.0,0.0,0.0,0.0,7998.0,0.0,0.0
2023-04,A81611,ECONSULT HEALTH LIMITED,131.0,108.0,23.0,15.85188770571152,8264.0,1.0,1.0
2023-04,A81612,ECONSULT HEALTH LIMITED,66.0,18.0,48.0,17.322834645669293,3810.0,1.0,1.0
2023-04,A81618,ECONSULT HEALTH LIMITED,83.0,67.0,16.0,8.25213760190893,10058.0,1.0,1.0
2023-04,A81621,ECONSULT HEALTH LIMITED,20.0,14.0,6.0,7.538635506973238,2653.0,1.0,1.0
2023-04,A81622,ECONSULT HEALTH LIMITED,204.0,124.0,80.0,35.21491455204557,5793.0,1.0,1.0
2023-04,A81629,ECONSULT HEALTH LIMITED,34.0,20.0,14.0,5.720053835800807,5944.0,1.0,1.0
2023-04,A81630,None/Unknown,0.0,0.0,0.0,0.0,762.0,0.0,0.0
2023-04,A81631,ECONSULT HEALTH LIMITED,271.0,159.0,112.0,37.675517864590574,7193.0,1.0,1.0
2023-04,A81633,ECONSULT HEALTH LIMITED,0.0,0.0,0.0,0.0,625.0,1.0,0.0
2023-04,A81634,ECONSULT HEALTH LIMITED,5.0,3.0,2.0,1.69664065151001,2947.0,1.0,1.0
2023-04,A82003,None/Unknown,0.0,0.0,0.0,0.0,11623.0,0.0,0.0
2023-04,A82004,ACCURX LIMITED,1.0,1.0,0.0,0.4480286738351254,2232.0,1.0,1.0
2023-04,A82005,ACCURX LIMITED,41.0,12.0,29.0,6.845884120888295,5989.0,1.0,1.0
2023-04,A82006,ACCURX LIMITED,104.0,88.0,16.0,20.56148675365757,5058.0,1.0,1.0
2023-04,A82007,ACCURX LIMITED,28.0,7.0,21.0,2.7607966870439755,10142.0,1.0,1.0
2023-04,A82008,ACCURX LIMITED,37.0,12.0,25.0,3.3315325049522784,11106.0,1.0,1.0
2023-04,A82009,ACCURX LIMITED,0.0,0.0,0.0,0.0,8888.0,1.0,0.0
2023-04,A82010,None/Unknown,0.0,0.0,0.0,0.0,6569.0,0.0,0.0
2023-04,A82012,ACCURX LIMITED,88.0,20.0,68.0,5.2145058070632855,16876.0,1.0,1.0
2023-04,A82013,ACCURX LIMITED,526.0,475.0,51.0,78.60131500298864,6692.0,1.0,1.0
2023-04,A82014,ACCURX LIMITED,19.0,19.0,0.0,4.365808823529412,4352.0,1.0,1.0
2023-04,A82015,EMIS HEALTH SECONDARY CARE,72.0,0.0,0.0,13.330864654693574,5401.0,1.0,1.0
2023-04,A82016,ECONSULT HEALTH LIMITED,2182.0,1793.0,389.0,57.68519008089674,37826.0,1.0,1.0
2023-04,A82018,ACCURX LIMITED,618.0,370.0,248.0,46.83947248749432,13194.0,1.0,1.0
2023-04,A82019,EMIS HEALTH SECONDARY CARE,163.0,0.0,0.0,20.687904556415788,7879.0,1.0,1.0
2023-04,A82020,EMIS HEALTH SECONDARY CARE,300.0,0.0,0.0,18.39249586168843,16311.0,1.0,1.0
2023-04,A82021,ACCURX LIMITED,582.0,428.0,154.0,32.32974113987334,18002.0,1.0,1.0
2023-04,A82022,EMIS HEALTH SECONDARY CARE,14.0,0.0,0.0,2.7317073170731705,5125.0,1.0,1.0
2023-04,A82023,ACCURX LIMITED,188.0,122.0,66.0,32.85564487941279,5722.0,1.0,1.0
2023-04,A82024,EMIS HEALTH SECONDARY CARE,6.0,0.0,0.0,1.020408163265306,5880.0,1.0,1.0
2023-04,A82025,ACCURX LIMITED,4.0,0.0,4.0,0.3584550586970159,11159.0,1.0,1.0
2023-04,A82026,ACCURX LIMITED,890.0,516.0,374.0,51.02333314223471,17443.0,1.0,1.0
2023-04,A82027,ACCURX LIMITED,56.0,10.0,46.0,5.656565656565657,9900.0,1.0,1.0
2023-04,A82028,EMIS HEALTH SECONDARY CARE,11.0,0.0,0.0,1.3132760267430754,8376.0,1.0,1.0
2023-04,A82029,ACCURX LIMITED,6.0,4.0,2.0,1.720676799541153,3487.0,1.0,1.0
2023-04,A82030,ACCURX LIMITED,14.0,8.0,6.0,2.1250758955676985,6588.0,1.0,1.0
2023-04,A82031,ACCURX LIMITED,5.0,4.0,1.0,1.5610365282547611,3203.0,1.0,1.0
2023-04,A82032,ECONSULT HEALTH LIMITED,411.0,345.0,66.0,30.04385964912281,13680.0,1.0,1.0
2023-04,A82033,ACCURX LIMITED,18.0,1.0,17.0,2.2424317926996387,8027.0,1.0,1.0
2023-04,A82035,ACCURX LIMITED,662.0,414.0,248.0,46.10348910091232,14359.0,1.0,1.0
2023-04,A82036,ACCURX LIMITED,1772.0,1397.0,375.0,162.07811213756517,10933.0,1.0,1.0
2023-04,A82037,"EMIS HEALTH SECONDARY CARE, ACCURX LIMITED",35.0,19.0,15.0,8.113120074177099,4314.0,1.0,1.0
2023-04,A82038,ACCURX LIMITED,614.0,412.0,202.0,126.7547481420314,4844.0,1.0,1.0
2023-04,A82039,ACCURX LIMITED,27.0,6.0,21.0,3.0850091407678244,8752.0,1.0,1.0
2023-04,A82041,EMIS HEALTH SECONDARY CARE,213.0,0.0,0.0,21.36194965399659,9971.0,1.0,1.0
2023-04,A82044,EMIS HEALTH SECONDARY CARE,346.0,0.0,0.0,14.528658408566027,23815.0,1.0,1.0
2023-04,A82045,ACCURX LIMITED,49.0,31.0,18.0,5.460826925220105,8973.0,1.0,1.0
2023-04,A82046,ACCURX LIMITED,10.0,4.0,6.0,1.9932230416583616,5017.0,1.0,1.0
2023-04,A82047,EMIS HEALTH SECONDARY CARE,751.0,0.0,0.0,22.86497183741817,32845.0,1.0,1.0
2023-04,A82053,None/Unknown,0.0,0.0,0.0,0.0,7591.0,0.0,0.0
2023-04,A82055,ACCURX LIMITED,19.0,11.0,8.0,2.768065268065268,6864.0,1.0,1.0
2023-04,A82058,EMIS HEALTH SECONDARY CARE,10.0,0.0,0.0,2.3277467411545625,4296.0,1.0,1.0
2023-04,A82062,ACCURX LIMITED,6.0,0.0,6.0,1.1037527593818983,5436.0,1.0,1.0
2023-04,A82064,ECONSULT HEALTH LIMITED,10.0,4.0,6.0,1.8031013342949875,5546.0,1.0,1.0
2023-04,A82068,None/Unknown,0.0,0.0,0.0,0.0,4547.0,0.0,0.0
2023-04,A82070,PATCHS HEALTH LIMITED,2.0,2.0,0.0,0.3040437823046519,6578.0,1.0,1.0
2023-04,A82071,KLINIK HEALTHCARE SOLUTIONS UK LIMITED,0.0,0.0,0.0,0.0,4111.0,1.0,0.0
2023-04,A82072,ACCURX LIMITED,28.0,11.0,17.0,4.042153890573119,6927.0,1.0,1.0
2023-04,A82075,EMIS HEALTH SECONDARY CARE,11.0,0.0,0.0,1.5178694632261625,7247.0,1.0,1.0
2023-04,A82077,None/Unknown,0.0,0.0,0.0,0.0,3891.0,0.0,0.0
2023-04,A82608,PATCHS HEALTH LIMITED,53.0,34.0,19.0,11.587232181897685,4574.0,1.0,1.0
2023-04,A82613,None/Unknown,0.0,0.0,0.0,0.0,1056.0,0.0,0.0
2023-04,A82617,ACCURX LIMITED,98.0,71.0,27.0,36.095764272559855,2715.0,1.0,1.0
2023-04,A82620,ACCURX LIMITED,1.0,1.0,0.0,1.0626992561105206,941.0,1.0,1.0
2023-04,A82629,PATCHS HEALTH LIMITED,251.0,51.0,200.0,85.46135512427647,2937.0,1.0,1.0
2023-04,A82631,ACCURX LIMITED,83.0,74.0,9.0,22.46886843530049,3694.0,1.0,1.0
2023-04,A82646,ACCURX LIMITED,58.0,11.0,47.0,15.85999453103637,3657.0,1.0,1.0
2023-04,A82647,ACCURX LIMITED,1.0,0.0,1.0,0.3249918752031199,3077.0,1.0,1.0
