gp_code,gp_name,postcode,pcn_name,region,list_size,wd_total,clin,adm,unk,unk_share,clin_of_cat,category,oc_rate_12m,supplier,satisfaction,continuity
N81066,GROVE HOUSE PRACTICE,WA7 1AB,RUNCORN PCN,NORTH WEST,14733.2,1805.0,0.0,0.0,1805.0,100.0,,no split (uncategorised),195.2,Blinx Healthcare,65.3,14.0
N81072,MURDISHAW,WA7 6ES,RUNCORN PCN,NORTH WEST,7968.0,803.0,0.0,0.0,803.0,100.0,,no split (uncategorised),16.2,Blinx Healthcare,52.2,30.1
N81092,HOPE FARM MEDICAL CENTRE,CH66 2WW,ONE ELLESMERE PORT PCN,NORTH WEST,14170.7,462.0,0.0,0.0,462.0,100.0,,no split (uncategorised),2.3,Blinx Healthcare,87.8,58.7
N81093,WHITBY HEALTH PARTNERSHIP,CH65 6TG,ONE ELLESMERE PORT PCN,NORTH WEST,16128.1,2366.0,0.0,0.0,2366.0,100.0,,no split (uncategorised),65.4,Blinx Healthcare,72.2,27.5
N81111,MEREPARK MEDICAL CENTRE,ST7 2LU,SMASH PCN,NORTH WEST,7268.8,115.0,0.0,0.0,115.0,100.0,,no split (uncategorised),0.0,Blinx Healthcare,78.9,45.9
N81121,NORTHGATE VILLAGE SURGERY,CH1 4DS,CHESTER CENTRAL PCN,NORTH WEST,7093.8,204.0,0.0,0.0,204.0,100.0,,no split (uncategorised),14.6,Blinx Healthcare,84.1,45.0
N82024,WEST DERBY MEDICAL CENTRE,L12 8TQ,IGPC PCN,NORTH WEST,12646.3,1257.0,0.0,0.0,1257.0,100.0,,no split (uncategorised),8.1,Blinx Healthcare,49.2,6.2
N82039,STORRSDALE MEDICAL CENTRE,L18 7JY,CHILDWALL & WAVERTREE PCN,NORTH WEST,3952.1,367.0,0.0,0.0,367.0,100.0,,no split (uncategorised),9.7,Blinx Healthcare,89.5,36.7
N82053,AINTREE PARK GROUP PRACTICE,L9 8AL,NORTH LIVERPOOL PCN,NORTH WEST,15829.0,291.0,0.0,0.0,291.0,100.0,,no split (uncategorised),10.8,Blinx Healthcare,69.1,29.5
N82081,ISLINGTON HOUSE MEDICAL CENTRE,L6 2EH,ANFIELD & EVERTON PCN,NORTH WEST,5780.6,130.0,0.0,0.0,130.0,100.0,,no split (uncategorised),27.3,Blinx Healthcare,91.0,46.0
N82082,ST. JAMES' HEALTH CENTRE,L1 5DZ,CENTRAL LIVERPOOL PCN,NORTH WEST,8136.6,162.0,0.0,0.0,162.0,100.0,,no split (uncategorised),0.0,Blinx Healthcare,83.3,44.1
N82092,THE VALLEY MEDICAL CENTRE,L25 1RY,CHILDWALL & WAVERTREE PCN,NORTH WEST,8517.4,1264.0,0.0,0.0,1264.0,100.0,,no split (uncategorised),7.3,Blinx Healthcare,77.7,40.0
N82094,BELLE VALE HEALTH CENTRE,L25 2XE,IGPC PCN,NORTH WEST,8447.0,411.0,0.0,0.0,411.0,100.0,,no split (uncategorised),10.4,Blinx Healthcare,74.4,33.9
N82115,VAUXHALL HEALTH CENTRE,L5 8XR,CENTRAL LIVERPOOL PCN,NORTH WEST,8838.7,287.0,0.0,0.0,287.0,100.0,,no split (uncategorised),0.0,Blinx Healthcare,78.1,37.6
N82116,HILLFOOT HEALTH,L25 0ND,SWAGGA PCN,NORTH WEST,7818.8,1190.0,0.0,0.0,1190.0,100.0,,no split (uncategorised),20.1,Blinx Healthcare,83.3,78.8
N82117,BROWNLOW GROUP PRACTICE,L69 3GF,BROWNLOW HEALTH PCN,NORTH WEST,58391.2,2618.0,0.0,0.0,2618.0,100.0,,no split (uncategorised),0.0,Blinx Healthcare,71.2,31.1
N82617,BROWNLOW AT MARYBONE,L3 2BG,BROWNLOW HEALTH PCN,NORTH WEST,10010.9,373.0,0.0,0.0,373.0,100.0,,no split (uncategorised),0.0,Blinx Healthcare,67.0,73.4
N82645,BROWNLOW HEALTH AT KENSINGTON,L7 2PF,BROWNLOW HEALTH PCN,NORTH WEST,8970.4,187.0,0.0,0.0,187.0,100.0,,no split (uncategorised),0.0,Blinx Healthcare,79.7,40.5
N83031,ROSEHEATH SURGERY,L26 9UH,WEST KNOWSLEY PCN,NORTH WEST,2806.8,862.0,0.0,0.0,862.0,100.0,,no split (uncategorised),0.1,Blinx Healthcare,72.1,19.4
N83608,DR MAASSARANI & PARTNERS,L33 1XT,KIRKBY PCN,NORTH WEST,16003.2,1708.0,0.0,0.0,1708.0,100.0,,no split (uncategorised),23.2,Blinx Healthcare,55.8,30.7
N83620,WINDERMERE MEDICAL CENTRE,WA11 7AF,ST HELENS NORTH PCN,NORTH WEST,3612.7,545.0,0.0,0.0,545.0,100.0,,no split (uncategorised),26.2,Blinx Healthcare,86.0,56.9
N84006,CHAPEL LANE SURGERY,L37 4DL,SOUTHPORT & FORMBY PCN,NORTH WEST,11608.7,1222.0,0.0,0.0,1222.0,100.0,,no split (uncategorised),140.6,Blinx Healthcare,73.0,39.9
N84018,THE VILLAGE SURGERY FORMBY,L37 4AW,SOUTHPORT & FORMBY PCN,NORTH WEST,14574.9,2145.0,0.0,0.0,2145.0,100.0,,no split (uncategorised),80.2,Blinx Healthcare,79.9,22.5
N84020,BLUNDELLSANDS SURGERY,L23 6TZ,SOUTH SEFTON PCN,NORTH WEST,10248.7,221.0,0.0,0.0,221.0,100.0,,no split (uncategorised),39.1,Blinx Healthcare,79.2,42.5
N84605,LITHERLAND PRACTICE,L21 9JN,Unallocated,NORTH WEST,7701.3,179.0,0.0,0.0,179.0,100.0,,no split (uncategorised),0.0,Blinx Healthcare,50.7,28.5
N84621,GREAT CROSBY AND THORNTON,L23 1TQ,Unallocated,NORTH WEST,6096.9,110.0,0.0,0.0,110.0,100.0,,no split (uncategorised),0.0,Blinx Healthcare,48.1,8.6
N85007,MYRTLE GROUP PRACTICE,CH60 7RN,HEALTHIER WEST WIRRAL PCN,NORTH WEST,20380.9,2765.0,0.0,0.0,2765.0,100.0,,no split (uncategorised),217.4,Blinx Healthcare,78.3,38.8
N85008,WEST WIRRAL GROUP PRACTICE,CH49 5PL,HEALTHIER WEST WIRRAL PCN,NORTH WEST,13645.2,2048.0,0.0,0.0,2048.0,100.0,,no split (uncategorised),246.2,Blinx Healthcare,84.5,26.0
N85023,MANOR HEALTH CTR,CH45 4JG,WALLASEY PCN,NORTH WEST,5772.2,109.0,0.0,0.0,109.0,100.0,,no split (uncategorised),22.3,Blinx Healthcare,84.9,47.1
N85028,MORETON GROUP PRACTICE,CH46 8SA,MORETON AND MEOLS PCN,NORTH WEST,13213.4,1439.0,0.0,0.0,1439.0,100.0,,no split (uncategorised),170.1,Blinx Healthcare,91.5,64.5
N85046,HOYLAKE RD MET CTR,CH46 6DE,MORETON AND MEOLS PCN,NORTH WEST,5022.8,559.0,0.0,0.0,559.0,100.0,,no split (uncategorised),4.0,Blinx Healthcare,82.5,66.2
N85048,MORETON MEDICAL CENTRE,CH46 0PE,MORETON AND MEOLS PCN,NORTH WEST,5287.8,289.0,0.0,0.0,289.0,100.0,,no split (uncategorised),53.1,Blinx Healthcare,80.7,51.0
N85620,THE VILLAGE MEDICAL CENTRE,CH45 3HE,WALLASEY PCN,NORTH WEST,6447.5,258.0,0.0,0.0,258.0,100.0,,no split (uncategorised),49.6,Blinx Healthcare,90.7,46.7
E85122,THE FLORENCE ROAD SURGERY,W5 3TX,SOUTH CENTRAL EALING PCN,LONDON,14376.5,5815.0,0.0,0.0,5815.0,100.0,,no split (uncategorised),237.7,EVERGREEN HEALTH SOLUTIONS,75.1,42.8
E87046,THE RANDOLPH SURGERY,W9 1NH,ST JOHN'S WOOD & MAIDA VALE PCN,LONDON,13401.1,2760.0,0.0,0.0,2760.0,100.0,,no split (uncategorised),22.0,EVERGREEN HEALTH SOLUTIONS,48.6,37.6
E87063,KINGS ROAD MEDICAL CENTRE,SW10 0UD,K AND C SOUTH PCN,LONDON,15453.4,866.0,0.0,0.0,866.0,100.0,,no split (uncategorised),15.8,EVERGREEN HEALTH SOLUTIONS,70.7,20.8
F81021,GREAT BENTLEY SURGERY,CO7 8PJ,TENDRING PCN,EAST OF ENGLAND,11339.4,4785.0,0.0,0.0,4785.0,100.0,,no split (uncategorised),222.5,EVERGREEN HEALTH SOLUTIONS,90.6,59.9
F81026,CARADOC SURGERY,CO13 9JT,Unallocated,EAST OF ENGLAND,8426.7,2742.0,0.0,0.0,2742.0,100.0,,no split (uncategorised),98.9,EVERGREEN HEALTH SOLUTIONS,74.3,23.8
F81052,ST. JAMES SURGERY,CO15 1DA,TENDRING PCN,EAST OF ENGLAND,15124.6,7427.0,0.0,0.0,7427.0,100.0,,no split (uncategorised),257.4,EVERGREEN HEALTH SOLUTIONS,83.0,71.5
F81156,RANWORTH SURGERY,CO15 1NJ,Unallocated,EAST OF ENGLAND,9323.0,3518.0,0.0,0.0,3518.0,100.0,,no split (uncategorised),155.8,EVERGREEN HEALTH SOLUTIONS,81.4,52.5
F81681,CLACTON COMMUNITY PRACTICES,CO15 2NB,Unallocated,EAST OF ENGLAND,15990.8,6304.0,0.0,0.0,6304.0,100.0,,no split (uncategorised),72.1,EVERGREEN HEALTH SOLUTIONS,52.0,14.3
F82627,RAINHAM HEALTH CENTRE,RM13 9AB,HAVERING SOUTH PCN,LONDON,8656.9,1132.0,0.0,0.0,1132.0,100.0,,no split (uncategorised),0.0,EVERGREEN HEALTH SOLUTIONS,53.1,36.4
F83048,BRUNSWICK MEDICAL CENTRE UHPC,WC1N 1AF,CENTRAL CAMDEN PCN,LONDON,9286.8,1550.0,0.0,0.0,1550.0,100.0,,no split (uncategorised),8.2,EVERGREEN HEALTH SOLUTIONS,49.3,49.5
F83635,KINGS CROSS SURGERY,NW1 1HY,CENTRAL CAMDEN PCN,LONDON,9002.8,1328.0,0.0,0.0,1328.0,100.0,,no split (uncategorised),12.9,EVERGREEN HEALTH SOLUTIONS,55.0,19.1
F85032,SOUTHGATE,N14 4PR,ENFIELD UNITY PCN,LONDON,9761.8,839.0,0.0,0.0,839.0,100.0,,no split (uncategorised),0.5,SILICON PRACTICE LTD,63.9,58.5
G85040,QUEENS ROAD SURGERY,SE15 2UA,SOUTH SOUTHWARK PCN,LONDON,14561.9,3285.0,0.0,0.0,3285.0,100.0,,no split (uncategorised),40.1,EVERGREEN HEALTH SOLUTIONS,75.2,30.2
G85724,EDITH CAVELL PRACTICE,SW2 4TP,AT MEDICS STREATHAM PCN,LONDON,21045.8,4695.0,0.0,0.0,4695.0,100.0,,no split (uncategorised),84.5,EVERGREEN HEALTH SOLUTIONS,61.7,20.4
H83019,FRIENDS ROAD MEDICAL PRACTICE,CR0 1ED,GPNET5 PCN,LONDON,7466.8,497.0,0.0,0.0,497.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,70.3,43.2
H84032,HAMPTON WICK SURGERY,KT1 4DY,TEDDINGTON PCN,LONDON,9042.2,723.0,0.0,0.0,723.0,100.0,,no split (uncategorised),0.4,SILICON PRACTICE LTD,81.3,48.1
H84635,MANOR DRIVE MEDICAL CENTRE,KT4 7LG,NEW MALDEN & WORCESTER PARK PCN,LONDON,15871.7,1358.0,0.0,0.0,1358.0,100.0,,no split (uncategorised),0.4,SILICON PRACTICE LTD,85.1,63.0
J82103,ST MARY'S SURGERY,SP10 1DP,ANDOVER PCN,SOUTH EAST,12772.4,790.0,0.0,0.0,790.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,86.1,46.1
J82214,WHITCHURCH SURGERY,RG28 7AE,WINCHESTER RURAL NORTH & EAST PCN,SOUTH EAST,9908.8,611.0,0.0,0.0,611.0,100.0,,no split (uncategorised),0.3,"Blinx Healthcare, SILICON PRACTICE LTD",92.6,55.2
K81004,THE POTTERIES,RG30 6BW,THE TRIANGLE PCN,SOUTH EAST,14628.2,3292.0,0.0,0.0,3292.0,100.0,,no split (uncategorised),16.7,EVERGREEN HEALTH SOLUTIONS,72.8,11.9
K82618,PROSPECT HOUSE SURGERY,HP16 0BG,MID CHILTERN PCN,SOUTH EAST,3500.9,227.0,0.0,0.0,227.0,100.0,,no split (uncategorised),3.6,EVERGREEN HEALTH SOLUTIONS,78.1,58.4
L81016,GRAHAM ROAD SURGERY,BS23 1YA,PIER HEALTH PCN,SOUTH WEST,9862.0,2856.0,0.0,0.0,2856.0,100.0,,no split (uncategorised),152.7,EVERGREEN HEALTH SOLUTIONS,55.8,44.2
L81044,TUDOR LODGE SURGERY,BS23 4JP,PIER HEALTH PCN,SOUTH WEST,12154.8,5333.0,0.0,0.0,5333.0,100.0,,no split (uncategorised),255.0,EVERGREEN HEALTH SOLUTIONS,80.0,66.3
L81058,THE MILTON SURGERY,BS22 8AG,PIER HEALTH PCN,SOUTH WEST,9180.8,3220.0,0.0,0.0,3220.0,100.0,,no split (uncategorised),160.6,EVERGREEN HEALTH SOLUTIONS,79.9,43.1
L82045,PROBUS SURGERY,TR2 4JZ,ARBENNEK HEALTH PCN,SOUTH WEST,9487.6,1361.0,0.0,0.0,1361.0,100.0,,no split (uncategorised),0.0,SILICON PRACTICE LTD,71.2,43.3
L83118,CHELSTON HALL SURGERY,TQ2 6HW,TORQUAY PCN,SOUTH WEST,18170.1,3287.0,0.0,0.0,3287.0,100.0,,no split (uncategorised),97.5,EVERGREEN HEALTH SOLUTIONS,76.4,29.9
L84008,ST. GEORGE'S SURGERY,GL50 4DP,ST PAUL'S PCN,SOUTH WEST,11924.7,489.0,0.0,0.0,489.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,85.8,17.7
L84012,PHOENIX HEALTH GROUP,GL7 1XG,SOUTH COTSWOLDS PCN,SOUTH WEST,24662.8,2114.0,0.0,0.0,2114.0,100.0,,no split (uncategorised),0.3,SILICON PRACTICE LTD,82.9,70.3
L84024,DRYBROOK SURGERY,GL17 9JE,FOREST GREEN PCN,SOUTH WEST,3661.4,325.0,0.0,0.0,325.0,100.0,,no split (uncategorised),0.4,SILICON PRACTICE LTD,88.6,64.9
L84027,CULVERHAY SURGERY,GL12 7LS,BERKELEY VALE PCN,SOUTH WEST,17988.3,323.0,0.0,0.0,323.0,100.0,,no split (uncategorised),0.1,SILICON PRACTICE LTD,83.9,64.2
L84029,DEAN MEDICAL PRACTICE,GL15 4ED,WEST FOREST OF DEAN PCN,SOUTH WEST,3260.1,1093.0,0.0,0.0,1093.0,100.0,,no split (uncategorised),2.3,SILICON PRACTICE LTD,92.2,58.2
L84034,"PARTNERS IN HEALTH, PAVILION FAMILY DRS",GL1 5JJ,GLOUCESTER INNER CITY PCN,SOUTH WEST,12307.8,373.0,0.0,0.0,373.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,65.0,17.5
L84039,BEECHES GREEN SURGERY,GL5 4BH,STROUD COTSWOLD PCN,SOUTH WEST,8868.5,218.0,0.0,0.0,218.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,96.2,73.3
L84051,CHIPPING SURGERY,GL12 7BD,BERKELEY VALE PCN,SOUTH WEST,9705.0,902.0,0.0,0.0,902.0,100.0,,no split (uncategorised),0.4,SILICON PRACTICE LTD,83.6,50.4
L84080,THE WILLOW TREE PRACTICE,GL10 2NG,SEVERN HEALTH PCN,SOUTH WEST,11138.3,407.0,0.0,0.0,407.0,100.0,,no split (uncategorised),0.1,SILICON PRACTICE LTD,71.9,7.7
L84081,KINGSHOLM SURGERY,GL1 3EN,GLOUCESTER INNER CITY PCN,SOUTH WEST,4456.1,151.0,0.0,0.0,151.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,79.4,20.1
L84085,SEVERNBANK SURGERY,GL15 5PF,WEST FOREST OF DEAN PCN,SOUTH WEST,3829.6,132.0,0.0,0.0,132.0,100.0,,no split (uncategorised),0.1,SILICON PRACTICE LTD,84.8,64.2
L84606,THE ALNEY PRACTICE,GL2 8DH,NORTH & SOUTH GLOUCESTER (NSG) PCN,SOUTH WEST,11848.4,647.0,0.0,0.0,647.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,75.2,20.3
L84613,STONEHOUSE HEALTH CLINIC,GL10 2NG,SEVERN HEALTH PCN,SOUTH WEST,3333.4,590.0,0.0,0.0,590.0,100.0,,no split (uncategorised),1.0,SILICON PRACTICE LTD,80.9,55.7
L84617,QUEDGELEY MEDICAL CENTRE,GL2 4NF,HADWEN QUEDGELEY PCN,SOUTH WEST,6836.2,391.0,0.0,0.0,391.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,91.7,58.8
L85003,EXMOOR MEDICAL CENTRE,TA22 9EN,WEST SOMERSET PCN,SOUTH WEST,3922.8,1172.0,0.0,0.0,1172.0,100.0,,no split (uncategorised),157.7,EVERGREEN HEALTH SOLUTIONS,88.8,62.6
L85017,"PENN HILL SURGERY, YEOVIL",BA20 1SB,YEOVIL PCN,SOUTH WEST,10407.2,3189.0,0.0,0.0,3189.0,100.0,,no split (uncategorised),130.4,EVERGREEN HEALTH SOLUTIONS,72.0,31.1
L85027,WINCANTON HEALTH CENTRE,BA9 9FQ,SOUTH SOMERSET EAST - RPN PCN,SOUTH WEST,8858.0,2436.0,0.0,0.0,2436.0,100.0,,no split (uncategorised),153.5,EVERGREEN HEALTH SOLUTIONS,78.2,35.8
L85040,"MILLBROOK SURGERY, CASTLE CARY",BA7 7EE,SOUTH SOMERSET EAST - RPN PCN,SOUTH WEST,6942.8,4622.0,0.0,0.0,4622.0,100.0,,no split (uncategorised),314.6,EVERGREEN HEALTH SOLUTIONS,90.0,55.6
L85047,GLASTONBURY HEALTH CENTRE,BA6 9DD,WEST MENDIP PCN,SOUTH WEST,5984.0,3630.0,0.0,0.0,3630.0,100.0,,no split (uncategorised),285.9,EVERGREEN HEALTH SOLUTIONS,81.5,38.7
L85064,OAKLANDS SURGERY,BA21 5RL,YEOVIL PCN,SOUTH WEST,11193.2,4394.0,0.0,0.0,4394.0,100.0,,no split (uncategorised),131.2,EVERGREEN HEALTH SOLUTIONS,59.6,37.6
Y00185,CATHEDRAL MEDICAL CENTRE,CB6 1DN,ELY NORTH PCN,EAST OF ENGLAND,11533.1,4208.0,0.0,0.0,4208.0,100.0,,no split (uncategorised),178.8,EVERGREEN HEALTH SOLUTIONS,87.9,76.1
Y00206,BURNLEY PRACTICE,NW10 3RY,BRENT SOUTH KWH PCN,LONDON,10306.5,2043.0,0.0,0.0,2043.0,100.0,,no split (uncategorised),24.9,EVERGREEN HEALTH SOLUTIONS,69.2,38.4
Y00774,BRANDON MEDICAL PRACTICE,IP27 0AQ,FOREST HEATH PCN,EAST OF ENGLAND,5265.1,2149.0,0.0,0.0,2149.0,100.0,,no split (uncategorised),229.8,EVERGREEN HEALTH SOLUTIONS,83.1,55.8
Y02575,OMNES HEALTHCARE LTD,RM8 2EQ,BARKING & DAGENHAM EAST PCN,LONDON,22122.2,5665.0,0.0,0.0,5665.0,100.0,,no split (uncategorised),131.5,EVERGREEN HEALTH SOLUTIONS,57.7,21.3
Y02692,THE WEMBLEY PRACTICE,HA0 4UZ,BRENT WEST KWH PCN,LONDON,16787.7,3349.0,0.0,0.0,3349.0,100.0,,no split (uncategorised),28.8,EVERGREEN HEALTH SOLUTIONS,69.8,42.4
Y02987,AT MEDICS - THE LOXFORD PRACTICE,IG1 2SN,LOXFORD PCN,LONDON,33068.2,6429.0,0.0,0.0,6429.0,100.0,,no split (uncategorised),20.7,EVERGREEN HEALTH SOLUTIONS,44.2,32.8
Y03755,GREENWICH PENINSULA,SE10 0QN,GREENWICH WEST PCN,LONDON,13764.2,4234.0,0.0,0.0,4234.0,100.0,,no split (uncategorised),134.6,EVERGREEN HEALTH SOLUTIONS,46.4,8.9
D81014,STAPLOE MEDICAL CENTRE,CB7 5JD,ELY SOUTH PCN,EAST OF ENGLAND,23962.3,7653.0,0.0,0.0,7653.0,100.0,,no split (uncategorised),153.6,EVERGREEN HEALTH SOLUTIONS,82.5,56.2
D81021,ST. GEORGE'S MEDICAL CENTRE,CB6 1JU,ELY NORTH PCN,EAST OF ENGLAND,12614.2,5442.0,0.0,0.0,5442.0,100.0,,no split (uncategorised),220.8,EVERGREEN HEALTH SOLUTIONS,80.1,44.3
D81051,BURWELL SURGERY,CB25 0AE,ELY SOUTH PCN,EAST OF ENGLAND,9422.0,3576.0,0.0,0.0,3576.0,100.0,,no split (uncategorised),213.3,EVERGREEN HEALTH SOLUTIONS,97.4,80.6
D81062,HADDENHAM SURGERY,CB6 3TA,ELY SOUTH PCN,EAST OF ENGLAND,7949.3,3654.0,0.0,0.0,3654.0,100.0,,no split (uncategorised),208.4,EVERGREEN HEALTH SOLUTIONS,79.1,73.3
D82002,GROVE SURGERY,IP24 2HY,BRECKLAND SURGERIES PCN,EAST OF ENGLAND,12815.0,1740.0,0.0,0.0,1740.0,100.0,,no split (uncategorised),0.7,SILICON PRACTICE LTD,68.1,19.8
D82003,BEACHES MEDICAL CENTRE,NR31 6QB,GORLESTON PCN,EAST OF ENGLAND,25187.9,4703.0,0.0,0.0,4703.0,100.0,,no split (uncategorised),0.8,SILICON PRACTICE LTD,71.5,48.6
D82011,CASTLE PARTNERSHIP,NR3 1SE,CENTRAL NORWICH PCN,EAST OF ENGLAND,17724.0,1378.0,0.0,0.0,1378.0,100.0,,no split (uncategorised),0.4,SILICON PRACTICE LTD,86.1,33.0
D82013,OLD CATTON MEDICAL PRACTICE,NR6 7HQ,NORWICH EAST PCN,EAST OF ENGLAND,8383.3,1245.0,0.0,0.0,1245.0,100.0,,no split (uncategorised),0.7,SILICON PRACTICE LTD,79.6,51.5
D82017,TRINITY & BOWTHORPE MEDICAL PRACTICE,NR5 9HA,WEST NORWICH PCN,EAST OF ENGLAND,11313.5,3375.0,0.0,0.0,3375.0,100.0,,no split (uncategorised),1.6,SILICON PRACTICE LTD,68.1,27.9
D82019,THE MILLWOOD PARTNERSHIP,NR31 8HS,GORLESTON PCN,EAST OF ENGLAND,19613.5,8529.0,0.0,0.0,8529.0,100.0,,no split (uncategorised),2.0,SILICON PRACTICE LTD,76.9,34.2
D82026,LAKENHAM SURGERY,NR1 3JJ,CENTRAL NORWICH PCN,EAST OF ENGLAND,8956.2,777.0,0.0,0.0,777.0,100.0,,no split (uncategorised),0.5,SILICON PRACTICE LTD,84.2,59.3
D82036,OLD MILL AND MILLGATES MEDICAL PRACTICE,NR14 7FA,SOUTH NORFOLK HIP PCN,EAST OF ENGLAND,8972.6,180.0,0.0,0.0,180.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,84.6,23.0
D82047,OAK STREET MEDICAL PRACT.,NR3 3DL,NORWICH NORTH PCN,EAST OF ENGLAND,7014.8,3122.0,0.0,0.0,3122.0,100.0,,no split (uncategorised),1.1,SILICON PRACTICE LTD,65.6,31.0
D82049,LITCHAM HEALTH CENTRE,PE32 2NW,SWAFFHAM & DOWNHAM MARKET PCN,EAST OF ENGLAND,3605.0,357.0,0.0,0.0,357.0,100.0,,no split (uncategorised),0.4,SILICON PRACTICE LTD,64.5,43.1
D82051,ST JAMES MEDICAL PRACTICE,PE30 2FQ,KINGS LYNN PCN,EAST OF ENGLAND,17889.5,2009.0,0.0,0.0,2009.0,100.0,,no split (uncategorised),0.6,SILICON PRACTICE LTD,85.9,46.6
D82057,CAMPINGLAND SURGERY,PE37 7RD,SWAFFHAM & DOWNHAM MARKET PCN,EAST OF ENGLAND,7394.2,1225.0,0.0,0.0,1225.0,100.0,,no split (uncategorised),1.2,SILICON PRACTICE LTD,78.9,36.2
D82062,COLTISHALL MEDICAL PRACTICE,NR12 7HA,NORTH NORFOLK 3 PCN,EAST OF ENGLAND,8822.3,358.0,0.0,0.0,358.0,100.0,,no split (uncategorised),0.3,SILICON PRACTICE LTD,81.8,30.4
D82063,WATTON MEDICAL PRACTICE,IP25 6FA,BRECKLAND SURGERIES PCN,EAST OF ENGLAND,14197.3,4007.0,0.0,0.0,4007.0,100.0,,no split (uncategorised),1.5,SILICON PRACTICE LTD,63.7,14.8
D82070,GREAT MASSINGHAM SURGERY,PE32 2JQ,WEST NORFOLK COASTAL PCN,EAST OF ENGLAND,6392.8,154.0,0.0,0.0,154.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,90.0,89.0
D82084,HARLESTON MEDICAL PRACTICE,IP20 9AT,SOUTH NORFOLK HIP PCN,EAST OF ENGLAND,7951.4,415.0,0.0,0.0,415.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,73.9,23.4
D82087,PROSPECT MEDICAL PRACTICE,NR3 2HW,NORWICH EAST PCN,EAST OF ENGLAND,6912.0,457.0,0.0,0.0,457.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,77.4,43.3
D82100,SHIPDHAM SURGERY,IP25 7LA,MID NORFOLK PCN,EAST OF ENGLAND,4474.5,134.0,0.0,0.0,134.0,100.0,,no split (uncategorised),0.1,SILICON PRACTICE LTD,94.8,85.4
D82106,WEST POTTERGATE MED PRAC,NR2 4BX,CENTRAL NORWICH PCN,EAST OF ENGLAND,5926.3,1707.0,0.0,0.0,1707.0,100.0,,no split (uncategorised),1.5,SILICON PRACTICE LTD,94.9,80.0
D82604,BOUGHTON SURGERY,PE33 9AG,FENS & BRECKS PCN,EAST OF ENGLAND,3482.2,600.0,0.0,0.0,600.0,100.0,,no split (uncategorised),1.0,SILICON PRACTICE LTD,84.4,40.4
D82621,PLOWRIGHT MEDICAL CENTRE,PE37 7HJ,SWAFFHAM & DOWNHAM MARKET PCN,EAST OF ENGLAND,6590.4,1106.0,0.0,0.0,1106.0,100.0,,no split (uncategorised),0.7,SILICON PRACTICE LTD,89.2,46.2
D82628,ALDBOROUGH SURGERY,NR11 7NN,NORTH NORFOLK 2 PCN,EAST OF ENGLAND,3933.2,130.0,0.0,0.0,130.0,100.0,,no split (uncategorised),0.2,SILICON PRACTICE LTD,94.2,59.8
D83015,HOWARD HOUSE SURGERY,IP11 7DD,EAST SUFFOLK PCN,EAST OF ENGLAND,8525.2,4803.0,0.0,0.0,4803.0,100.0,,no split (uncategorised),274.5,EVERGREEN HEALTH SOLUTIONS,87.5,34.1
D83041,DEBENHAM GROUP PRACTICE,IP14 6QU,EAST SUFFOLK PCN,EAST OF ENGLAND,9715.2,4942.0,0.0,0.0,4942.0,100.0,,no split (uncategorised),246.9,EVERGREEN HEALTH SOLUTIONS,89.9,62.8
D83081,HAVEN HEALTH,IP11 2XD,EAST SUFFOLK PCN,EAST OF ENGLAND,8554.3,4380.0,0.0,0.0,4380.0,100.0,,no split (uncategorised),274.7,EVERGREEN HEALTH SOLUTIONS,87.1,45.5
B82088,BROOK SQUARE SURGERY,YO12 7AS,SCARBOROUGH CORE PCN,NORTH EAST AND YORKSHIRE,10564.6,3560.0,0.0,0.0,3560.0,100.0,,no split (uncategorised),1.1,SILICON PRACTICE LTD,73.8,17.9
B86061,HAREHILLS CORNER SURGERY,LS8 4HQ,"BURMANTOFTS, HAREHILLS & RICHMOND HILL PCN",NORTH EAST AND YORKSHIRE,5301.9,864.0,0.0,0.0,864.0,100.0,,no split (uncategorised),20.3,EVERGREEN HEALTH SOLUTIONS,71.9,17.8
B86675,LINCOLN GREEN MEDICAL CENTRE,LS9 7TA,"BURMANTOFTS, HAREHILLS & RICHMOND HILL PCN",NORTH EAST AND YORKSHIRE,4729.2,855.0,0.0,0.0,855.0,100.0,,no split (uncategorised),25.5,EVERGREEN HEALTH SOLUTIONS,85.4,29.3
C81065,BUXTON MEDICAL PRACTICE,SK17 9BZ,HIGH PEAK & BUXTON PCN,MIDLANDS,9018.9,186.0,0.0,0.0,186.0,100.0,,no split (uncategorised),0.1,SILICON PRACTICE LTD,77.5,35.1
