gp_code,gp_name,supplier,total_12m,clinical_12m,admin_12m,other_12m,admin_share,postcode,pcn_name,list_size,satisfaction_2026,continuity_2026,deflection_2026
F84086,THE FOREST PRACTICE,Klinik Healthcare Solutions UK Ltd,1507.0,0.0,1507.0,0.0,100.0,E7 0EP,NEWHAM NORTH WEST 2 PCN,6755.7,81.8,45.7,5.7
G81088,WEALDEN RIDGE MEDICAL PARTNERSHIP,ACCURX LIMITED,1485.0,0.0,1485.0,0.0,100.0,BN8 4LR,GREATER WEALDEN PCN,21950.1,77.3,41.7,3.6
F84022,STRATFORD HEALTH CENTRE,Klinik Healthcare Solutions UK Ltd,1422.0,0.0,1422.0,0.0,100.0,E15 1EN,NEWHAM NORTH WEST 2 PCN,9201.6,74.8,32.8,4.3
C83046,THE HEATH SURGERY,TPP,620.0,0.0,620.0,0.0,100.0,LN4 2LA,SOUTH LINCOLN PCN,6072.1,88.7,46.7,0.0
