gp_code,list_jul26
B82023,6063
B82024,8753
B82025,21025
B82026,31673
B82027,13976
B82029,3218
B82030,5846
B82031,11208
B82032,12328
B82033,10795
B82034,6329
B82035,3644
B82036,7800
B82037,8735
B82038,23897
B82041,15848
B82042,8559
B82044,9530
B82045,5587
B82046,3060
B82047,15708
B82049,8207
B82050,21815
B82053,15639
B82054,16774
B82057,7596
B82059,11391
B82060,12891
B82061,7434
B82063,9817
B82064,3623
B82066,10281
B82067,8844
B82068,3589
B82069,7693
B82071,7373
B82072,5121
B82073,10856
B82074,18641
B82075,9385
B82077,6168
B82078,6094
B82079,3751
B82080,18673
B82081,7218
B82083,43366
B82086,5124
B82088,10664
B82097,11155
B82098,27531
B82100,8733
B82101,5310
B82104,8318
B82105,9494
B82106,4811
B82609,4141
B82619,1868
B82628,4611
B83002,5698
B83005,6794
B83008,19861
B83010,10014
B83012,11086
B83014,13806
B83015,8849
B83016,8777
B83018,12452
B83019,7314
B83022,10125
B83025,4473
B83026,5910
B83028,10851
B83029,10277
B83031,3913
B83032,4403
B83033,86424
B83034,6768
B83035,15660
B83037,9959
B83038,18468
B83039,24282
B83041,14306
B83042,9166
B83045,12300
B83051,8728
B83052,23315
B83055,31106
B83056,8656
B83058,8758
B83062,9211
B83063,58884
B83064,11502
B83067,7836
B83604,4747
B83611,11862
B83614,9893
B83620,3537
B83622,4267
B83624,16948
B83626,6400
B83627,3347
B83628,10044
B83629,3150
B83641,11138
B83642,4773
B83653,7732
B83657,5379
B83659,3982
B83660,5561
B83661,2934
B84001,10135
B84003,7702
B84004,18645
B84006,15900
B84007,10585
B84008,16560
B84009,11555
B84010,10004
B84011,10901
B84012,28339
B84013,9351
B84014,5653
B84016,11343
B84019,17060
B84021,8616
B84612,8990
B84613,10825
B84618,7836
B84623,5169
B85001,6653
B85002,4610
B85004,6113
B85005,6716
B85006,15345
B85008,6134
B85009,8620
B85010,7192
B85012,10660
B85014,9259
B85015,8362
B85016,10566
B85018,9520
B85019,17192
B85020,6625
B85021,8922
B85022,7981
B85023,6281
B85024,9195
B85025,12379
B85026,7995
B85027,10229
B85028,17510
B85030,9512
B85031,6963
B85032,5929
B85033,5827
B85036,8580
