gp_code,partner_fte,salaried_fte,locum_fte,registrar_fte,foundation_other_fte,nurse_fte,dpc_fte,admin_fte
F81014,0.0,3.78,0.0,0.0,0.0,3.706666667,1.293333333,14.37333333
F81015,0.8,4.08,0.0,0.853333333,0.0,3.426666667,6.733333333,19.06666667
F81017,0.853333333,1.8,0.0,0.0,0.0,3.786666667,6.546666667,11.64
F81019,4.64,0.0,0.0,0.0,0.0,8.146666667,3.066666667,25.82666667
F81020,3.426666666,1.506666667,0.0,1.066666667,0.0,2.853333333,8.88,12.95168235
F81021,3.466666667,2.533333333,0.0,1.92,0.0,4.0,1.573333333,14.58666667
F81022,6.106666667,2.506666667,0.0,0.64,0.0,5.946666667,11.54666667,17.62666667
F81023,3.28,3.253333333,0.0,1.0,0.0,2.613333333,3.426666667,14.36666667
F81025,1.973333334,2.322666667,0.0,0.0,0.0,2.093333333,0.533333333,11.14666667
F81026,0.0,3.736666667,0.0,0.0,0.0,1.826666667,3.48,15.98666667
F81027,4.533333333,2.0,0.0,5.333333333000001,0.0,4.293333333,6.3,23.65333333
F81028,1.986696784,0.0,0.382303741,0.0,0.0,2.333333333,1.186666667,7.64
F81029,0.853333333,0.746666667,0.626666667,0.0,0.0,0.853333333,0.8,9.746666667
F81030,6.493363451,0.0,0.0,1.066666667,0.0,1.646666667,6.346666667,17.56
F81031,1.0,0.0,0.0,0.0,0.0,0.8,0.0,8.773333333
F81032,0.0,0.0,0.933333333,0.0,0.0,1.28,0.0,4.36
F81034,2.053333333,1.9866666670000002,0.0,0.0,0.0,1.672623972,3.356823773,13.50211063
F81035,1.12,1.0,0.0,0.0,0.0,1.6,0.533333333,6.513333333
F81036,6.453333333,0.426666667,0.0,2.88,0.0,3.773333333,1.693333333,19.78666667
F81037,1.066666667,0.0,0.0,0.0,0.0,7.053333333,2.346666667,14.85333333
F81038,5.746666667,1.2,0.0,2.773333333,0.0,1.88,2.733333333,20.89333333
F81040,2.08,1.6,0.0,0.0,0.0,1.786666667,0.266666667,8.14
F81041,3.0,1.997333333,0.0,0.0,0.0,3.586666667,1.8,17.84
F81042,10.826666667,2.24,0.0,2.986666667,0.0,15.0,11.68,37.26666667
F81043,2.666666667,3.76,0.0,5.333333334,0.0,6.133333333,10.6,24.82666667
F81044,3.226666666,1.8888,0.0,1.066666667,0.0,4.64,4.2,10.36
F81045,0.266666667,0.933333333,0.28,0.0,0.0,0.0,0.0,3.12
F81046,1.933333333,0.6,0.373333333,0.0,0.0,0.16,0.933333333,5.8
F81047,2.6,2.306666667,0.0,4.4799999999999995,0.0,2.58,0.573333333,12.69333333
F81048,4.48,0.533333333,0.0,0.0,0.0,1.986666667,1.253333333,13.36
F81049,2.973333333,2.194666667,0.0,9.920000001,0.0,4.113333333,4.2,18.42666667
F81051,1.800030118,0.0,0.0,0.64,0.0,1.653333333,1.786666667,8.426666667
F81052,5.333333334,1.866666667,0.0,2.773333334,0.0,10.10666667,2.76,20.57333333
F81053,2.8333333329999997,1.4,0.36,0.0,0.0,3.093333333,4.52,14.8
F81055,7.066666667,0.0,0.0,0.0,0.0,2.56,0.8,11.62666667
F81056,4.906666667,0.64,0.0,3.84,0.0,2.56,0.693333333,12.05333333
