gp_code,practice_name,registered_patients,weighted_patients,weighting_ratio
A86036,GOSFORTH MEMORIAL MED.CTR,2737.0,2512.61,0.9180160759956156
A86037,ELSWICK FAMILY PRACTICE,8145.75,8772.04,1.0768854924347053
A86038,NEWBURN SURGERY,6126.75,6698.73,1.0933578161341657
A86040,ST. ANTHONY'S HEALTH CENTRE,6694.5,7804.86,1.1658615281200986
A86041,SWARLAND AVENUE SURGERY,6701.5,6527.01,0.9739625456987242
A86601,DENTON TURRET MEDICAL CENTRE,9070.5,9974.49,1.0996626426327105
A87002,SPRING TERRACE HEALTH CENTRE,5930.0,6776.68,1.142779089376054
A87004,COLLINGWOOD HEALTH GROUP,24426.5,26434.09,1.0821890160276748
A87005,WHITLEY BAY HEALTH CENTRE,13572.25,14307.46,1.0541700897050967
A87006,49 MARINE AVENUE SURGERY,5849.75,6072.66,1.0381059019616223
A87007,STEPHENSON PARK HEALTH GROUP,17917.25,18651.86,1.041000153483375
A87008,MARINE AVENUE MEDICAL CTR,8711.5,8039.78,0.9228927280032141
A87009,PRIORY MEDICAL GROUP,15472.0,16010.08,1.0347776628748708
A87011,BEAUMONT PARK SURGERY,6486.5,6299.73,0.9712063516534339
A87012,WIDEOPEN MEDICAL CENTRE,7553.0,8342.78,1.1045650734807362
A87013,BEWICKE MEDICAL CENTRE,9356.25,10251.72,1.0957082164328658
A87016,THE VILLAGE GREEN SURGERY,12793.0,13424.9,1.0493941999530993
A87017,WOODLANDS PARK HEALTH CTR,6510.5,7204.78,1.1066400430074494
A87019,NELSON MEDICAL GROUP,4977.0,5449.17,1.0948704038577457
A87020,BRIDGE AND MONKSEATON MEDICAL PRACTICE,13325.75,13476.62,1.0113216892107386
A87022,SHIREMOOR RESOURCE CENTRE,9575.5,9518.44,0.994041042243225
A87023,BRIDGE MEDICAL,0.25,0.62,2.48
A87029,HADRIAN HEALTH CENTRE,20855.5,22145.23,1.0618412409196614
A87030,REDBURN PARK MEDICAL CENTRE,6162.5,6158.97,0.9994271805273834
A87600,PARK PARADE PRACTICE,4829.75,4692.99,0.9716838345670066
A87612,WELLSPRING MEDICAL PRACT.,6470.0,6827.89,1.0553153013910357
A87615,MALLARD MEDICAL PRACTICE,5408.0,5544.59,1.025257026627219
A88001,VICTORIA MEDICAL CENTRE,3663.5,4198.78,1.1461116418725261
A88002,FARNHAM MEDICAL CTR.,16990.25,18271.36,1.0754026574064537
