gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
A81001,85.3,55.93,-29.37,37.95,23.89,-14.06,47.35,32.04,-15.31,77.15,68.38,-8.78
A81002,81.45,73.11,-8.34,16.72,17.23,0.51,64.73,55.88,-8.85,62.56,47.37,-15.19
A81004,57.23,74.09,16.86,11.79,23.32,11.53,45.44,50.77,5.33,42.91,71.97,29.06
A81005,62.09,58.48,-3.62,22.69,18.47,-4.21,39.41,40.0,0.59,47.58,45.41,-2.17
A81006,78.44,70.87,-7.57,27.56,21.44,-6.13,50.87,49.43,-1.44,83.86,66.72,-17.14
A81007,86.0,85.08,-0.93,28.14,31.44,3.3,57.87,53.64,-4.23,92.69,90.24,-2.45
A81009,40.39,43.35,2.96,11.25,11.23,-0.01,29.14,32.11,2.97,69.15,63.72,-5.44
A81011,91.31,83.79,-7.52,39.13,32.88,-6.25,52.19,50.92,-1.27,93.99,77.26,-16.72
A81012,84.46,81.34,-3.12,38.92,35.29,-3.63,45.55,46.06,0.51,84.78,75.63,-9.15
A81013,89.11,81.47,-7.63,32.83,32.85,0.02,56.27,48.62,-7.65,88.99,92.29,3.3
A81014,87.42,87.33,-0.09,44.88,45.45,0.57,42.54,41.88,-0.66,90.31,90.11,-0.2
A81016,71.38,61.21,-10.17,18.63,13.31,-5.33,52.75,47.91,-4.84,53.35,41.05,-12.29
A81017,97.15,97.67,0.52,56.92,54.0,-2.93,40.23,43.68,3.45,99.29,98.39,-0.91
A81018,79.45,88.09,8.65,30.48,30.5,0.02,48.96,57.59,8.63,65.84,78.76,12.92
A81019,70.32,82.64,12.32,37.59,49.4,11.81,32.73,33.24,0.51,68.59,89.25,20.65
A81020,63.15,60.31,-2.84,25.27,30.13,4.86,37.87,30.17,-7.7,53.5,57.86,4.36
A81021,77.87,82.08,4.21,21.01,20.02,-0.99,56.86,62.07,5.2,62.06,75.93,13.87
A81022,50.72,54.0,3.28,16.8,18.69,1.89,33.92,35.31,1.39,35.97,47.52,11.56
A81023,68.81,67.28,-1.53,25.35,26.65,1.3,43.46,40.63,-2.83,50.82,47.78,-3.04
A81025,82.85,80.17,-2.68,44.95,36.26,-8.69,37.9,43.91,6.0,86.31,74.85,-11.45
A81026,69.87,64.31,-5.56,20.05,21.22,1.17,49.83,43.1,-6.73,57.18,41.77,-15.4
A81027,71.72,65.08,-6.63,28.13,23.87,-4.26,43.59,41.21,-2.38,64.28,52.7,-11.57
A81029,65.93,72.67,6.74,25.04,30.45,5.41,40.89,42.22,1.33,49.69,59.24,9.55
A81030,82.02,85.47,3.44,29.32,32.82,3.49,52.7,52.65,-0.05,79.43,82.65,3.21
A81031,83.14,77.26,-5.88,28.09,22.51,-5.58,55.05,54.75,-0.3,65.78,69.56,3.79
A81032,85.84,75.1,-10.74,40.52,34.38,-6.15,45.31,40.72,-4.59,84.36,76.9,-7.46
A81034,70.99,59.67,-11.32,52.94,36.46,-16.48,18.04,23.2,5.16,80.81,63.68,-17.13
A81035,60.56,72.79,12.23,22.82,30.87,8.05,37.74,41.92,4.19,49.04,61.71,12.67
A81036,67.5,62.91,-4.59,22.42,20.0,-2.43,45.08,42.91,-2.16,55.57,55.04,-0.53
A81037,56.88,57.89,1.01,16.59,15.8,-0.79,40.29,42.09,1.81,40.29,41.35,1.06
A81038,37.92,46.36,8.44,13.83,18.76,4.93,24.09,27.6,3.51,21.56,32.73,11.17
A81039,82.32,76.37,-5.95,33.18,34.77,1.59,49.14,41.6,-7.53,91.17,81.76,-9.41
A81040,95.9,51.09,-44.81,73.18,26.58,-46.6,22.72,24.51,1.79,99.98,44.38,-55.6
A81041,93.83,95.78,1.95,36.59,42.56,5.97,57.24,53.23,-4.01,96.46,96.29,-0.17
A81042,71.82,72.87,1.05,25.71,28.65,2.95,46.12,44.22,-1.9,65.07,70.39,5.32
A81044,63.24,51.79,-11.45,11.09,10.6,-0.48,52.15,41.18,-10.97,55.98,77.51,21.52
A81045,74.26,78.09,3.82,23.95,27.04,3.09,50.32,51.05,0.73,78.23,70.53,-7.7
A81046,84.98,91.41,6.44,41.0,44.6,3.6,43.97,46.81,2.84,86.09,95.75,9.66
A81048,80.09,64.96,-15.13,21.63,25.87,4.24,58.47,39.1,-19.37,85.88,81.92,-3.95
A81049,76.5,74.86,-1.64,17.83,22.27,4.45,58.67,52.58,-6.09,55.35,62.38,7.03
A81051,87.96,77.71,-10.25,36.14,22.79,-13.35,51.82,54.93,3.11,83.93,62.98,-20.94
A81052,77.16,77.45,0.29,29.88,24.12,-5.76,47.28,53.33,6.05,75.51,75.98,0.48
A81053,81.18,77.57,-3.61,34.42,25.93,-8.49,46.76,51.64,4.88,74.14,69.47,-4.67
A81054,63.98,72.01,8.04,13.78,15.26,1.48,50.2,56.75,6.55,48.53,60.48,11.94
A81056,57.8,67.23,9.42,33.42,42.96,9.54,24.38,24.26,-0.12,50.14,64.62,14.48
A81057,52.19,63.2,11.01,17.02,24.07,7.05,35.16,39.12,3.96,29.72,49.28,19.57
A81058,52.32,44.74,-7.58,15.14,11.88,-3.26,37.18,32.86,-4.32,60.15,47.5,-12.65
A81060,87.71,41.94,-45.77,39.93,13.19,-26.75,47.78,28.76,-19.02,85.94,52.31,-33.62
A81063,60.34,67.36,7.01,7.52,16.42,8.9,52.82,50.94,-1.88,21.76,45.13,23.37
A81064,82.96,81.59,-1.37,13.85,44.87,31.01,69.11,36.72,-32.38,89.64,96.74,7.09
A81066,85.47,78.8,-6.68,43.33,41.27,-2.06,42.14,37.52,-4.62,87.7,80.85,-6.85
A81067,89.45,81.38,-8.07,31.11,31.93,0.82,58.34,49.45,-8.89,79.4,77.4,-2.01
A81070,68.5,73.18,4.68,25.41,19.62,-5.79,43.1,53.56,10.47,71.05,76.76,5.72
A81602,71.29,67.81,-3.48,32.79,30.86,-1.93,38.5,36.95,-1.55,57.34,56.99,-0.35
A81608,68.16,40.37,-27.79,18.31,17.99,-0.32,49.85,22.38,-27.47,49.41,40.06,-9.36
A81610,81.2,76.99,-4.21,21.15,18.3,-2.85,60.04,58.69,-1.35,69.62,62.63,-6.98
A81611,65.98,38.13,-27.85,21.88,10.41,-11.48,44.1,27.73,-16.38,62.55,25.91,-36.64
A81612,69.79,74.58,4.79,20.08,18.37,-1.71,49.71,56.21,6.5,56.2,65.18,8.98
A81618,63.78,70.6,6.82,18.18,22.26,4.09,45.6,48.34,2.74,59.11,63.81,4.7
A81621,76.94,66.03,-10.92,17.09,22.68,5.58,59.85,43.35,-16.5,63.15,62.81,-0.34
A81622,71.2,80.21,9.01,14.06,12.3,-1.76,57.14,67.91,10.77,52.79,84.17,31.39
A81629,95.46,86.49,-8.97,18.81,18.22,-0.59,76.66,68.28,-8.38,88.26,76.74,-11.52
A81631,86.09,82.0,-4.09,39.33,29.03,-10.3,46.76,52.97,6.21,98.29,90.07,-8.22
A82003,80.07,79.05,-1.02,37.64,28.67,-8.97,42.44,50.38,7.95,78.11,71.74,-6.37
A82004,86.75,64.53,-22.22,39.74,32.39,-7.35,47.02,32.14,-14.88,78.16,53.89,-24.27
A82005,76.98,78.65,1.67,28.95,30.68,1.73,48.04,47.97,-0.06,66.59,68.0,1.41
A82006,60.35,40.59,-19.76,20.03,12.15,-7.88,40.33,28.44,-11.89,49.75,27.03,-22.73
A82007,68.54,63.75,-4.79,26.68,27.37,0.69,41.86,36.38,-5.48,55.61,55.37,-0.24
A82008,70.4,62.51,-7.89,51.42,31.77,-19.65,18.97,30.74,11.77,69.46,57.03,-12.43
A82009,50.69,52.01,1.32,22.22,23.03,0.81,28.47,28.98,0.51,31.97,33.09,1.12
A82010,78.92,71.04,-7.88,31.95,24.5,-7.46,46.96,46.54,-0.42,70.34,55.58,-14.76
A82012,59.7,65.05,5.35,25.01,29.6,4.59,34.69,35.45,0.76,49.9,57.66,7.76
A82013,67.36,67.55,0.19,21.67,30.06,8.39,45.69,37.49,-8.2,51.86,63.07,11.21
A82014,64.24,67.23,2.99,32.36,35.38,3.02,31.89,31.86,-0.03,51.13,59.47,8.34
A82015,62.55,67.93,5.37,26.62,34.96,8.34,35.93,32.97,-2.97,52.91,61.09,8.18
A82016,59.84,67.8,7.96,18.2,23.11,4.91,41.65,44.69,3.04,43.89,57.11,13.22
A82018,54.61,28.92,-25.69,26.01,10.48,-15.53,28.59,18.44,-10.16,44.33,14.93,-29.39
A82020,62.92,56.72,-6.21,27.26,17.41,-9.85,35.66,39.3,3.64,51.01,49.65,-1.37
A82021,61.58,74.26,12.68,11.58,22.39,10.81,50.0,51.86,1.86,46.91,71.54,24.63
A82022,56.27,55.85,-0.41,13.51,13.04,-0.47,42.76,42.82,0.05,27.37,28.16,0.8
A82023,45.78,41.66,-4.12,10.95,13.87,2.93,34.83,27.79,-7.04,28.65,32.71,4.06
A82024,76.33,58.29,-18.04,25.69,22.18,-3.51,50.64,36.11,-14.53,55.59,76.84,21.25
A82025,65.23,70.12,4.89,16.88,18.44,1.57,48.35,51.68,3.32,43.89,48.99,5.1
A82026,61.96,65.29,3.34,21.36,28.23,6.86,40.59,37.07,-3.53,43.9,57.78,13.88
A82027,81.52,72.65,-8.87,26.57,20.62,-5.94,54.95,52.02,-2.92,66.23,47.8,-18.43
A82028,43.15,44.12,0.96,22.23,19.37,-2.87,20.92,24.75,3.83,33.86,37.58,3.72
A82029,68.72,74.18,5.46,40.55,42.29,1.74,28.17,31.9,3.73,58.61,66.96,8.35
A82030,64.82,66.32,1.49,27.64,27.84,0.2,37.18,38.48,1.29,46.5,49.22,2.73
A82031,77.93,75.06,-2.87,37.27,34.83,-2.44,40.65,40.23,-0.43,69.96,66.45,-3.51
A82032,54.68,46.6,-8.08,6.2,6.88,0.68,48.48,39.72,-8.76,33.24,34.97,1.72
A82033,83.5,76.35,-7.15,36.66,24.83,-11.82,46.84,51.52,4.68,77.44,62.11,-15.33
A82035,48.28,51.36,3.09,12.56,15.42,2.85,35.71,35.95,0.24,52.69,61.09,8.41
A82036,27.43,34.25,6.82,5.77,10.07,4.3,21.67,24.18,2.51,16.82,30.56,13.74
A82037,77.22,67.37,-9.85,41.77,28.45,-13.33,35.45,38.92,3.47,68.9,55.46,-13.44
A82038,31.21,30.72,-0.49,9.93,7.05,-2.88,21.28,23.67,2.39,20.16,13.57,-6.59
A82039,64.84,64.68,-0.17,31.47,25.67,-5.8,33.38,39.01,5.63,57.06,52.94,-4.13
A82041,59.32,51.69,-7.63,19.7,20.7,1.0,39.63,30.99,-8.64,56.85,66.69,9.84
A82044,66.55,60.37,-6.18,21.94,16.61,-5.33,44.61,43.77,-0.84,49.44,49.87,0.43
A82045,58.35,55.89,-2.46,22.6,12.34,-10.26,35.75,43.55,7.8,44.31,23.7,-20.61
A82046,69.36,72.95,3.59,36.95,27.52,-9.43,32.42,45.43,13.01,59.63,62.16,2.53
A82047,54.72,53.74,-0.98,11.92,10.18,-1.75,42.8,43.56,0.76,41.13,30.18,-10.95
A82053,72.77,67.18,-5.6,33.74,27.82,-5.92,39.03,39.35,0.32,64.29,69.09,4.8
A82055,43.51,42.61,-0.9,13.43,15.56,2.12,30.07,27.05,-3.02,55.31,52.66,-2.65
A82062,89.73,90.92,1.19,45.77,46.88,1.1,43.95,44.04,0.08,86.69,88.5,1.81
A82064,64.72,66.97,2.25,16.58,16.68,0.09,48.14,50.29,2.15,49.78,50.8,1.02
A82068,69.1,79.68,10.58,33.41,38.11,4.7,35.69,41.57,5.87,55.83,74.06,18.23
A82070,81.2,85.2,4.0,42.85,37.99,-4.87,38.35,47.22,8.87,74.26,79.92,5.66
A82071,60.0,69.97,9.97,26.5,30.77,4.27,33.5,39.2,5.7,42.51,55.55,13.04
A82072,46.0,57.6,11.6,18.15,23.53,5.38,27.85,34.07,6.22,39.05,47.65,8.6
A82075,84.18,81.77,-2.41,27.29,26.86,-0.43,56.89,54.91,-1.98,75.43,72.95,-2.48
A82608,78.68,82.16,3.48,29.69,29.65,-0.05,48.99,52.51,3.53,75.03,80.23,5.2
A82613,84.13,86.26,2.13,75.03,81.5,6.47,9.1,4.76,-4.34,82.54,86.43,3.89
A82617,71.47,69.46,-2.01,13.35,12.04,-1.31,58.12,57.42,-0.7,100.0,99.3,-0.7
A82620,66.83,66.94,0.11,38.88,38.11,-0.77,27.95,28.83,0.88,54.46,56.7,2.24
A82629,25.9,19.46,-6.44,8.38,14.74,6.35,17.52,4.72,-12.79,10.28,15.7,5.42
A82631,38.18,31.93,-6.25,13.32,13.5,0.18,24.86,18.42,-6.43,28.58,23.63,-4.96
A82646,80.15,74.8,-5.35,27.22,21.14,-6.08,52.93,53.66,0.73,71.88,81.55,9.67
A82647,80.83,81.18,0.35,41.43,38.71,-2.71,39.4,42.46,3.06,71.9,69.84,-2.06
A82650,83.63,91.5,7.87,43.56,49.06,5.5,40.08,42.45,2.37,77.49,85.53,8.04
A82651,49.93,68.45,18.52,18.6,29.16,10.56,31.33,39.29,7.96,30.37,55.28,24.92
A82654,52.05,49.45,-2.6,20.37,19.84,-0.54,31.67,29.61,-2.06,37.73,36.25,-1.49
A83001,73.43,66.32,-7.12,17.34,17.35,0.01,56.09,48.97,-7.12,48.49,40.44,-8.05
A83003,71.85,70.44,-1.41,24.36,23.67,-0.69,47.49,46.77,-0.72,67.37,66.78,-0.59
A83005,53.64,54.9,1.26,15.48,15.92,0.44,38.16,38.98,0.82,28.79,29.62,0.83
A83006,81.24,53.67,-27.57,34.17,21.08,-13.09,47.07,32.59,-14.48,77.7,52.8,-24.9
A83007,76.35,78.2,1.85,23.63,28.36,4.72,52.72,49.85,-2.87,61.39,66.41,5.01
A83008,75.05,71.49,-3.56,10.81,13.26,2.45,64.23,58.23,-6.01,50.38,60.36,9.98
A83009,63.82,61.33,-2.48,22.25,22.49,0.24,41.56,38.84,-2.72,45.89,42.42,-3.46
A83010,71.56,61.08,-10.48,21.46,18.2,-3.26,50.11,42.88,-7.22,64.62,62.78,-1.84
A83011,79.53,68.01,-11.53,33.94,34.11,0.17,45.59,33.89,-11.7,74.32,86.13,11.82
A83012,57.17,52.66,-4.51,10.34,10.24,-0.1,46.84,42.42,-4.42,50.42,56.52,6.1
A83013,86.52,85.89,-0.63,24.66,21.02,-3.64,61.86,64.87,3.01,82.11,84.57,2.46
A83014,60.37,65.77,5.4,20.14,19.2,-0.94,40.23,46.57,6.34,66.45,70.66,4.22
A83015,82.47,83.27,0.8,29.78,33.79,4.01,52.69,49.48,-3.21,93.64,93.95,0.31
A83016,68.24,64.35,-3.89,29.44,22.17,-7.27,38.8,42.18,3.38,61.26,56.68,-4.58
A83018,74.62,80.97,6.35,26.78,35.52,8.74,47.84,45.45,-2.39,63.13,83.85,20.72
A83020,92.05,89.17,-2.88,46.43,34.04,-12.39,45.61,55.13,9.52,99.97,90.82,-9.14
A83021,60.96,62.05,1.09,16.55,15.65,-0.9,44.41,46.4,1.99,50.41,49.58,-0.84
A83022,58.9,60.89,1.99,21.82,21.01,-0.81,37.08,39.88,2.81,50.58,52.65,2.06
A83023,64.73,72.65,7.92,19.46,20.63,1.17,45.27,52.02,6.75,55.69,60.06,4.37
A83024,74.78,69.83,-4.95,30.0,22.22,-7.78,44.78,47.61,2.83,62.45,53.26,-9.19
A83025,73.65,79.14,5.48,13.83,12.35,-1.48,59.82,66.78,6.96,80.88,72.84,-8.04
A83026,67.45,59.24,-8.21,30.56,25.9,-4.66,36.88,33.34,-3.55,60.92,60.06,-0.86
A83027,53.88,56.06,2.17,11.36,20.04,8.68,42.52,36.02,-6.51,29.83,49.84,20.01
A83028,72.44,68.11,-4.33,21.92,17.18,-4.74,50.52,50.93,0.41,70.27,56.28,-13.98
A83029,77.89,71.3,-6.6,29.64,27.05,-2.6,48.25,44.25,-4.0,63.8,68.91,5.11
A83030,60.59,53.23,-7.37,22.69,22.72,0.03,37.9,30.51,-7.39,66.24,68.21,1.97
A83031,85.24,82.25,-2.99,32.55,25.68,-6.88,52.69,56.57,3.89,84.97,73.75,-11.22
A83032,56.53,57.42,0.89,25.35,24.55,-0.8,31.19,32.87,1.69,50.26,52.36,2.1
A83033,58.08,57.25,-0.83,16.9,18.95,2.05,41.18,38.3,-2.88,62.6,68.35,5.75
A83034,75.18,62.11,-13.07,26.82,27.14,0.33,48.36,34.97,-13.4,62.41,60.06,-2.35
A83035,59.39,49.11,-10.28,10.94,14.76,3.82,48.45,34.35,-14.1,27.51,45.3,17.79
A83036,70.21,80.76,10.55,28.78,34.88,6.1,41.43,45.88,4.45,70.57,87.31,16.73
A83037,80.55,79.62,-0.93,24.33,23.97,-0.36,56.22,55.66,-0.56,78.42,83.93,5.52
A83038,80.73,76.36,-4.37,28.6,26.54,-2.06,52.13,49.82,-2.3,97.48,93.05,-4.43
A83040,68.06,84.19,16.13,22.22,30.03,7.81,45.83,54.16,8.32,49.71,85.62,35.91
A83041,84.14,78.6,-5.55,31.29,27.7,-3.59,52.85,50.89,-1.96,83.07,75.94,-7.13
A83043,81.03,81.24,0.22,42.45,34.21,-8.25,38.57,47.04,8.46,99.37,87.05,-12.33
A83044,82.33,80.13,-2.2,32.18,27.46,-4.72,50.14,52.67,2.53,81.42,80.93,-0.49
A83045,49.02,44.78,-4.24,10.95,10.26,-0.68,38.07,34.52,-3.55,32.57,28.21,-4.36
A83046,81.93,81.35,-0.58,31.3,33.02,1.72,50.63,48.33,-2.3,99.62,99.41,-0.22
A83047,65.11,82.61,17.5,20.33,22.88,2.55,44.78,59.74,14.96,52.65,70.13,17.48
A83048,60.07,61.77,1.7,21.53,22.27,0.74,38.54,39.51,0.96,43.96,46.83,2.87
A83049,65.56,63.76,-1.79,15.06,18.06,3.0,50.5,45.71,-4.79,49.67,54.58,4.91
A83050,85.25,91.32,6.07,33.75,40.33,6.58,51.5,50.99,-0.51,76.37,93.91,17.54
A83051,63.82,67.47,3.65,17.77,24.11,6.34,46.05,43.36,-2.69,46.04,71.9,25.86
A83052,76.33,78.76,2.43,30.93,28.39,-2.54,45.4,50.38,4.98,64.76,61.87,-2.89
A83054,71.97,80.0,8.03,24.2,43.34,19.14,47.77,36.66,-11.1,58.68,82.0,23.32
A83055,52.52,60.52,8.0,27.04,31.09,4.04,25.48,29.43,3.96,53.06,54.62,1.56
A83057,81.96,77.24,-4.72,21.71,21.25,-0.46,60.25,55.99,-4.26,86.26,80.98,-5.28
A83060,88.4,64.63,-23.77,38.62,25.38,-13.24,49.78,39.26,-10.52,84.03,52.86,-31.18
A83061,76.51,73.07,-3.44,38.87,35.19,-3.68,37.64,37.88,0.24,80.28,69.5,-10.78
A83066,94.21,95.33,1.12,18.71,18.62,-0.09,75.5,76.71,1.2,92.84,91.3,-1.54
A83070,84.24,86.26,2.03,37.11,30.37,-6.74,47.13,55.9,8.77,75.9,77.79,1.89
A83071,90.11,87.97,-2.14,22.13,19.71,-2.42,67.98,68.26,0.27,83.49,87.64,4.15
A83072,91.39,86.65,-4.74,23.77,23.5,-0.27,67.62,63.15,-4.47,88.61,87.7,-0.91
A83073,89.94,91.46,1.52,21.94,18.97,-2.97,68.0,72.49,4.5,74.32,82.05,7.73
A83074,70.48,74.44,3.96,15.12,10.27,-4.85,55.36,64.17,8.81,39.5,52.58,13.08
A83075,90.54,93.91,3.37,27.05,31.32,4.27,63.49,62.59,-0.9,93.17,95.26,2.09
A83610,89.85,82.02,-7.83,10.04,7.88,-2.16,79.81,74.14,-5.67,81.03,70.88,-10.14
A83616,87.3,77.06,-10.24,23.12,21.18,-1.95,64.18,55.88,-8.3,94.1,76.32,-17.78
A83617,77.77,77.73,-0.03,33.58,28.04,-5.54,44.19,49.69,5.51,77.01,68.98,-8.03
A83618,60.45,52.16,-8.29,11.17,7.62,-3.55,49.27,44.54,-4.73,30.61,17.5,-13.11
A83619,46.9,68.94,22.03,18.1,32.24,14.14,28.8,36.7,7.89,28.07,82.16,54.09
A83622,94.47,88.9,-5.57,33.91,40.45,6.53,60.56,48.46,-12.1,89.75,93.17,3.42
A83626,82.85,83.22,0.37,29.7,27.35,-2.35,53.15,55.87,2.72,97.68,97.17,-0.51
A83627,69.91,60.72,-9.18,29.61,23.6,-6.0,40.3,37.12,-3.18,76.23,77.11,0.88
A83634,85.65,68.82,-16.83,13.88,13.66,-0.22,71.77,55.16,-16.6,76.36,60.43,-15.93
A83635,66.78,69.15,2.36,6.47,18.04,11.58,60.31,51.1,-9.21,67.71,66.2,-1.51
A83636,75.91,59.89,-16.02,31.62,20.96,-10.66,44.29,38.93,-5.36,91.64,45.99,-45.64
A83637,58.6,72.09,13.48,21.04,22.05,1.02,37.56,50.03,12.47,38.81,72.79,33.98
A83641,84.1,90.21,6.11,23.13,17.72,-5.41,60.97,72.49,11.51,97.87,92.45,-5.42
A83644,74.83,75.66,0.83,23.87,23.38,-0.49,50.96,52.29,1.32,57.33,64.41,7.08
A84002,65.56,64.85,-0.71,36.3,28.43,-7.87,29.26,36.42,7.16,55.67,53.33,-2.34
A84005,67.64,46.99,-20.65,20.22,15.2,-5.01,47.42,31.79,-15.64,75.98,37.54,-38.44
A84006,75.71,76.35,0.64,32.37,34.34,1.97,43.34,42.01,-1.33,78.19,82.65,4.47
A84007,82.97,47.87,-35.1,42.35,19.07,-23.27,40.62,28.8,-11.83,91.74,50.63,-41.11
A84008,51.46,49.41,-2.05,20.83,18.93,-1.9,30.63,30.48,-0.15,40.39,41.68,1.28
A84009,60.09,56.64,-3.45,24.48,22.0,-2.49,35.61,34.64,-0.97,55.47,52.74,-2.74
A84011,86.46,76.71,-9.76,52.85,44.91,-7.94,33.61,31.8,-1.82,85.17,86.45,1.28
A84013,85.67,91.76,6.09,35.15,35.2,0.05,50.53,56.57,6.04,83.61,98.67,15.06
A84014,87.33,89.95,2.62,45.83,43.58,-2.25,41.5,46.37,4.87,88.25,85.69,-2.56
A84016,83.57,73.35,-10.22,48.72,37.0,-11.72,34.85,36.34,1.5,92.49,83.47,-9.02
A84018,54.31,56.92,2.61,29.49,30.23,0.74,24.81,26.69,1.87,43.31,45.14,1.83
A84020,82.38,72.35,-10.04,20.86,19.5,-1.36,61.52,52.84,-8.68,79.98,54.33,-25.65
A84022,66.92,39.21,-27.71,27.05,11.68,-15.37,39.87,27.53,-12.34,65.64,37.68,-27.97
A84024,57.42,57.85,0.43,23.87,26.85,2.98,33.55,31.0,-2.55,47.35,46.17,-1.17
A84025,81.69,81.24,-0.45,29.25,30.13,0.88,52.44,51.11,-1.33,77.18,87.24,10.06
A84026,56.42,52.99,-3.43,11.77,12.29,0.52,44.64,40.69,-3.95,24.73,25.14,0.42
A84027,72.62,68.3,-4.31,24.11,20.98,-3.12,48.51,47.32,-1.19,67.78,64.46,-3.32
A84028,57.43,78.44,21.01,15.01,17.35,2.34,42.43,61.1,18.67,65.45,69.67,4.22
A84029,76.58,67.13,-9.45,32.19,27.23,-4.96,44.39,39.9,-4.49,76.09,56.49,-19.6
A84030,78.15,67.43,-10.72,33.46,30.15,-3.32,44.69,37.28,-7.41,72.41,58.64,-13.77
A84031,60.84,58.52,-2.32,16.97,19.75,2.79,43.87,38.76,-5.11,40.15,41.49,1.34
A84033,78.98,78.81,-0.17,50.29,50.18,-0.11,28.69,28.63,-0.05,79.14,78.01,-1.13
A84034,76.35,74.69,-1.66,38.72,34.59,-4.14,37.63,40.11,2.48,72.72,73.66,0.94
A84035,96.2,89.99,-6.21,66.66,55.69,-10.97,29.54,34.3,4.76,96.6,88.09,-8.51
A84036,58.11,48.29,-9.82,21.11,12.43,-8.69,36.99,35.86,-1.14,48.39,46.33,-2.06
A84037,87.79,88.46,0.67,26.42,25.12,-1.3,61.37,63.34,1.97,89.21,90.22,1.0
A84038,82.38,79.38,-3.0,46.84,33.71,-13.13,35.54,45.68,10.13,85.52,77.0,-8.52
A84039,80.34,77.73,-2.62,35.67,32.4,-3.27,44.67,45.33,0.66,70.22,72.03,1.8
A84040,68.94,66.82,-2.12,32.0,27.4,-4.6,36.95,39.42,2.48,60.54,57.48,-3.06
A84042,82.2,91.56,9.36,29.31,36.0,6.69,52.89,55.56,2.67,70.59,87.72,17.12
A84044,84.64,62.12,-22.52,28.58,22.72,-5.85,56.06,39.39,-16.67,79.63,55.07,-24.56
A84045,67.64,61.6,-6.04,28.08,18.51,-9.57,39.56,43.08,3.53,75.82,65.46,-10.37
A84047,79.34,72.3,-7.04,38.07,39.11,1.04,41.27,33.19,-8.08,81.9,76.58,-5.33
A84604,61.29,57.48,-3.82,27.76,25.49,-2.27,33.53,31.99,-1.55,46.04,42.94,-3.09
A84614,65.61,60.48,-5.14,39.17,35.8,-3.37,26.45,24.68,-1.77,53.74,47.88,-5.86
A84619,68.83,61.83,-7.0,31.73,28.02,-3.71,37.1,33.81,-3.29,77.19,77.02,-0.17
A85001,76.63,73.88,-2.75,35.56,35.61,0.05,41.07,38.28,-2.8,65.84,62.66,-3.18
A85002,83.93,82.68,-1.25,28.2,34.24,6.04,55.73,48.44,-7.29,84.2,79.23,-4.97
A85004,61.24,51.32,-9.92,16.42,16.25,-0.16,44.82,35.06,-9.75,53.03,55.69,2.66
A85005,82.98,76.34,-6.64,50.38,39.88,-10.51,32.6,36.47,3.87,92.36,82.05,-10.31
A85006,53.0,53.21,0.21,19.31,22.49,3.18,33.69,30.72,-2.97,32.68,41.98,9.3
A85007,91.27,91.13,-0.14,38.66,44.42,5.77,52.62,46.71,-5.91,90.68,88.29,-2.39
A85008,72.03,73.32,1.28,18.69,31.28,12.59,53.35,42.04,-11.31,52.67,65.8,13.13
A85009,77.24,75.41,-1.83,34.48,27.92,-6.56,42.76,47.49,4.72,76.01,77.79,1.78
A85010,78.29,76.66,-1.62,36.47,34.12,-2.35,41.81,42.55,0.73,84.11,77.89,-6.22
A85011,81.05,77.89,-3.16,49.16,42.43,-6.73,31.9,35.46,3.57,81.88,78.07,-3.81
A85013,96.54,96.56,0.02,42.87,42.32,-0.54,53.67,54.24,0.57,95.2,94.91,-0.29
A85014,79.68,69.78,-9.9,15.98,21.6,5.62,63.7,48.18,-15.52,73.14,70.18,-2.96
A85016,70.38,69.45,-0.93,31.64,36.2,4.57,38.74,33.24,-5.5,65.89,67.88,1.99
A85017,82.34,86.45,4.11,56.17,57.19,1.02,26.16,29.26,3.09,79.65,87.23,7.57
A85018,75.22,74.49,-0.73,26.72,28.01,1.29,48.5,46.48,-2.01,63.63,60.87,-2.76
A85019,71.16,63.85,-7.31,32.33,26.1,-6.23,38.83,37.74,-1.09,76.5,88.07,11.57
A85020,65.46,68.79,3.32,24.57,29.64,5.07,40.89,39.15,-1.74,58.13,64.23,6.1
A85021,77.15,72.82,-4.33,41.96,32.66,-9.31,35.19,40.17,4.98,68.62,65.59,-3.03
A85024,66.18,64.3,-1.87,25.26,31.41,6.14,40.91,32.9,-8.02,66.02,66.36,0.34
A85026,64.31,62.33,-1.98,21.89,20.69,-1.2,42.42,41.65,-0.77,55.23,42.32,-12.91
A85611,79.93,79.19,-0.74,34.12,36.05,1.93,45.81,43.14,-2.67,67.22,69.76,2.54
A85614,75.72,83.73,8.01,45.49,49.08,3.59,30.23,34.65,4.42,69.08,78.31,9.24
A85616,78.9,76.94,-1.96,34.02,33.41,-0.62,44.88,43.53,-1.35,78.09,68.44,-9.65
A85617,78.74,73.56,-5.18,36.93,31.44,-5.49,41.81,42.12,0.31,75.61,72.26,-3.35
A86003,60.22,52.19,-8.03,18.85,15.87,-2.97,41.37,36.31,-5.06,44.46,42.31,-2.15
A86004,83.69,85.24,1.55,31.48,43.42,11.94,52.2,41.82,-10.38,72.61,84.35,11.73
A86005,86.33,50.96,-35.37,35.54,22.36,-13.19,50.79,28.6,-22.18,92.99,60.64,-32.35
