gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
C81114,80.68,70.0,-10.68,38.74,35.08,-3.66,41.93,34.92,-7.01,83.93,72.58,-11.35
C81115,61.73,57.08,-4.65,23.1,22.87,-0.22,38.63,34.21,-4.43,68.13,50.59,-17.54
C81118,56.38,63.61,7.23,29.82,34.93,5.11,26.56,28.68,2.12,63.41,70.87,7.46
C81604,75.31,66.86,-8.45,44.53,34.54,-9.99,30.77,32.31,1.54,79.02,74.8,-4.23
C81611,72.01,45.59,-26.42,30.52,25.42,-5.09,41.49,20.17,-21.32,54.96,34.98,-19.98
C81615,69.58,71.75,2.17,16.88,16.92,0.05,52.7,54.83,2.13,38.8,41.57,2.76
C81616,68.98,69.62,0.64,30.68,37.32,6.64,38.3,32.3,-6.0,74.41,77.48,3.07
C81634,92.14,72.75,-19.39,49.53,33.36,-16.17,42.61,39.39,-3.22,97.5,77.3,-20.2
C81638,85.99,78.55,-7.44,40.45,31.21,-9.24,45.53,47.34,1.81,95.44,93.71,-1.73
C81640,73.63,69.53,-4.1,18.21,14.09,-4.12,55.42,55.44,0.01,75.86,64.15,-11.71
C81647,60.19,79.51,19.31,29.45,39.59,10.14,30.74,39.91,9.17,86.22,81.36,-4.87
C81649,87.73,78.38,-9.35,42.22,33.85,-8.36,45.51,44.53,-0.98,84.85,82.32,-2.53
C81652,64.41,61.17,-3.24,33.03,33.85,0.82,31.38,27.32,-4.06,54.92,56.8,1.88
C81653,70.11,64.74,-5.37,33.39,25.38,-8.01,36.72,39.36,2.64,57.2,43.1,-14.1
C81655,69.42,59.1,-10.32,31.19,29.64,-1.55,38.23,29.46,-8.77,66.32,55.69,-10.63
C81658,82.29,68.41,-13.88,39.3,34.27,-5.02,42.99,34.14,-8.86,76.64,67.15,-9.48
C81662,32.94,68.28,35.34,2.63,15.86,13.23,30.31,52.42,22.11,7.5,47.71,40.21
C82001,77.43,71.63,-5.8,26.24,30.2,3.96,51.2,41.43,-9.77,71.5,69.93,-1.57
C82002,85.38,51.68,-33.7,43.6,18.89,-24.71,41.78,32.78,-8.99,80.03,31.04,-48.99
C82003,73.61,70.35,-3.26,33.05,29.19,-3.86,40.56,41.16,0.6,68.19,59.08,-9.11
C82005,62.18,80.55,18.37,8.06,33.84,25.78,54.12,46.71,-7.41,18.96,79.21,60.25
C82007,81.14,84.54,3.4,34.55,43.83,9.28,46.59,40.71,-5.88,76.08,83.02,6.94
C82008,80.11,84.97,4.87,43.47,26.47,-17.01,36.63,58.51,21.87,70.26,70.24,-0.01
C82009,80.01,80.56,0.54,27.15,19.26,-7.89,52.87,61.3,8.43,73.52,84.04,10.53
C82010,62.54,57.97,-4.57,10.22,11.31,1.09,52.32,46.67,-5.66,34.28,34.97,0.69
C82011,71.3,72.98,1.69,30.9,28.78,-2.12,40.4,44.21,3.81,63.0,63.68,0.68
C82012,71.09,67.36,-3.73,25.23,29.64,4.41,45.86,37.73,-8.13,59.63,65.4,5.78
C82013,70.2,57.79,-12.41,28.35,13.13,-15.21,41.85,44.65,2.8,57.39,29.93,-27.47
C82014,72.54,72.82,0.28,24.45,22.89,-1.55,48.1,49.93,1.83,65.89,72.01,6.12
C82016,53.56,82.25,28.69,10.57,27.01,16.44,42.99,55.24,12.25,26.68,80.17,53.49
C82017,82.6,77.17,-5.43,28.96,23.33,-5.63,53.64,53.84,0.2,72.94,67.35,-5.59
C82018,94.69,95.31,0.62,25.6,23.92,-1.68,69.09,71.39,2.3,94.85,94.64,-0.21
C82019,84.41,89.42,5.01,30.14,30.37,0.23,54.27,59.05,4.79,88.25,94.0,5.74
C82020,74.1,80.7,6.6,43.56,42.88,-0.68,30.54,37.81,7.28,75.74,82.28,6.53
C82021,59.27,64.96,5.69,12.31,20.91,8.61,46.96,44.04,-2.91,26.13,48.7,22.57
C82022,51.46,71.3,19.84,21.05,32.59,11.54,30.41,38.71,8.3,39.48,63.06,23.58
C82024,52.46,44.69,-7.76,26.45,16.89,-9.56,26.0,27.8,1.8,45.44,36.59,-8.85
C82025,72.14,82.79,10.65,28.24,37.64,9.4,43.9,45.14,1.25,55.38,75.04,19.66
C82026,84.62,74.4,-10.22,33.94,32.94,-1.0,50.68,41.46,-9.22,79.82,73.65,-6.16
C82027,65.23,75.0,9.78,32.39,24.11,-8.28,32.83,50.89,18.06,74.34,59.01,-15.33
C82028,73.98,84.24,10.26,23.26,26.11,2.85,50.72,58.13,7.41,52.47,67.75,15.28
C82030,66.28,72.1,5.82,13.94,20.04,6.1,52.34,52.06,-0.29,37.64,51.51,13.87
C82031,85.8,77.45,-8.35,19.81,22.93,3.12,65.99,54.52,-11.47,68.13,88.31,20.18
C82032,48.31,61.34,13.03,6.91,23.86,16.95,41.4,37.48,-3.92,19.8,60.38,40.58
C82033,85.3,53.57,-31.73,36.78,17.26,-19.51,48.53,36.31,-12.22,79.51,36.88,-42.63
C82034,55.58,55.9,0.32,26.8,27.2,0.4,28.78,28.7,-0.08,55.34,52.82,-2.52
C82035,77.61,71.77,-5.84,31.05,22.81,-8.24,46.56,48.95,2.4,68.55,61.78,-6.77
C82037,72.15,73.29,1.15,33.94,29.27,-4.68,38.2,44.02,5.82,76.38,60.38,-16.0
