gp_code,practice_name,CVDP004HYP,CVDP002HYP,CVDP003HYP,CVDP007HYP,CVDP006HYP,CVDP009HYP,CVDP005HYP,CVDP002AF,CVDP005AF,CVDP004AF,CVDP009CHOL,CVDP011CHOL,CVDP012CHOL,CVDP003CHOL,CVDP006CHOL,CVDP008CHOL,CVDP010CHOL,CVDP004CKD,CVDP006CKD,CVDP005CKD,CVDP007CKD,CVDP003CKD,CVDP002CKD,CVDP003DM,CVDP005DM,CVDP002NDH,CVDP002CHD,CVDP002STRK,CVDP002HF,CVDP001SMOK,CVDP002SMOK,CVDP001BMI
A81001,The Densham Surgery,96.17,69.36,92.63,75.0,,43.78,3.16,92.86,92.86,,94.37,93.07,64.07,70.73,63.16,64.65,79.47,74.74,99.47,75.0,77.4,0.77,,0.0,0.3,1.0,88.19,85.71,,94.35,94.31,77.41
A81002,Queens Park Medical Centre,91.81,74.39,84.98,76.49,0.71,66.1,2.62,96.0,94.82,75.0,91.78,87.48,57.2,75.72,67.05,68.66,79.55,74.14,95.38,77.46,78.1,1.56,0.53,,0.14,0.33,82.5,82.34,,84.28,81.58,82.37
A81004,Acklam Medical Centre,95.59,74.56,87.91,77.38,0.47,29.92,3.47,92.89,91.63,50.0,85.69,88.93,50.09,64.27,65.03,66.84,73.57,51.16,96.41,71.7,80.51,1.02,0.52,,0.14,,83.47,77.87,78.36,90.7,93.36,82.13
A81005,Springwood Surgery,93.85,69.51,86.33,73.87,0.68,21.94,2.69,94.67,92.89,73.33,93.24,91.22,66.0,70.76,67.64,69.28,76.62,75.38,96.0,77.59,75.11,1.89,0.91,,,1.26,82.92,86.61,,58.11,66.9,49.72
A81006,Tennant Street Medical Practice,91.89,78.41,88.08,79.98,0.6,50.45,2.44,94.97,94.34,92.31,92.64,88.19,51.19,73.91,65.14,66.75,79.62,61.31,95.22,80.33,79.56,0.86,0.13,0.0,,0.43,87.07,83.93,,86.19,79.86,80.22
A81007,Bankhouse Surgery,85.98,64.67,78.45,67.35,0.86,39.44,2.89,91.43,90.48,89.47,85.5,70.85,44.26,63.6,50.66,54.28,72.73,51.26,88.38,80.77,71.43,0.72,0.12,,0.14,0.2,76.0,72.56,69.0,73.41,62.5,43.42
A81009,VILLAGE MEDICAL CENTRE,95.99,73.24,86.94,75.63,,59.85,3.05,90.63,88.13,56.25,86.01,91.61,55.48,69.23,61.38,61.53,69.85,63.6,95.22,71.05,76.06,1.25,0.2,,,0.13,79.45,81.48,,89.43,99.24,85.64
A81011,Chadwick Practice,95.89,85.8,95.28,87.63,0.45,8.8,3.46,97.29,95.35,68.75,92.33,90.86,62.08,65.83,62.79,67.45,78.92,29.58,95.42,64.86,84.01,0.55,0.0,0.0,0.29,1.2,93.24,92.62,83.53,93.39,92.13,53.6
A81012,WESTBOURNE MEDICAL CENTRE,86.28,60.61,85.15,63.49,,31.75,2.36,98.65,94.59,,92.65,80.82,44.49,83.16,70.56,70.04,82.98,57.45,91.49,67.74,77.57,0.88,0.19,,0.25,1.39,79.73,67.37,,79.67,81.59,78.78
A81013,BROTTON SURGERY,91.36,66.51,80.41,68.76,,18.08,3.59,95.86,94.67,61.54,90.0,83.49,53.72,68.47,65.73,67.06,69.55,38.27,93.85,78.43,65.26,1.51,0.27,0.0,,0.48,76.87,65.66,85.0,76.73,96.34,46.77
A81014,Queenstree Practice,92.73,78.71,89.2,81.17,,23.18,2.27,94.92,94.07,,88.02,91.92,59.58,68.05,70.18,72.47,80.17,64.14,97.05,72.22,86.67,1.12,0.53,0.0,,0.5,89.3,84.55,,87.12,86.26,88.12
A81016,Park Surgery,94.53,78.51,91.23,80.47,0.66,62.28,2.5,96.85,95.28,,93.43,89.12,57.91,78.03,72.72,74.91,84.66,72.39,95.09,66.3,85.35,0.72,0.08,,0.18,0.78,85.53,80.25,,84.18,84.28,76.44
A81017,Woodbridge Practice,87.67,70.07,82.95,72.26,,64.2,2.33,92.99,90.13,58.62,90.72,88.97,62.99,76.15,65.25,66.08,80.0,69.87,94.29,87.88,80.52,1.37,0.9,,0.19,1.21,81.88,76.23,,74.87,89.76,75.86
A81018,BENTLEY MEDICAL PRACTICE,91.86,68.87,81.66,71.17,,19.76,2.88,92.7,92.7,93.75,90.86,85.65,54.29,70.91,64.71,66.07,78.28,27.01,92.34,69.49,69.75,0.79,,,0.11,0.32,80.63,73.61,77.14,80.56,83.45,68.91
A81019,CROSSFELL HEALTH CENTRE,87.56,59.15,79.29,61.55,0.83,14.38,3.87,95.14,89.58,,90.6,82.33,47.87,75.54,70.61,72.85,81.82,31.06,91.67,62.5,69.0,2.17,1.55,0.12,0.18,1.3,75.79,74.68,66.67,84.44,85.43,69.92
A81020,MARTONSIDE MEDICAL CENTRE,90.9,57.61,72.61,61.0,,27.44,4.31,94.48,94.48,68.75,86.85,78.88,44.83,66.36,64.69,65.92,73.57,43.63,93.31,81.82,64.26,1.29,0.34,,,0.9,75.0,70.66,,78.61,78.11,68.32
A81021,Normanby Medical Centre,92.92,78.38,85.68,79.76,0.45,49.18,2.84,93.33,91.48,61.76,90.02,88.36,50.34,71.37,64.49,66.29,78.89,57.79,95.38,74.31,80.05,1.06,0.24,,0.13,0.97,87.7,82.07,,80.73,98.05,75.33
A81022,Hillside Practice,94.38,75.96,88.95,78.2,0.8,49.42,3.55,95.47,94.65,90.0,91.0,92.26,67.3,75.25,72.53,73.65,83.13,68.27,93.17,71.11,81.16,2.05,1.61,,0.14,0.64,89.47,80.88,,90.07,81.61,73.33
A81023,The Endeavour Practice,95.29,74.19,82.73,75.22,,62.53,2.45,88.31,87.01,83.33,92.12,91.1,52.05,72.12,70.03,70.96,79.6,65.67,95.52,66.67,79.29,0.6,,0.0,,0.79,80.65,82.0,,88.43,91.29,82.7
A81025,THE DOVECOT SURGERY,93.23,70.47,90.29,74.81,1.12,23.35,3.49,97.67,96.51,100.0,91.2,96.0,59.2,71.43,63.59,68.23,80.12,62.57,93.57,61.54,80.65,1.35,,,0.4,2.66,92.64,93.18,,98.29,96.58,70.71
A81026,Linthorpe Surgery,89.8,62.39,77.51,64.61,0.64,37.85,2.74,94.99,93.59,74.29,88.08,90.7,48.64,68.14,61.58,60.91,74.55,51.31,91.7,65.38,70.33,0.88,,,0.18,0.41,77.78,75.26,,82.52,95.04,48.53
A81027,Yarm Medical Practice,89.63,66.76,79.86,69.9,,14.3,2.42,92.46,91.97,96.0,85.57,85.7,52.61,66.56,61.68,62.29,72.21,44.84,91.58,69.23,71.88,1.2,0.33,,,0.35,80.57,78.03,,77.78,80.39,67.52
A81029,Prospect Surgery,93.92,69.65,84.25,71.66,,42.96,3.03,100.0,100.0,,89.69,88.13,45.31,71.19,66.27,66.07,73.05,56.03,96.1,82.76,75.77,0.31,,,0.18,0.36,79.47,83.19,,90.22,86.16,82.5
A81030,Borough Road & Nunthorpe Medical Group,93.99,68.22,84.58,71.53,0.68,58.16,2.51,94.38,93.54,68.18,88.04,93.52,58.21,63.96,60.64,62.24,72.51,71.47,96.86,74.59,74.41,0.72,0.0,0.0,0.11,0.2,79.96,84.29,88.79,83.67,96.92,49.71
A81031,Havelock Grange Practice,97.01,70.7,87.55,74.13,,22.05,3.48,96.4,96.4,,91.14,91.14,47.32,69.5,62.84,66.18,71.65,73.59,95.89,74.42,74.48,1.27,0.52,0.15,0.27,0.38,85.0,79.22,75.79,92.32,89.32,86.18
A81032,THE GARTH,90.77,66.65,77.52,69.27,,58.85,2.91,92.88,91.86,53.85,85.19,82.41,47.59,59.4,53.66,54.73,67.78,59.63,92.96,65.85,66.97,2.68,2.21,,0.23,2.33,81.4,76.38,,74.14,80.13,69.33
A81034,Thornaby & Barwick Medical Group,93.68,74.78,91.7,77.08,,21.82,2.39,90.18,88.66,93.62,91.48,84.13,59.11,75.46,68.11,70.43,80.11,33.9,91.3,63.77,80.87,0.56,0.07,,0.16,,86.76,85.93,,75.29,79.17,44.93
A81035,NEWLANDS MEDICAL CENTRE,88.6,77.3,84.42,78.44,,14.2,2.02,92.41,91.14,60.0,89.52,83.3,47.25,61.9,55.95,58.45,72.86,33.33,92.33,72.22,82.19,0.76,0.16,0.12,0.35,1.92,85.76,83.48,,83.82,70.26,73.04
A81036,Norton Medical Centre,88.73,61.3,83.21,65.56,0.55,22.53,2.63,92.86,91.56,75.0,88.9,84.42,52.29,68.51,65.39,67.71,80.48,71.62,94.67,75.79,72.89,0.81,0.13,,0.14,,81.4,73.92,,86.26,86.83,79.89
A81037,THE ERIMUS PRACTICE,83.63,60.42,67.86,61.58,,17.25,3.64,94.12,90.59,100.0,97.11,68.49,42.77,83.39,81.51,83.29,89.74,29.49,84.62,75.0,70.37,1.76,1.08,,0.37,1.37,67.54,68.81,,81.15,82.2,49.53
A81038,Hirsel Medical Centre,87.32,52.25,87.04,56.83,,39.43,4.73,95.65,95.65,,89.76,70.48,39.16,75.35,61.39,66.19,88.1,33.33,85.71,,51.61,2.6,1.28,,0.29,2.71,64.15,56.72,,82.78,80.0,61.03
A81039,Eaglescliffe Medical Practice,89.82,76.35,87.14,78.66,0.51,19.12,1.89,91.91,91.54,100.0,88.12,85.03,54.17,70.57,63.41,63.23,75.21,59.19,94.44,62.5,79.49,0.78,,,0.18,0.15,88.14,80.4,86.52,82.12,88.14,77.76
A81040,Marsh House Medical Practice,75.25,50.78,66.54,53.56,,5.16,3.19,94.76,92.86,84.62,86.9,77.76,40.69,67.48,63.95,65.34,73.42,8.28,87.15,76.92,62.71,0.83,,0.13,0.26,0.42,65.05,59.05,,66.18,71.5,57.81
A81041,Hart Medical Practice,93.3,81.58,87.31,82.64,,67.84,3.16,95.16,94.35,100.0,91.71,90.24,66.18,78.6,72.02,74.92,84.58,72.66,96.03,79.73,82.99,0.66,0.12,,,0.18,87.86,83.63,85.71,85.03,83.9,86.18
A81042,South Grange Medical Group Practice,92.9,76.73,85.24,78.23,0.74,41.48,3.36,94.62,93.08,,91.12,89.34,53.43,75.27,70.93,71.86,82.15,60.96,96.23,69.42,80.39,0.73,,,0.15,0.39,81.76,75.48,,75.37,78.27,65.93
A81044,Mckenzie House Surgery,96.97,80.12,90.32,81.94,0.53,59.99,3.01,91.71,90.55,80.77,87.55,90.9,52.02,66.03,63.59,65.63,71.93,61.78,94.86,72.26,85.13,1.18,0.27,0.06,0.34,0.33,87.23,84.49,,91.12,94.62,86.95
A81045,THE COATHAM ROAD SURGERY,92.08,72.08,84.89,74.64,,45.82,4.17,96.5,95.1,90.91,87.01,85.05,51.47,71.03,62.85,65.31,75.54,51.07,92.66,68.75,72.17,0.8,,,,0.21,82.81,70.99,,78.89,74.31,64.79
A81046,Woodlands Family Medical Centre,77.14,46.12,65.13,50.43,,16.3,3.66,95.77,95.44,44.83,87.07,80.74,46.08,67.17,62.05,61.8,74.34,45.58,86.28,,61.27,2.46,1.92,,0.2,1.08,70.65,65.0,,70.24,62.9,47.61
A81048,Zetland Medical Practice,95.39,71.51,84.82,75.25,,66.57,3.27,94.27,92.75,,90.88,91.99,68.53,73.82,69.37,70.55,81.09,74.45,98.19,72.97,75.77,1.26,0.21,,0.21,1.06,84.47,80.17,,82.38,76.44,82.74
A81049,Kings Medical Centre,94.92,74.77,83.54,76.15,,25.06,3.02,96.97,94.95,,93.59,88.3,64.35,68.98,66.62,71.07,83.33,36.67,93.33,,75.13,1.34,0.37,0.19,0.27,1.12,80.74,80.0,,82.81,85.49,75.58
A81051,Cambridge Medical Group,90.66,68.13,75.72,69.42,,43.33,4.05,91.13,91.13,,88.86,82.4,45.16,62.8,58.8,62.87,84.62,60.44,93.96,62.5,68.71,1.27,0.63,,0.42,0.19,74.63,70.99,85.25,76.92,76.65,80.35
A81052,The Green House Surgery,94.15,67.03,81.41,69.85,,59.65,4.6,91.25,89.17,100.0,88.8,92.75,60.96,63.68,59.96,60.52,69.83,59.59,96.83,66.67,70.14,1.51,0.25,0.0,0.16,0.72,83.33,76.26,,76.09,83.96,78.22
A81053,Woodside Surgery,92.74,69.58,85.19,72.33,,61.51,3.6,95.87,94.21,,86.79,87.56,54.66,62.08,53.16,57.5,77.48,72.52,96.4,69.7,73.18,1.83,1.48,,,0.48,86.01,74.45,,74.74,82.87,82.68
A81054,The Saltscar Surgery,97.26,71.47,83.33,73.72,,71.27,3.91,94.44,93.89,62.5,87.45,87.83,57.3,66.86,55.93,56.78,68.93,76.92,95.86,69.7,76.79,1.5,0.5,,0.12,,87.58,85.19,,86.83,79.57,80.4
A81056,MELROSE SURGERY,92.43,81.47,84.62,82.1,,4.94,2.71,94.34,92.45,,91.89,92.57,50.0,63.41,47.21,54.47,78.23,14.97,95.92,,84.0,0.92,0.0,0.0,,1.23,90.0,78.46,,86.46,85.26,77.37
A81057,Kingsway Medical Centre,95.56,72.03,87.86,74.49,0.55,35.41,2.86,93.12,92.66,100.0,90.36,92.65,58.66,73.71,71.03,70.94,78.22,65.75,97.25,82.43,80.0,0.96,0.11,,0.29,0.47,83.38,81.82,,92.61,87.68,86.0
A81058,Coulby Medical Practice,94.01,76.67,86.22,78.49,,23.12,1.79,91.13,88.18,,82.02,88.01,42.12,46.43,40.06,43.33,61.35,42.58,93.01,79.59,78.13,1.03,0.12,,0.22,5.04,83.57,81.44,74.26,75.22,82.61,55.35
A81060,West Quay Medical Practice,87.49,71.99,78.79,73.23,,47.68,3.09,91.67,91.67,,88.66,84.63,37.28,59.39,57.35,60.06,71.36,46.82,89.55,63.16,65.81,1.5,0.37,,0.26,2.75,79.39,75.69,,86.76,86.27,70.58
A81063,The Headland Medical Centre,90.94,79.2,93.45,81.5,,20.86,2.61,94.59,94.59,93.33,87.61,91.35,60.23,66.15,65.22,67.42,71.15,42.31,92.31,76.92,82.72,1.68,1.21,0.19,0.47,1.91,84.07,84.13,,83.25,80.86,78.31
A81064,The Discovery Practice,91.94,57.59,80.95,61.61,,14.86,4.18,95.89,95.89,100.0,89.96,82.01,41.0,69.47,59.22,60.9,75.0,24.19,91.94,71.05,66.67,1.0,0.55,,0.14,0.47,75.0,69.62,,91.28,87.18,58.25
A81066,Park Lane Surgery,95.58,79.9,90.57,81.68,,15.39,1.68,90.91,90.91,92.31,92.81,90.07,61.64,72.08,68.45,71.34,87.41,60.0,95.19,83.33,83.5,0.62,0.0,0.0,,,90.55,80.58,,85.59,80.0,79.3
A81067,ALMA MEDICAL CENTRE,93.62,75.74,89.8,77.51,,18.75,2.25,94.86,93.71,,89.87,90.96,58.41,75.74,69.14,74.07,79.77,53.47,96.82,76.47,81.59,0.67,,,0.24,1.23,87.04,78.31,90.91,97.99,88.96,61.48
A81070,Mckenzie Group Practice,95.03,79.69,92.11,81.73,,61.0,3.21,92.39,92.39,,84.83,89.66,49.31,64.55,63.13,65.18,74.44,67.67,96.99,82.61,83.49,0.91,0.65,,0.34,0.42,89.3,83.0,,86.83,82.84,86.29
A81602,DR RASOOL,93.24,74.83,89.39,78.16,,70.2,1.8,96.67,95.0,,88.76,88.76,51.48,63.12,64.64,65.39,70.0,82.5,100.0,,80.56,3.44,2.97,0.0,,,84.38,76.19,89.47,80.0,81.08,78.88
A81608,Elm Tree Surgery,90.94,69.85,84.83,71.02,0.35,16.49,1.65,91.67,87.5,77.78,94.05,91.36,44.91,86.99,86.64,85.68,86.47,57.43,96.7,86.11,77.88,0.69,0.08,0.0,0.1,,84.45,81.73,77.22,85.5,88.01,84.75
A81610,The Roseberry Practice,95.27,76.75,89.87,79.18,,78.65,2.66,94.57,94.02,,90.73,90.95,55.17,74.44,68.36,68.8,81.27,80.27,95.32,63.64,81.0,0.74,,,,,87.54,79.46,,85.1,87.44,78.16
A81611,Parkway Medical Centre,93.17,71.46,89.29,74.68,,48.44,2.58,93.17,91.3,,88.0,87.6,49.2,69.6,60.51,62.95,74.05,59.92,91.98,78.79,69.06,1.44,0.76,,0.12,1.29,84.07,86.06,,76.13,80.99,80.71
A81612,The Patel Practice,94.41,76.88,90.12,79.43,,37.24,3.5,96.39,96.39,,87.63,93.13,53.95,63.64,53.72,58.8,74.31,59.03,95.14,76.92,74.79,1.39,0.39,,,1.22,84.95,79.05,,88.71,86.99,74.24
A81618,HUNTCLIFF SURGERY,95.77,82.53,88.19,83.92,1.01,13.12,1.96,89.26,88.34,80.95,86.08,90.08,54.72,53.59,46.42,49.61,66.97,46.39,96.57,78.57,78.81,1.09,0.14,0.0,,0.76,89.58,88.93,,80.37,91.83,50.34
A81621,Thorntree Surgery,93.2,78.99,100.0,81.23,,51.7,3.0,96.88,96.88,,91.43,85.71,50.71,85.33,78.06,78.26,84.62,38.46,90.77,,87.8,1.4,,0.0,,0.62,87.84,81.67,,85.55,74.57,76.59
A81622,Gladstone House Surgery,93.96,77.91,93.25,80.66,,58.02,3.72,94.12,94.12,88.89,87.42,84.97,52.15,63.3,59.67,64.16,75.51,55.1,95.92,72.73,85.98,1.36,0.53,,0.3,1.04,86.63,76.8,73.53,86.07,83.82,80.04
A81629,RIVERSIDE MEDICAL PRACTICE,84.65,64.66,83.23,67.05,1.36,19.57,2.17,95.58,95.58,,89.71,84.79,53.47,76.63,68.41,69.72,81.65,45.68,94.6,80.65,76.92,0.44,,0.0,0.27,2.0,79.93,71.59,,71.38,78.03,49.23
A81631,West View Millenium Surgery A,97.5,69.41,84.59,71.82,,79.7,3.04,93.33,92.12,94.74,89.65,95.24,57.56,72.73,65.56,68.32,77.75,84.4,98.21,74.47,77.3,0.23,,,,0.15,84.26,80.32,,94.28,91.58,90.74
A82003,Ulverston Medical Practice,88.91,68.74,80.15,71.61,,15.93,2.54,92.12,91.21,79.41,88.23,85.85,48.94,58.29,50.08,49.55,66.55,46.0,96.73,73.08,75.76,1.27,0.2,,0.16,2.33,80.79,74.91,,64.57,75.1,46.96
A82004,Alston Medical Practice,96.09,77.64,90.63,80.08,,80.87,3.42,86.89,86.89,,88.28,94.48,62.07,63.28,54.55,55.47,76.05,85.03,97.01,61.54,86.59,0.9,,,0.0,1.95,95.35,90.48,97.14,86.11,88.89,89.78
A82005,Ambleside Health Centre,90.73,68.53,81.09,71.9,,70.45,1.89,88.97,88.24,,86.59,85.98,43.29,60.0,55.34,55.76,71.43,73.33,95.24,64.71,72.73,1.07,0.57,,,4.53,85.71,76.64,86.96,74.59,59.84,63.98
A82006,Appleby Medical Practice,89.58,66.85,88.81,71.92,0.77,31.02,0.89,90.64,90.64,50.0,87.53,81.3,51.62,57.24,52.62,52.76,63.92,60.51,90.34,90.0,70.9,1.92,0.46,0.0,,0.84,86.18,83.64,76.92,85.99,78.98,71.71
A82007,Duke Street Surgery,93.63,80.27,89.22,81.93,0.44,20.03,2.17,94.03,90.3,91.3,88.0,81.48,44.44,60.58,51.28,51.87,69.67,46.72,93.44,80.0,79.55,1.61,1.12,,0.13,1.1,90.71,79.77,90.65,83.1,95.29,73.04
A82008,Norwood Medical Centre,88.47,62.2,78.2,66.27,0.73,37.32,3.68,89.68,89.68,89.47,88.05,87.2,53.45,62.55,56.97,58.43,77.54,65.48,95.74,,73.0,1.76,0.85,0.15,0.47,4.9,80.64,75.53,,77.04,82.07,58.93
A82009,BRIDGEGATE MEDICAL CENTRE,85.39,64.92,82.15,68.98,,20.03,1.77,95.38,94.87,80.0,89.6,76.6,44.6,73.12,68.57,68.8,84.21,36.22,89.78,82.35,69.5,1.47,0.84,0.16,0.26,2.23,83.77,75.79,69.03,81.18,76.0,69.81
A82010,Abbey Road Surgery,92.14,74.46,84.5,76.5,0.8,68.0,1.79,93.49,92.31,90.91,88.52,86.36,55.98,73.67,65.4,67.1,82.27,68.14,98.34,79.17,79.31,1.2,0.22,,,0.96,83.85,77.71,88.64,75.0,79.64,76.83
A82012,Brampton Medical Practice,89.04,66.82,78.69,69.91,0.64,59.23,2.78,94.78,93.53,82.5,89.32,85.39,58.83,57.62,46.25,47.66,78.55,67.42,92.05,64.1,70.73,2.54,1.48,,0.08,2.33,80.94,76.79,81.34,67.99,65.64,70.85
A82013,Upper Eden Medical Practice,95.97,76.16,88.0,79.25,,77.01,1.99,93.48,93.48,88.89,85.53,92.03,63.31,70.77,62.58,62.42,76.18,83.16,96.92,70.59,82.77,1.6,0.68,0.0,,7.74,87.2,83.58,,83.87,75.97,87.54
A82014,Caldbeck Surgery,94.94,70.28,86.43,73.97,,18.68,2.15,94.19,93.55,100.0,82.68,87.99,53.91,59.62,54.03,54.63,70.04,40.82,97.0,56.25,75.0,2.05,0.67,0.0,,,83.87,85.35,83.61,85.95,94.96,80.8
A82015,Carlisle Central Practice,87.53,64.3,76.75,66.97,,47.1,2.04,94.55,93.64,84.21,86.07,79.81,51.11,53.54,40.4,40.6,69.24,54.48,88.05,73.08,68.32,1.27,0.33,,0.23,3.5,75.88,75.0,74.11,72.73,82.4,62.31
A82016,Carlisle Healthcare,90.12,71.59,83.88,74.29,0.63,21.07,1.99,86.57,85.23,84.71,85.32,81.75,52.25,57.56,51.26,52.38,71.23,67.33,92.81,66.67,80.33,1.46,0.5,,0.18,1.52,83.86,80.61,78.59,78.54,84.28,73.14
A82018,Spencer St Surgery,90.11,71.28,86.1,74.69,0.71,15.57,1.27,88.6,88.6,80.49,87.64,83.59,51.09,57.59,47.07,51.82,74.55,42.5,91.59,81.25,75.87,2.53,1.58,,0.27,5.3,82.95,79.32,,78.63,82.1,73.56
A82020,Eden Medical Group,91.69,70.99,83.33,73.57,0.53,30.65,2.39,89.15,88.81,58.82,85.82,82.14,51.04,63.69,52.23,53.13,73.18,64.44,93.45,69.77,76.22,1.7,0.5,,0.11,2.93,80.77,75.41,80.7,87.14,87.24,76.11
A82021,Castlegate And Derwent Surgery,90.15,66.29,79.87,69.56,0.37,62.74,1.58,89.02,84.76,88.37,86.22,85.42,53.8,56.27,44.64,46.59,68.79,68.15,94.69,79.14,69.57,1.22,0.45,,0.0,4.41,80.17,77.09,86.96,80.62,79.72,78.36
A82022,Dalston Medical Group,95.81,81.46,88.66,83.55,,20.96,1.12,95.68,94.96,,88.98,95.04,62.81,52.37,46.63,49.13,73.2,78.18,97.24,76.19,79.59,1.66,0.7,,,1.36,88.64,85.43,83.64,89.11,58.42,85.91
A82023,Distington Surgery,96.08,78.33,92.63,81.88,,34.4,3.05,89.22,87.43,93.33,88.24,85.92,58.19,72.86,64.12,62.63,70.22,57.07,92.8,80.85,77.81,1.44,0.74,,,0.52,92.72,86.39,74.23,72.73,71.57,77.56
A82024,Seascale Health Centre,92.98,73.63,89.93,77.51,,45.72,1.58,93.62,93.62,85.71,85.65,89.23,56.46,58.87,47.39,47.69,65.21,59.18,96.16,,81.77,1.56,0.87,,,5.19,89.06,89.94,,82.54,63.71,76.96
A82025,Captain French Surgery,91.19,68.32,79.02,70.7,,20.5,2.42,91.79,91.43,67.86,80.42,69.09,35.28,62.07,52.73,52.94,68.98,50.0,94.16,80.0,66.67,1.78,1.26,,0.1,1.62,82.87,75.81,84.69,73.44,73.23,75.28
A82026,The James Cochrane Pract.,93.73,66.96,83.08,71.4,,73.17,2.41,87.84,85.36,47.83,84.73,88.22,50.41,59.96,51.51,51.82,69.44,75.73,95.91,71.97,73.0,1.39,0.5,,0.06,1.23,83.09,78.95,,80.32,77.17,80.81
A82027,Station House Surgery,89.01,60.67,80.0,65.7,0.46,59.54,2.45,89.63,87.96,44.12,81.96,81.52,44.13,67.75,61.13,60.75,70.76,66.37,92.69,85.0,69.47,1.82,1.31,,0.14,2.44,77.26,77.78,,74.82,73.48,73.9
A82028,Castlehead Medical Centre,90.58,66.29,84.9,71.39,,65.91,2.21,88.93,86.96,58.33,80.22,86.15,56.83,52.19,46.77,46.53,58.58,68.05,93.69,59.09,65.55,1.15,0.15,0.0,0.11,0.8,82.7,80.41,82.47,69.55,66.97,63.58
A82029,The Croft Surgery,94.48,72.47,88.44,75.78,,17.57,1.85,95.45,93.64,,79.22,82.75,50.59,52.72,44.95,46.49,55.67,32.62,96.45,,75.25,0.99,,0.0,,,82.63,81.19,,77.0,87.88,69.86
A82030,Lunesdale Surgery,90.52,62.68,77.74,66.98,0.67,52.7,2.13,93.06,92.13,64.0,85.34,85.11,41.84,52.99,45.53,46.72,66.67,58.67,93.33,73.68,67.68,2.31,1.18,,0.27,3.17,75.1,77.78,,60.87,81.93,64.63
A82031,Shap Medical Practice,91.76,69.98,80.85,72.16,,27.73,2.39,89.89,88.76,,87.89,84.3,46.19,62.54,55.36,56.65,73.12,72.04,96.24,72.73,73.6,1.23,0.95,0.0,,0.28,78.79,85.23,,57.01,54.21,50.36
A82032,MARYPORT HEALTH SERVICES,90.6,72.11,86.77,75.13,0.43,22.62,1.18,90.75,90.46,86.36,84.77,77.78,51.72,62.35,55.84,55.1,64.25,36.08,88.14,71.11,72.73,2.08,1.44,,0.08,0.39,82.13,79.45,,83.39,87.73,76.15
A82033,Waterloo House Surgery,68.8,46.15,66.14,50.44,,18.69,3.68,90.38,89.9,77.78,77.14,64.2,29.92,53.41,47.67,50.5,56.07,28.32,83.82,,55.91,3.0,2.49,0.23,0.32,6.51,79.8,58.19,,54.78,66.04,45.32
A82035,Birbeck Medical Group,93.36,78.11,87.02,80.43,0.56,64.74,1.47,91.99,90.85,92.86,85.54,89.26,58.13,57.93,48.91,48.91,67.89,60.17,94.28,,75.94,0.99,0.12,,0.11,0.53,90.05,86.43,88.72,75.47,77.36,72.46
A82036,The Lakes Medical Practice,90.93,58.03,80.42,63.38,,64.19,1.91,89.01,86.17,37.5,82.04,80.68,46.39,50.75,41.91,41.53,56.4,61.42,90.48,64.29,66.61,1.93,0.92,,0.11,0.63,74.77,71.97,,76.31,66.07,73.66
A82037,SILLOTH GROUP MEDICAL PRACTICE,89.95,75.08,81.73,76.69,,53.39,1.42,92.05,91.48,,85.41,88.04,53.83,58.45,41.95,42.19,59.86,52.26,94.06,68.75,81.48,2.21,0.71,,,2.52,83.2,80.49,,84.12,66.07,68.81
A82038,Temple Sowerby Medical Practice,97.38,80.92,90.4,82.97,,86.17,1.31,92.86,92.06,,78.05,94.72,47.56,50.27,45.35,44.92,57.51,88.73,98.27,,83.43,0.68,0.0,,,,92.95,90.72,,91.74,90.83,90.05
A82039,Dalton Surgery,86.83,62.24,80.68,66.41,,14.79,1.7,88.89,88.49,94.12,83.33,78.03,40.34,53.15,45.07,48.9,63.92,33.68,90.03,,64.0,1.96,0.94,,0.22,2.79,76.67,71.76,74.52,75.0,81.62,70.28
A82041,LOWTHER MEDICAL CENTRE,93.23,78.87,90.38,81.37,0.7,51.16,3.85,95.1,92.8,89.47,88.83,83.61,52.56,70.08,62.12,62.89,75.97,60.93,95.66,83.33,81.66,1.61,1.06,,0.13,1.52,88.01,86.78,,81.84,64.9,81.78
A82044,Fellview Healthcare,94.04,73.36,87.67,76.03,0.6,25.74,2.67,91.58,90.86,94.12,88.53,85.96,50.26,68.75,62.31,61.56,73.24,54.46,95.42,77.19,77.45,1.18,0.23,0.08,0.16,1.6,84.91,84.59,90.75,89.49,81.82,82.52
A82045,Wigton Group Medical Practice,95.6,73.27,89.13,76.19,,25.63,1.76,91.1,90.68,80.95,88.99,91.19,60.94,61.46,51.07,53.4,69.26,71.38,97.53,,73.11,1.76,0.51,,,0.59,86.44,80.88,,91.04,91.01,89.57
A82046,WINDERMERE HEALTH CENTRE,92.78,60.84,81.44,66.53,,67.94,2.12,88.75,87.5,82.35,87.45,89.88,46.96,63.49,53.85,54.99,76.99,79.65,95.58,,70.87,1.26,0.84,,0.2,2.66,86.96,75.49,,80.53,76.58,73.5
A82047,JAMES STREET GROUP PRACT,92.5,67.53,81.79,70.65,0.59,50.31,3.49,90.9,89.23,49.15,86.73,82.08,51.22,65.69,58.02,57.8,70.03,61.51,91.33,68.75,71.36,1.05,0.16,0.03,0.12,0.43,79.73,78.21,,83.51,73.3,76.9
