gp_code,practice_name,CVDP004HYP,CVDP002HYP,CVDP003HYP,CVDP007HYP,CVDP006HYP,CVDP009HYP,CVDP005HYP,CVDP002AF,CVDP005AF,CVDP004AF,CVDP009CHOL,CVDP011CHOL,CVDP012CHOL,CVDP003CHOL,CVDP006CHOL,CVDP008CHOL,CVDP010CHOL,CVDP004CKD,CVDP006CKD,CVDP005CKD,CVDP007CKD,CVDP003CKD,CVDP002CKD,CVDP003DM,CVDP005DM,CVDP002NDH,CVDP002CHD,CVDP002STRK,CVDP002HF,CVDP001SMOK,CVDP002SMOK,CVDP001BMI
F84021,London Fields Medical Centre,79.95,56.77,73.45,58.9,,26.99,0.54,74.51,72.55,,83.13,73.09,42.57,69.57,51.88,52.65,76.67,48.89,90.0,80.85,71.23,0.56,0.15,,0.12,1.13,77.11,61.73,,69.76,80.2,51.21
F84022,Stratford Health Centre,86.54,63.7,76.62,65.26,,22.77,1.2,84.21,84.21,,88.44,92.49,47.98,67.72,53.6,51.28,66.55,28.28,89.66,76.92,67.87,0.33,,0.0,0.13,0.6,78.81,71.43,,82.56,90.59,74.46
F84025,GOUGH WALK PRACTICE,83.04,66.25,71.43,66.73,,40.96,1.06,91.3,89.86,88.89,87.87,66.57,40.24,77.67,65.03,65.22,76.92,52.51,81.94,73.81,68.38,0.72,0.34,,0.21,0.73,78.63,71.55,54.55,74.84,89.07,72.7
F84030,RUSTON STREET CLINIC,92.11,65.29,82.35,67.84,,45.31,1.19,96.15,96.15,,91.15,89.38,61.06,83.11,67.52,69.49,88.52,79.51,91.8,66.67,65.79,0.78,0.25,0.0,,0.69,83.54,77.27,,85.42,84.21,79.29
F84031,The Jubilee Street Practice Ltd,90.85,75.16,78.22,75.62,,48.15,0.7,88.89,88.03,,92.02,73.62,49.28,79.47,64.06,64.98,83.22,55.59,86.01,72.73,75.98,0.31,,,0.15,0.48,85.94,81.09,,78.82,90.14,67.65
F84033,Somerford Grove Practice,86.34,73.08,88.98,74.44,0.61,32.66,0.82,95.83,94.44,100.0,91.42,88.47,57.1,70.51,48.67,49.51,75.38,69.62,92.69,80.43,82.59,0.67,0.24,,0.14,0.39,88.1,86.92,,87.59,95.43,66.82
F84034,St. Stephens Health Centre,93.43,76.67,80.89,77.14,1.07,35.52,0.83,93.07,92.08,76.92,89.1,86.02,54.74,78.68,61.29,61.62,79.14,69.94,89.16,66.67,78.64,0.78,0.26,,0.14,1.6,86.69,82.99,,84.1,91.45,83.87
F84035,Richmond Road Medical Centre,92.55,75.0,88.89,76.77,,22.84,0.49,87.93,84.48,,81.22,67.51,36.55,68.24,47.77,47.93,65.7,35.47,88.95,83.33,75.76,0.24,0.13,,0.04,0.79,86.51,89.87,,70.05,83.5,59.16
F84036,THE CEDAR PRACTICE,88.43,75.37,81.08,76.06,,61.13,0.69,94.59,89.19,,91.54,79.1,49.75,76.89,54.15,54.92,74.0,69.33,88.0,72.73,73.19,0.3,,,,1.69,88.37,84.81,,84.62,87.18,73.15
F84038,BEECHWOOD MEDICAL CENTRE,95.25,83.24,87.5,83.75,,31.6,1.53,88.46,88.46,,95.1,84.31,50.98,84.83,69.64,70.26,88.98,33.9,90.68,88.24,81.08,1.46,0.83,0.0,,3.73,92.54,91.43,70.27,94.0,93.0,79.37
F84039,Goodman'S Field Health Centre,91.27,79.48,87.94,80.01,1.51,40.69,0.64,92.0,90.0,95.0,94.0,86.68,60.04,84.0,67.99,67.69,81.32,56.76,85.77,74.55,73.26,0.26,,,0.18,0.48,85.57,82.53,73.03,73.58,67.73,63.64
F84044,HARLEY GROVE MEDICAL CTR.,91.89,79.05,80.33,79.17,,62.93,0.47,92.0,92.0,,92.22,89.22,62.28,84.38,73.72,74.16,87.18,81.03,95.38,73.08,83.24,0.43,0.16,,,0.61,85.05,80.3,76.0,84.13,93.65,84.35
F84047,CUSTOM HOUSE SURGERY,73.51,59.49,73.64,60.83,,46.17,1.04,86.96,86.96,,90.04,85.66,47.41,66.76,57.16,56.29,71.96,62.7,89.68,65.63,69.14,0.81,0.24,0.0,0.2,0.87,82.32,71.28,79.71,70.18,68.61,68.57
F84050,BOLEYN MEDICAL CENTRE,75.33,59.39,67.74,60.25,,34.78,0.96,88.46,84.62,88.89,91.18,72.22,45.75,76.41,63.01,63.72,80.9,52.43,82.02,88.24,67.17,0.69,0.27,0.0,,0.55,70.31,67.71,76.79,56.05,77.46,65.61
F84051,Strouts Place Medical Centre,92.19,80.53,93.33,81.83,,63.04,0.55,97.06,97.06,100.0,89.33,85.33,54.67,84.44,68.84,69.02,83.33,64.91,96.49,83.33,86.0,0.43,0.16,,0.11,0.55,93.75,90.48,,78.62,93.57,71.44
F84052,Essex Lodge,90.49,72.63,86.78,74.02,0.47,28.07,1.7,83.33,80.21,,86.85,81.03,49.78,61.82,52.2,54.69,72.84,46.69,86.25,79.49,79.62,0.62,0.27,,,0.95,85.03,81.55,74.14,80.1,80.76,68.34
F84053,GREENGATE MEDICAL CENTRE,71.52,48.92,47.83,48.81,,37.1,1.9,91.49,87.23,,87.11,73.05,39.45,67.03,53.1,53.08,64.31,42.48,80.83,57.14,55.77,0.91,0.42,0.13,0.18,0.55,64.41,63.64,51.11,49.18,76.45,56.95
F84054,THE LIMEHOUSE PRACTICE,97.71,87.17,94.0,87.8,,73.36,0.7,87.5,84.38,,91.32,92.71,61.11,79.37,62.01,63.23,79.87,74.59,98.02,67.24,88.28,0.41,0.15,,,0.66,92.61,83.72,,89.44,94.31,87.49
F84055,The Grove Road Surgery,90.85,78.9,86.21,80.34,,30.56,0.51,96.55,96.55,,94.67,89.33,64.0,72.92,60.12,61.93,84.21,64.91,84.21,,78.26,0.72,0.97,,,1.42,91.84,81.48,,88.79,74.77,79.48
F84060,Athena Medical Centre,85.4,62.55,67.31,63.57,,48.04,1.15,96.3,92.59,,86.52,62.41,40.43,68.67,49.59,50.09,74.03,59.09,84.42,66.0,66.91,0.91,0.5,,,1.05,81.48,65.52,78.79,58.42,82.11,49.42
F84062,The Chrisp Street Hth Ctr,93.07,70.45,79.86,71.44,,47.43,1.32,85.9,85.9,,89.36,83.91,53.22,75.33,59.78,60.31,77.32,64.69,87.89,76.79,75.85,0.42,,,0.17,0.52,81.89,73.55,,79.29,85.83,76.6
F84069,Well Street Surgery,87.95,69.48,83.13,71.07,,25.16,0.8,89.66,89.66,94.12,91.04,68.91,45.38,61.76,47.22,49.16,74.72,40.34,90.34,69.52,73.7,0.75,0.25,,0.12,2.01,82.61,83.85,,74.68,96.59,60.96
F84070,Lathom Road Medical Centre,90.35,74.0,84.4,75.02,0.9,35.55,0.99,87.5,82.5,,95.51,91.02,62.86,82.1,75.44,74.81,86.6,59.48,88.89,76.92,81.5,0.46,,0.0,,0.7,89.27,82.22,,82.33,82.46,82.15
F84072,De Beauvoir Surgery,91.9,74.48,78.08,74.86,1.14,48.41,0.53,85.19,85.19,81.82,88.19,86.81,55.56,64.5,52.97,53.27,71.9,65.36,90.85,84.0,77.78,0.34,0.11,0.0,,0.62,88.37,82.86,70.0,82.58,81.17,62.16
F84074,Wordsworth Health Centre,82.63,65.06,79.06,66.95,,36.25,0.65,81.48,81.48,,86.28,86.28,55.75,63.5,53.22,52.62,63.64,46.9,84.92,62.18,71.8,0.57,,,0.19,0.73,79.07,73.57,,70.49,72.92,68.63
F84077,Newham Vicarage Practice,92.13,72.98,88.7,74.83,,25.75,0.77,89.29,85.71,,89.19,87.57,49.73,68.63,58.78,57.27,69.28,43.89,93.1,82.35,80.37,0.56,0.1,,0.21,0.5,88.03,82.61,,79.62,84.06,83.39
F84079,THE WAPPING GROUP PRACTICE,94.86,86.16,97.06,87.35,,26.57,0.68,94.52,91.78,83.33,93.36,88.28,62.11,82.2,70.57,69.83,82.78,63.33,91.11,75.0,87.34,0.7,0.45,,0.11,0.44,93.85,96.43,,75.56,95.45,59.26
F84080,Fountayne Road Medical Practice,86.79,72.34,85.54,74.24,,34.02,1.29,94.37,91.55,,88.43,82.09,49.63,68.46,49.2,51.29,81.03,62.93,93.53,75.0,79.29,0.87,0.89,,0.24,2.02,86.11,89.77,77.33,81.12,88.26,61.97
F84081,The Spitalfields Practice,88.75,67.03,74.82,68.04,,37.16,1.29,88.89,86.67,80.0,92.68,84.85,56.31,79.71,65.3,65.45,83.42,55.71,85.6,75.95,70.59,0.41,,,0.19,0.86,82.95,75.83,,69.65,87.79,69.97
F84083,Bethnal Green Health Ctr.,95.24,59.27,57.14,58.97,1.42,40.05,1.01,93.22,86.44,,86.01,70.99,41.98,74.52,64.12,63.68,75.11,54.22,80.89,62.22,60.5,0.92,0.64,,0.28,1.33,75.63,60.0,58.44,72.41,89.55,56.52
F84086,The Forest Practice,89.81,70.73,89.36,73.64,,24.84,1.48,92.73,87.27,,83.07,91.53,57.67,70.62,57.56,55.96,67.25,40.55,94.46,89.47,73.65,0.68,,,0.25,0.81,81.15,78.46,,75.15,85.63,77.71
F84087,Harford Health Centre,87.12,75.91,85.19,76.96,,50.76,0.71,88.89,84.44,,90.87,79.47,54.75,82.18,66.67,68.01,77.82,62.5,83.87,72.22,78.37,0.72,0.45,,0.38,0.75,85.47,81.32,65.96,89.96,89.21,68.93
F84088,Plashet Road Medical Centre,81.56,61.08,73.87,62.61,,40.9,1.97,79.49,76.92,,93.14,82.29,56.0,76.12,63.49,64.11,75.28,48.88,85.96,,75.61,0.64,0.35,,0.26,0.85,79.07,67.16,,73.13,73.75,74.38
F84092,Glen Road Medical Centre,80.3,56.28,64.19,56.95,0.85,32.33,1.56,90.59,85.88,,86.22,78.11,42.16,69.22,57.53,57.47,67.1,37.91,86.06,71.43,60.0,0.89,0.34,,0.33,0.17,64.04,66.46,86.84,62.97,65.74,59.63
F84093,Tollgate Medical Centre,86.72,76.29,86.47,77.07,,29.07,0.92,94.96,93.28,92.86,88.34,90.71,53.95,65.65,54.5,55.58,71.33,70.43,95.34,82.81,82.11,0.63,0.06,,0.15,0.63,84.48,79.14,,76.64,71.9,83.75
F84096,THE LAWSON PRACTICE,90.88,71.73,82.28,72.79,,35.44,0.86,86.49,81.98,84.62,83.82,71.01,41.39,66.37,50.24,50.23,71.87,54.6,89.97,62.65,76.49,0.58,0.17,0.0,0.13,1.23,87.38,79.29,,79.61,89.14,68.96
F84105,The Lea Surgery,94.13,81.36,86.15,81.8,,34.49,1.11,88.52,88.52,90.91,92.77,86.35,51.81,82.19,67.95,67.24,78.96,66.67,93.72,88.73,79.11,0.64,0.15,,0.0,1.62,91.82,82.69,,86.5,88.46,81.82
F84111,Abbey Road Medical Practice,83.36,68.83,89.62,70.69,,28.65,0.8,88.33,88.33,100.0,86.46,85.07,48.96,64.79,55.89,54.55,64.66,41.1,84.66,81.4,73.7,0.64,0.24,,0.23,0.77,82.91,80.39,71.43,80.36,79.56,71.81
F84114,City Square Medical Group,91.98,78.07,84.81,78.93,0.97,68.33,0.89,93.22,93.22,,92.78,83.51,52.58,83.79,69.22,69.14,82.17,66.41,87.34,81.13,77.31,0.52,,0.0,0.2,1.16,85.93,83.65,76.92,79.08,81.88,74.77
