gp_code,sat_24,cont_24,sat_25,cont_25,sat_26,cont_26,d_sat_25_26,d_cont_25_26,n_25,n_26,deflection_2026,access_satisfaction_2026,pt_same_day_2026,imd_score,rural,region
A81039,92.552452965709,54.1702565371136,92.7482682,54.2963371,93.8312430625955,41.1051535271651,1.0829748625955062,-13.191183572834902,121.0,105.0,4.4770818577735305,83.1133101649338,48.0477238939144,9.7,0.0,NORTH EAST AND YORKSHIRE
A81040,63.6216536335075,44.7419884426799,57.4474461,41.6927047,74.835086704274,55.6750181878681,17.387640604274004,13.982313487868097,91.0,117.0,7.41436824050941,75.5693427436551,62.024579169217695,24.82,0.0,NORTH EAST AND YORKSHIRE
A81041,68.07016721453,33.7960373353091,62.4346357,43.8946395,75.4536565773008,25.0419874375271,13.019020877300804,-18.852652062472895,112.0,98.0,15.197190957936,68.4371710140125,61.7884921210891,36.94,0.0,NORTH EAST AND YORKSHIRE
A81045,73.4083414833401,4.46688828059833,75.2378638,21.5961945,76.9429535377911,55.2092542189986,1.7050897377910985,33.6130597189986,69.0,140.0,16.160189876696,73.3440437734203,56.38264018519939,32.09,0.0,NORTH EAST AND YORKSHIRE
A81048,72.23910172881361,44.1718374656461,73.9473688,20.2220942,81.5391920269377,37.526018430269694,7.5918232269376915,17.303924230269693,105.0,114.0,3.5754883773752297,76.0506763878933,66.2049255378841,16.79,1.0,NORTH EAST AND YORKSHIRE
A81051,59.0717492799494,21.2782516968348,70.9124017,50.0650058,76.7692732355597,31.241114347675197,5.856871535559691,-18.823891452324805,101.0,104.0,6.69826296898114,68.3843435925724,67.8372329811156,30.96,0.0,NORTH EAST AND YORKSHIRE
A81052,80.4726455879051,39.8166933702364,76.3265238,29.5126028,71.57727325626459,24.339033161708702,-4.749250543735414,-5.173569638291298,117.0,111.0,9.960797601132949,70.1640844292982,54.139624046498604,27.36,0.0,NORTH EAST AND YORKSHIRE
A81054,76.50261617260729,30.628390024589702,74.3238511,28.1905193,78.1395866742737,33.030793411223904,3.8157355742737025,4.840274111223906,91.0,137.0,7.554243544052031,77.1874014352482,62.185485391712604,29.99,0.0,NORTH EAST AND YORKSHIRE
A81056,97.0399868748966,80.4409094936395,87.07981860000001,58.6312199,95.7721480497659,85.38939554183101,8.692329449765893,26.75817564183101,126.0,87.0,1.9097970670629998,95.13514541861,55.9648917257184,25.01,0.0,NORTH EAST AND YORKSHIRE
A81057,84.4943890435655,59.44960849066639,80.9254607,43.5396868,78.8454087296247,51.47921162536559,-2.080051970375308,7.939524825365595,126.0,96.0,7.504573160584981,67.9196664759172,41.511365335738596,27.31,0.0,NORTH EAST AND YORKSHIRE
A81058,66.9542091457083,31.4100645924777,64.7879942,45.864481,78.8148325379162,33.8821713779204,14.026838337916203,-11.982309622079597,133.0,102.0,6.41226567738523,66.8993987434853,54.674711379688205,28.12,0.0,NORTH EAST AND YORKSHIRE
