gp_code,year,list_size
A86003,2013,28600
A86004,2013,14792
A86005,2013,5565
A86006,2013,5008
A86007,2013,2857
A86008,2013,11520
A86009,2013,5907
A86010,2013,9247
A86011,2013,11291
A86012,2013,9300
A86013,2013,7000
A86015,2013,8592
A86016,2013,8638
A86017,2013,9533
A86018,2013,12559
A86020,2013,4995
A86021,2013,8870
A86022,2013,7679
A86023,2013,8527
A86024,2013,6422
A86025,2013,12167
A86026,2013,6629
A86027,2013,11829
A86028,2013,3774
A86029,2013,11590
A86030,2013,10141
A86031,2013,7802
A86033,2013,4196
A86035,2013,2501
A86036,2013,8178
A86037,2013,7084
A86038,2013,5364
A86040,2013,5935
A86041,2013,4973
A86601,2013,8091
A87002,2013,7419
A87003,2013,12052
A87004,2013,16676
A87005,2013,12129
A87006,2013,5994
A87007,2013,11349
A87008,2013,7368
A87009,2013,14450
A87011,2013,6608
A87012,2013,7011
A87013,2013,10108
A87014,2013,4220
A87015,2013,5980
A87016,2013,9657
A87017,2013,5417
A87019,2013,5964
A87020,2013,8782
A87022,2013,5200
A87023,2013,5922
A87027,2013,6837
A87029,2013,4825
A87030,2013,4963
A87600,2013,4449
A87612,2013,5255
A87615,2013,4700
A88001,2013,2958
A88002,2013,12724
A88003,2013,11478
A88004,2013,9062
A88005,2013,4576
A88006,2013,8557
A88007,2013,9140
A88008,2013,6163
A88009,2013,6532
A88010,2013,3137
A88011,2013,2751
A88012,2013,5843
A88013,2013,12847
A88014,2013,2726
A88015,2013,3736
A88016,2013,7577
A88020,2013,1830
A88022,2013,7460
A88023,2013,5190
A88024,2013,1763
A88025,2013,5227
A88601,2013,2396
A88603,2013,3006
A88608,2013,4170
A88611,2013,2705
A88613,2013,4074
A88614,2013,2029
A89001,2013,14168
A89002,2013,3246
A89003,2013,5685
A89004,2013,11788
A89005,2013,5777
A89006,2013,6778
A89007,2013,10092
A89008,2013,5157
A89009,2013,6925
A89010,2013,12099
A89011,2013,3957
A89012,2013,4914
A89013,2013,5281
A89014,2013,1937
A89015,2013,9596
A89016,2013,7351
A89017,2013,12824
A89018,2013,4721
A89019,2013,9873
A89020,2013,7973
A89021,2013,8903
A89022,2013,5258
A89023,2013,7741
A89024,2013,5565
A89025,2013,5012
A89026,2013,3088
A89027,2013,6327
A89028,2013,6872
A89029,2013,1979
A89030,2013,6749
A89031,2013,5783
A89032,2013,5221
A89034,2013,3846
A89035,2013,5239
A89036,2013,2151
A89038,2013,4889
A89040,2013,2109
A89041,2013,4929
A89042,2013,6185
A89603,2013,2097
A89604,2013,3743
A89610,2013,3056
A89611,2013,2342
A89612,2013,2261
A89614,2013,3908
A89616,2013,2009
A89617,2013,2035
A89618,2013,1993
A89620,2013,2682
A89621,2013,2866
A89623,2013,2527
A89624,2013,2266
B81002,2013,3532
B81003,2013,12973
B81004,2013,12273
B81005,2013,16721
B81006,2013,8996
B81007,2013,9777
B81008,2013,14297
B81009,2013,8821
B81010,2013,13463
B81011,2013,8523
B81012,2013,4965
B81013,2013,9474
B81014,2013,7365
B81015,2013,15159
B81016,2013,9314
B81017,2013,7315
B81018,2013,6312
B81019,2013,2846
B81020,2013,7461
B81021,2013,7745
B81022,2013,15141
B81023,2013,6072
B81024,2013,6579
B81025,2013,12326
B81026,2013,16969
B81027,2013,5844
B81029,2013,10085
B81030,2013,11794
B81031,2013,14250
B81032,2013,2574
B81034,2013,10990
B81035,2013,5935
B81036,2013,15347
B81037,2013,15090
B81038,2013,7540
B81039,2013,17417
B81040,2013,15780
B81041,2013,6238
B81042,2013,11761
B81043,2013,14647
B81044,2013,5784
B81045,2013,12178
B81046,2013,9178
B81047,2013,7231
B81048,2013,8827
B81049,2013,9023
B81050,2013,11746
B81051,2013,10527
B81052,2013,5542
B81053,2013,11293
B81054,2013,9849
B81055,2013,3058
B81056,2013,14742
B81057,2013,2964
B81058,2013,8076
B81060,2013,8569
B81061,2013,20492
B81062,2013,11852
B81063,2013,6522
B81064,2013,8571
B81065,2013,12201
B81066,2013,2310
B81068,2013,15375
B81069,2013,9850
B81070,2013,5614
B81072,2013,7319
B81074,2013,3121
B81075,2013,1911
B81077,2013,9971
B81080,2013,2044
