question,response,national_pct,national_n
Q39,Learning disability,2.0,9628
Q39,Lung or breathing condition,8.0,43957
Q39,Mental health condition,14.0,72503
Q39,Neurological condition,4.0,22151
Q39,Stroke or TIA (Transient Ischemic Attack),1.0,7655
Q39,Another long-term condition or illness,18.0,93304
Q39,I don’t have any long-term conditions,37.0,198986
Q40,Yes,4.0,19028
Q40,No,87.0,461287
Q40,I don’t know,9.0,47956
Q40,I would prefer not to say,1.0,3437
Q41,Yes,61.0,205901
Q41,No,39.0,130558
Q42,Confident,79.0,255579
Q42,Not Confident,21.0,68669
Q43,Yes,70.0,181258
Q43,No,30.0,76536
Q44,Yes,44.0,147651
Q44,No,49.0,165150
Q44,I don’t know,7.0,23549
Q45,Yes,44.0,65161
Q45,No,46.0,67674
Q45,I don’t know,10.0,14768
Q46,Helpful,94.0,59913
Q46,Not Helpful,6.0,3754
Q47,"To address an issue which my GP practice, NHS 111 or A&E referred me to a pharmacy for",8.0,44301
Q47,To pick up a prescription,75.0,398087
Q47,To buy medication (such as paracetamol or eye drops),43.0,226367
Q47,"To get advice (for example, about prescription medicines, a health issue or other health services)",22.0,119315
Q47,To have my blood pressure checked,7.0,39794
Q47,"To get a vaccine (for example, flu or COVID)",19.0,99821
Q47,To get contraception without a GP prescription,2.0,10321
Q47,To monitor my medication or get other support for a long-term health condition,3.0,15702
Q47,None of these,13.0,69471
Q48,Good,89.0,412532
Q48,Poor,3.0,14529
Q49,In the last 2 years,50.0,264995
Q49,More than 2 years ago,20.0,104140
Q50,Yes,84.0,212017
Q50,No,16.0,40542
Q51,Yes,81.0,207862
Q51,No,19.0,47698
Q52,Good,74.0,194644
Q52,Poor,15.0,40206
Q53,I haven’t needed to visit a dentist,18.0,48587
Q53,I don’t like going to the dentist,5.0,13498
Q53,I didn’t think I could get an NHS dental appointment,27.0,70683
Q53,I’m on a waiting list for an NHS dentist,4.0,9636
Q53,I prefer to go to a private dentist,28.0,73262
Q53,NHS dental care is too expensive,5.0,14105
Q53,Another reason,14.0,36497
Q54,16 to 24,10.0,51371
Q54,25 to 34,16.0,86439
Q54,35 to 44,18.0,95019
Q54,45 to 54,16.0,86619
Q54,55 to 64,16.0,86463
Q54,65 to 74,12.0,63854
Q54,75 to 84,8.0,44805
Q54,85 or over,3.0,14491
Q54,I would prefer not to say,1.0,2710
Q55,Female,51.0,269251
Q55,Male,48.0,255274
Q55,Non-binary,0.0,1806
Q55,Prefer to self-describe,0.0,1053
Q55,I would prefer not to say,1.0,4386
Q56,Yes,98.0,520467
Q56,No,1.0,4748
Q56,I would prefer not to say,1.0,5836
Q57,Heterosexual or straight,88.0,468396
Q57,Gay or lesbian,3.0,14095
Q57,Bisexual,3.0,13432
Q57,Other,1.0,7048
Q57,I would prefer not to say,5.0,28799
Q58,"English, Welsh, Scottish, Northern Irish or British",68.0,360015
Q58,Irish,1.0,5148
Q58,Gypsy or Irish Traveller,0.0,221
Q58,Roma,0.0,695
Q58,Any other White background,7.0,39032
Q58,White and Black Caribbean,0.0,2551
Q58,White and Black African,0.0,1323
Q58,White and Asian,1.0,3366
Q58,Any other Mixed or Multiple ethnic background,1.0,4242
Q58,Indian,4.0,23107
Q58,Pakistani,3.0,14292
Q58,Bangladeshi,1.0,5521
Q58,Chinese,1.0,6902
Q58,Any other Asian background,3.0,13652
Q58,Caribbean,1.0,5264
Q58,African,5.0,27311
Q58,"Any other Black, Black British, Caribbean or African background",1.0,3454
Q58,Arab,1.0,3557
Q58,Any other ethnic group,1.0,6136
Q58,I would prefer not to say,1.0,5980
Q59,No religion,38.0,202728
Q59,Buddhist,1.0,3992
Q59,"Christian (including Church of England, Catholic, Protestant, and other Christian denominations)",45.0,239502
Q59,Hindu,2.0,12975
Q59,Jewish,0.0,2395
Q59,Muslim,7.0,37819
Q59,Sikh,1.0,4226
Q59,Any other religion,1.0,6497
Q59,I would prefer not to say,4.0,21635
Q60,In full-time paid work (30 hours or more each week) including self-employment,45.0,240912
Q60,In part-time paid work (under 30 hours each week) including self-employment,13.0,69463
Q60,"In full-time education at school, college or university",6.0,31253
Q60,Unemployed,5.0,27750
Q60,Unable to work due to long-term sickness or disability,6.0,33004
Q60,Fully retired from work,22.0,116524
Q60,Looking after the family or home,5.0,27590
Q60,Other,4.0,19633
Q61,Yes,16.0,85636
Q61,No,84.0,446134
Q62,Yes,24.0,128295
Q62,No,76.0,403475
Q63,Never smoked,61.0,325997
Q63,Former smoker,27.0,145359
Q63,Occasional smoker,6.0,32610
Q63,Regular smoker,5.0,27804
Q64,Never vaped,84.0,446359
Q64,Former vaper,5.0,26031
Q64,Occasional vaper,5.0,28249
Q64,Regular vaper,6.0,31132
Q65,No,97.0,515237
Q65,Yes,3.0,16533
Q70,Yes,37.0,196508
Q70,No,63.0,335129
Q71,Yes,31.0,55737
Q71,No,69.0,126091
Q72,Journey times to get to the hospital,40.0,22291
Q72,Current length of waiting lists,31.0,17352
Q72,Quality of care,18.0,9792
Q72,Outcomes of care,7.0,4080
Q72,Other patients’ experiences,4.0,2332
Q72,Something else,5.0,2892
Q72,None of these,19.0,10637
Q72,I don’t know or I can’t remember,15.0,8611
Q73,Yes,91.0,47696
Q73,No,9.0,4998
Q74,Good,82.0,45903
Q74,Poor,4.0,2028
Q75,Yes,34.0,61774
Q75,No,66.0,121830
