month,level,org_code,org_name,region_code,region_name,metric,value
2023-11,England,ENG,England,,,cumulative_registrations,33521835.0
2023-12,England,ENG,England,,,cumulative_registrations,33687246.0
2024-01,England,ENG,England,,,cumulative_registrations,33915325.0
2024-02,England,ENG,England,,,cumulative_registrations,34153841.0
2024-03,England,ENG,England,,,cumulative_registrations,34393924.0
2024-04,England,ENG,England,,,cumulative_registrations,34638145.0
2024-05,England,ENG,England,,,cumulative_registrations,34874768.0
2024-06,England,ENG,England,,,cumulative_registrations,35089728.0
2024-07,England,ENG,England,,,cumulative_registrations,35321806.0
2024-08,England,ENG,England,,,cumulative_registrations,35544213.0
2024-09,England,ENG,England,,,cumulative_registrations,35792058.0
2024-10,England,ENG,England,,,cumulative_registrations,36089068.0
2024-11,England,ENG,England,,,cumulative_registrations,36371186.0
2024-12,England,ENG,England,,,cumulative_registrations,36601273.0
2025-01,England,ENG,England,,,cumulative_registrations,36908532.0
2025-02,England,ENG,England,,,cumulative_registrations,37180678.0
2025-03,England,ENG,England,,,cumulative_registrations,37470784.0
2025-04,England,ENG,England,,,cumulative_registrations,37728998.0
2025-05,England,ENG,England,,,cumulative_registrations,37989939.0
2025-06,England,ENG,England,,,cumulative_registrations,38284620.0
2025-07,England,ENG,England,,,cumulative_registrations,38584619.0
2025-08,England,ENG,England,,,cumulative_registrations,38871195.0
2025-09,England,ENG,England,,,cumulative_registrations,39199593.0
2025-10,England,ENG,England,,,cumulative_registrations,39573860.0
2025-11,England,ENG,England,,,cumulative_registrations,39883097.0
2025-12,England,ENG,England,,,cumulative_registrations,40132508.0
2026-01,England,ENG,England,,,cumulative_registrations,40444866.0
2026-02,England,ENG,England,,,cumulative_registrations,40735346.0
2026-03,England,ENG,England,,,cumulative_registrations,41067241.0
2026-04,England,ENG,England,,,cumulative_registrations,41346767.0
2020-12,England,ENG,England,,,logins,2153375.0
2021-01,England,ENG,England,,,logins,2953955.0
2021-02,England,ENG,England,,,logins,3162920.0
2021-03,England,ENG,England,,,logins,4349869.0
2021-04,England,ENG,England,,,logins,5085977.0
