Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Column not used,Time period Sortable,New data,Compared to goal,Time period range
93553,Deprivation score (IMD 2019),E92000001,England,A81037,The Erimus Practice,GPs,Persons,All ages,,,2019,47.2018875419892,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81038,Hirsel Medical Centre,GPs,Persons,All ages,,,2019,48.8496833423472,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81039,Eaglescliffe Medical Practice,GPs,Persons,All ages,,,2019,9.81094919912804,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81040,Marsh House Medical Practice,GPs,Persons,All ages,,,2019,24.157726247798,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81041,Hart Medical Practice,GPs,Persons,All ages,,,2019,35.67246825054,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81042,South Grange Medical Group Practice,GPs,Persons,All ages,,,2019,44.4887079025634,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81043,The Manor House Surgery,GPs,Persons,All ages,,,2019,34.8856724319271,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81044,Mckenzie House Surgery,GPs,Persons,All ages,,,2019,34.8838701367822,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81045,The Coatham Road Surgery,GPs,Persons,All ages,,,2019,30.3384961979815,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81046,Woodlands Family Medical Centre,GPs,Persons,All ages,,,2019,31.4698749498355,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81048,Zetland Medical Practice,GPs,Persons,All ages,,,2019,17.1087073204043,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81049,Kings Medical Centre,GPs,Persons,All ages,,,2019,51.9002698838248,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81051,Cambridge Medical Group,GPs,Persons,All ages,,,2019,28.418910001495,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81052,The Green House Surgery,GPs,Persons,All ages,,,2019,29.4223941880342,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81053,Woodside Surgery,GPs,Persons,All ages,,,2019,36.8823205941513,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81054,The Saltscar Surgery,GPs,Persons,All ages,,,2019,30.2660548616214,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81056,Melrose Surgery,GPs,Persons,All ages,,,2019,24.1716920991479,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81057,Kingsway Medical Centre,GPs,Persons,All ages,,,2019,26.1980391246684,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81058,Coulby Medical Practice,GPs,Persons,All ages,,,2019,29.3066843760923,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81060,The Koh Practice,GPs,Persons,All ages,,,2019,33.1285446180556,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81063,The Headland Medical Centre,GPs,Persons,All ages,,,2019,37.62924613144,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81064,The Discovery Practice,GPs,Persons,All ages,,,2019,46.1153732037194,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81065,The Eston Surgery,GPs,Persons,All ages,,,2019,49.1623432645786,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81066,Park Lane Surgery,GPs,Persons,All ages,,,2019,16.0813719670711,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81067,Alma Medical Centre,GPs,Persons,All ages,,,2019,40.5102659619811,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81070,Mckenzie Group Practice,GPs,Persons,All ages,,,2019,31.3171107635433,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81602,Dr Rasool,GPs,Persons,All ages,,,2019,21.7278763265306,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81608,Elm Tree Surgery,GPs,Persons,All ages,,,2019,38.9923193048576,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81610,The Roseberry Practice,GPs,Persons,All ages,,,2019,23.3312709188912,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81611,Parkway Medical Centre,GPs,Persons,All ages,,,2019,28.8155197020989,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81612,The Patel Practice,GPs,Persons,All ages,,,2019,23.4124490521327,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81618,Huntcliff Surgery,GPs,Persons,All ages,,,2019,20.8952369499002,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81621,Thorntree Surgery,GPs,Persons,All ages,,,2019,67.4074078834619,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81622,Gladstone House Surgery,GPs,Persons,All ages,,,2019,40.3952235633219,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81629,Riverside Medical Practice,GPs,Persons,All ages,,,2019,38.5198491307947,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81630,Foundations,GPs,Persons,All ages,,,2019,57.8939864364982,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81631,West View Millenium Surgery A,GPs,Persons,All ages,,,2019,35.4825945626478,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81632,Lawson Street Practice,GPs,Persons,All ages,,,2019,49.8252432432432,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81633,Foundations -Harris Street,GPs,Persons,All ages,,,2019,62.9895157894737,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A81634,The Arrival Practice,GPs,Persons,All ages,,,2019,59.1517907361456,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82003,Ulverston Health Centre (Murray),GPs,Persons,All ages,,,2019,14.5789282592862,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
