Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Duration,Value
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT001,TOTAL,169.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT002,TOTAL,10.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,121_180,7.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,181_240,3.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,1_30,121.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,31_60,10.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,61_90,5.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,91_120,5.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT004,1_30,4.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT004,31_60,3.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT005,TOTAL,1.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT006,TOTAL,1.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT007,11_30,13.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT007,121_180,19.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT007,181_240,7.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT007,241_300,2.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT007,31_60,48.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT007,61_90,40.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT007,91_120,16.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT007,>300,6.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT001,TOTAL,446.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT002,TOTAL,70.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,121_180,31.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,181_240,15.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,1_30,80.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,241_300,8.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,31_60,64.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,61_90,37.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,91_120,28.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,>300,11.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT004,121_180,1.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT004,1_30,27.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT004,241_300,1.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT004,31_60,14.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT004,61_90,10.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT004,91_120,3.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT004,>300,3.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT005,TOTAL,43.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT006,TOTAL,43.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,0_10,2.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,11_30,8.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,121_180,57.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,181_240,16.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,241_300,7.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,31_60,65.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,61_90,73.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,91_120,43.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT007,>300,3.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT001,TOTAL,437.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT002,TOTAL,100.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,121_180,25.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,181_240,20.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,1_30,103.0
