Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Duration,Value
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT001,TOTAL,344.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT002,TOTAL,121.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT003,121_180,23.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT003,181_240,16.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT003,1_30,37.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT003,241_300,12.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT003,31_60,29.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT003,61_90,16.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT003,91_120,8.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT003,>300,42.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT004,121_180,2.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT004,1_30,4.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT004,241_300,1.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT004,31_60,2.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT004,61_90,1.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT004,91_120,1.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT004,>300,2.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT005,TOTAL,27.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT006,TOTAL,27.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,0_10,1.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,11_30,3.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,121_180,36.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,181_240,21.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,241_300,18.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,31_60,24.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,61_90,23.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,91_120,22.0
2026-06-01,Y58,QVV,11J,U19923,J81002,CBT007,>300,35.0
2026-06-01,Y58,QVV,11J,U80758,J81006,CBT001,TOTAL,747.0
2026-06-01,Y58,QVV,11J,U80758,J81006,CBT002,TOTAL,172.0
2026-06-01,Y58,QVV,11J,U80758,J81006,CBT003,121_180,2.0
