tag,model,outcome,predictor,coef,se
before_live,together,Q1_phone,calls_per1k,3.018,0.481
before_live,together,Q1_phone,oc_rate_febapr,-4.066,0.291
before_live,together,Q1_phone,same_day_pct_12m,-0.48,0.216
before_live,together,Q1_phone,log_list,-4.662,0.279
before_live,together,Q1_phone,imd_score,-3.099,0.262
before_live,together,Q1_phone,partner_per10k,1.624,0.238
before_live,together,Q1_phone,salaried_per10k,1.174,0.256
before_live,together,Q1_phone,locum_per10k,0.175,0.187
before_live,together,Q1_phone,trainee_per10k,0.104,0.243
before_live,together,Q1_phone,training_flag,3.094,0.615
before_live,together,Q1_phone,nurse10k_c,0.486,0.225
before_live,together,Q1_phone,dpc10k_c,1.022,0.211
before_live,together,Q1_phone,admin10k_c,-1.439,0.258
before_live,together,Q1_phone,appts_percap,0.68,0.365
before_live,together,Q1_phone,pct65plus,-1.369,0.349
before_live,together,Q1_phone,nonwhite_pct,-0.992,0.304
before_live,together,Q1_phone,adm_x_size,-0.68,0.209
before_live,together,Q1_phone,adm_x_oc,0.516,0.229
before_live,together,Q1_phone,_R2,0.4751,
before_live,together,Q1_phone,_n,4736.0,
before_live,plusreport,Q1_phone,queue_answer,4.554,0.198
before_live,plusreport,Q1_phone,ivr_share,-2.355,0.186
before_live,plusreport,Q1_phone,monwed_gap,-0.162,0.171
before_live,plusreport,Q1_phone,contacts_per_appt,-0.273,0.32
before_live,plusreport,Q1_phone,calls_per1k,3.091,0.42
before_live,plusreport,Q1_phone,oc_rate_febapr,-3.509,0.243
before_live,plusreport,Q1_phone,same_day_pct_12m,0.288,0.174
before_live,plusreport,Q1_phone,log_list,-3.03,0.228
before_live,plusreport,Q1_phone,imd_score,-1.453,0.219
before_live,plusreport,Q1_phone,partner_per10k,0.329,0.187
before_live,plusreport,Q1_phone,salaried_per10k,0.522,0.191
before_live,plusreport,Q1_phone,locum_per10k,0.005,0.16
before_live,plusreport,Q1_phone,trainee_per10k,0.791,0.196
before_live,plusreport,Q1_phone,training_flag,1.725,0.496
before_live,plusreport,Q1_phone,nurse10k_c,0.389,0.184
before_live,plusreport,Q1_phone,dpc10k_c,0.683,0.164
before_live,plusreport,Q1_phone,admin10k_c,-0.549,0.213
before_live,plusreport,Q1_phone,appts_percap,0.201,0.294
before_live,plusreport,Q1_phone,pct65plus,-1.334,0.278
before_live,plusreport,Q1_phone,nonwhite_pct,-0.136,0.253
before_live,plusreport,Q1_phone,adm_x_size,-0.253,0.173
before_live,plusreport,Q1_phone,adm_x_oc,0.426,0.189
before_live,plusreport,Q1_phone,deflection_2026,-5.789,0.183
before_live,plusreport,Q1_phone,continuity_2026,4.92,0.192
before_live,plusreport,Q1_phone,has_pref_hcp_2026,0.499,0.186
before_live,plusreport,Q1_phone,_R2,0.6649,
before_live,plusreport,Q1_phone,_n,4736.0,
before_live,C_continuity,continuity_2026,partner_per10k,2.242,0.287
before_live,C_continuity,continuity_2026,salaried_per10k,1.004,0.279
before_live,C_continuity,continuity_2026,trainee_per10k,-1.979,0.318
before_live,C_continuity,continuity_2026,training_flag,2.04,0.72
before_live,C_continuity,continuity_2026,_n,4791.0,
after_rebuilt,together,Q32_overall,queue_answer,2.208,0.166
after_rebuilt,together,Q32_overall,ivr_share,-1.161,0.158
after_rebuilt,together,Q32_overall,monwed_gap,0.032,0.147
after_rebuilt,together,Q32_overall,contacts_per_appt,-0.615,0.259
after_rebuilt,together,Q32_overall,calls_per1k,1.447,0.306
after_rebuilt,together,Q32_overall,oc_rate_febapr,-1.227,0.188
after_rebuilt,together,Q32_overall,same_day_pct_12m,-0.077,0.149
after_rebuilt,together,Q32_overall,log_list,-1.611,0.198
after_rebuilt,together,Q32_overall,imd_score,-1.562,0.184
after_rebuilt,together,Q32_overall,partner_per10k,1.535,0.171
after_rebuilt,together,Q32_overall,salaried_per10k,1.425,0.175
after_rebuilt,together,Q32_overall,locum_per10k,0.233,0.135
after_rebuilt,together,Q32_overall,trainee_per10k,0.17,0.166
after_rebuilt,together,Q32_overall,training_flag,2.732,0.422
after_rebuilt,together,Q32_overall,nurse10k_c,0.149,0.169
after_rebuilt,together,Q32_overall,dpc10k_c,0.189,0.141
after_rebuilt,together,Q32_overall,admin10k_c,-1.081,0.186
after_rebuilt,together,Q32_overall,appts_percap,0.289,0.259
after_rebuilt,together,Q32_overall,pct65plus,0.342,0.246
after_rebuilt,together,Q32_overall,nonwhite_pct,-1.314,0.218
after_rebuilt,together,Q32_overall,adm_x_size,-0.018,0.122
after_rebuilt,together,Q32_overall,adm_x_oc,-0.056,0.163
after_rebuilt,together,Q32_overall,_R2,0.2764,
after_rebuilt,together,Q32_overall,_n,4818.0,
after_rebuilt,plusreport,Q32_overall,queue_answer,1.074,0.129
after_rebuilt,plusreport,Q32_overall,ivr_share,-0.476,0.125
after_rebuilt,plusreport,Q32_overall,monwed_gap,-0.003,0.117
after_rebuilt,plusreport,Q32_overall,contacts_per_appt,-0.277,0.213
after_rebuilt,plusreport,Q32_overall,calls_per1k,1.428,0.261
