month,gp_code,gp_name,inb_total,ans_total,pct_u2_total,inb_core,ans_core,pct_u2_core,inb_810,ans_810,pct_u2_810
2026-06-01,F84014,UPTON LANE MEDICAL CENTRE,3978.0,2214.0,0.502,3777.0,2213.0,0.502,881.0,554.0,0.693
2026-06-01,F84097,CLAREMONT CLINIC,6768.0,2598.0,0.488,6496.0,2550.0,0.478,1587.0,660.0,0.58
2026-06-01,F84672,FIRST 4 HEALTH GROUP - E7 HEALTH,4166.0,2877.0,0.712,3996.0,2864.0,0.712,922.0,695.0,0.763
2026-06-01,F84724,WOODGRANGE MEDICAL PRACTICE,3474.0,2820.0,0.674,3147.0,2730.0,0.664,660.0,559.0,0.58
2026-06-01,F86028,CHADWELL HEATH SURGERY,8248.0,3719.0,0.399,6981.0,3588.0,0.405,3146.0,1245.0,0.235
2026-06-01,F86087,GOODMAYES MEDICAL CENTRE,4347.0,2167.0,0.56,3675.0,2008.0,0.588,1288.0,541.0,0.41
2026-06-01,F86034,"GREEN LANE, GOODMAYES MEDICAL PRACTICE",4113.0,2482.0,0.434,3813.0,2482.0,0.434,970.0,624.0,0.3
2026-06-01,Y00155,GROVE SURGERY,5315.0,2483.0,0.235,4527.0,2251.0,0.259,1390.0,472.0,0.133
2026-06-01,Y00090,THE DOCTORS HOUSE,4385.0,2165.0,0.389,3744.0,2165.0,0.389,1073.0,600.0,0.327
2026-06-01,F86009,THE PALMS MEDICAL CENTRE,4545.0,2238.0,0.447,4049.0,2238.0,0.447,1315.0,623.0,0.323
2026-06-01,F84072,DE BEAUVOIR SURGERY,5125.0,3378.0,0.758,4981.0,3378.0,0.758,1184.0,629.0,0.734
2026-06-01,F84692,THE HOXTON SURGERY,3962.0,2261.0,0.523,3794.0,2261.0,0.523,886.0,522.0,0.49
2026-06-01,F84096,THE LAWSON PRACTICE,8451.0,5179.0,0.783,8140.0,5164.0,0.782,1944.0,1246.0,0.861
2026-06-01,F84640,THE NEAMAN PRACTICE,3154.0,2216.0,0.819,3028.0,2216.0,0.819,644.0,498.0,0.853
2026-06-01,F84047,CUSTOM HOUSE SURGERY,1794.0,1166.0,0.845,1613.0,1162.0,0.844,309.0,209.0,0.923
2026-06-01,F84017,STAR LANE MEDICAL CENTRE,2755.0,1794.0,0.591,2463.0,1791.0,0.591,546.0,433.0,0.704
2026-06-01,F84666,THE RUIZ MEDICAL PRACTICE,2952.0,2222.0,0.967,2759.0,2221.0,0.967,541.0,439.0,0.966
2026-06-01,Y03049,SPRING HILL PRACTICE,7682.0,5293.0,0.72,6910.0,4919.0,0.707,1572.0,1176.0,0.841
2026-06-01,F84013,STAMFORD HILL GROUP PRACTICE,11818.0,2224.0,0.184,11038.0,2177.0,0.175,3607.0,536.0,0.201
