Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Column not used,Time period Sortable,New data,Compared to goal,Time period range
94240,Deprivation score (IMD 2025),E92000001,England,A81039,Eaglescliffe Medical Practice,GPs,Persons,All ages,,,2025,9.704,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81040,Marsh House Medical Practice,GPs,Persons,All ages,,,2025,24.82,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81041,Hart Medical Practice,GPs,Persons,All ages,,,2025,36.937,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81042,South Grange Medical Group Practice,GPs,Persons,All ages,,,2025,45.96,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81044,Mckenzie House Surgery,GPs,Persons,All ages,,,2025,38.436,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81045,The Coatham Road Surgery,GPs,Persons,All ages,,,2025,32.092,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81046,Woodlands Family Medical Centre,GPs,Persons,All ages,,,2025,31.481,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81048,Zetland Medical Practice,GPs,Persons,All ages,,,2025,16.789,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81049,Kings Medical Centre,GPs,Persons,All ages,,,2025,49.632,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81051,Cambridge Medical Group,GPs,Persons,All ages,,,2025,30.957,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81052,The Green House Surgery,GPs,Persons,All ages,,,2025,27.355,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81053,Woodside Surgery,GPs,Persons,All ages,,,2025,38.762,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81054,The Saltscar Surgery,GPs,Persons,All ages,,,2025,29.987,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81056,Melrose Surgery,GPs,Persons,All ages,,,2025,25.007,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81057,Kingsway Medical Centre,GPs,Persons,All ages,,,2025,27.31,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81058,Coulby Medical Practice,GPs,Persons,All ages,,,2025,28.117,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81060,The Koh Practice,GPs,Persons,All ages,,,2025,36.759,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81063,The Headland Medical Centre,GPs,Persons,All ages,,,2025,40.061,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81064,The Discovery Practice,GPs,Persons,All ages,,,2025,50.017,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81065,The Eston Surgery,GPs,Persons,All ages,,,2025,49.487,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81066,Park Lane Surgery,GPs,Persons,All ages,,,2025,17.563,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81067,Alma Medical Centre,GPs,Persons,All ages,,,2025,39.069,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81070,Mckenzie Group Practice,GPs,Persons,All ages,,,2025,33.149,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81602,Dr Rasool,GPs,Persons,All ages,,,2025,22.051,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81608,Elm Tree Surgery,GPs,Persons,All ages,,,2025,44.955,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81610,The Roseberry Practice,GPs,Persons,All ages,,,2025,24.232,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81611,Parkway Medical Centre,GPs,Persons,All ages,,,2025,26.45,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81612,The Patel Practice,GPs,Persons,All ages,,,2025,24.26,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81618,Huntcliff Surgery,GPs,Persons,All ages,,,2025,20.66,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81621,Thorntree Surgery,GPs,Persons,All ages,,,2025,65.449,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81622,Gladstone House Surgery,GPs,Persons,All ages,,,2025,45.484,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81629,Riverside Medical Practice,GPs,Persons,All ages,,,2025,41.238,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A81631,West View Millenium Surgery A,GPs,Persons,All ages,,,2025,37.629,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A82003,Ulverston Health Centre (Murray),GPs,Persons,All ages,,,2025,13.747,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A82004,Alston Medical Practice,GPs,Persons,All ages,,,2025,23.341,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A82005,Ambleside Health Centre,GPs,Persons,All ages,,,2025,15.256,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A82006,Appleby Medical Practice,GPs,Persons,All ages,,,2025,18.93,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A82007,Duke Street Surgery,GPs,Persons,All ages,,,2025,31.035,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
94240,Deprivation score (IMD 2025),E92000001,England,A82008,Norwood Medical Centre,GPs,Persons,All ages,,,2025,28.468,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,,,1y
