period,GP_CODE,all_fast,all_known,all_total,gp_fast,gp_known,gp_total
janfeb,A81001,1978,3041,3041,621,1089,1089
janfeb,A81002,6839,16748,16748,3022,6309,6309
janfeb,A81004,4134,8841,8841,1805,2994,2994
janfeb,A81005,5226,9277,9277,2719,3882,3882
janfeb,A81006,6004,13564,13564,2197,4608,4608
janfeb,A81007,6356,9662,9662,2329,3429,3429
janfeb,A81009,3621,6481,6481,631,1083,1083
janfeb,A81011,5970,10520,10520,3556,4562,4562
janfeb,A81012,2257,4842,4842,1715,2483,2483
janfeb,A81013,2216,6473,6473,918,2339,2339
janfeb,A81014,1252,3096,3096,973,1659,1659
janfeb,A81016,4819,9655,9655,2525,3462,3462
janfeb,A81017,5824,11535,11535,3410,6471,6471
janfeb,A81018,8607,12987,12987,4657,5276,5276
janfeb,A81019,4366,8284,8284,3219,4795,4795
janfeb,A81020,2327,6754,6754,1686,3608,3608
janfeb,A81021,12950,25512,25512,4987,7082,7082
janfeb,A81022,6163,10565,10565,3278,4343,4343
janfeb,A81023,3427,6923,6923,2722,3923,3923
janfeb,A81025,1429,2809,2809,894,1391,1391
janfeb,A81026,6358,13820,13820,4588,7220,7220
janfeb,A81027,7577,14080,14080,4592,6550,6550
janfeb,A81029,1658,4535,4535,1290,2519,2519
janfeb,A81030,3963,12637,12637,2739,5294,5294
janfeb,A81031,5165,12120,12120,2980,4506,4506
janfeb,A81032,7044,14214,14214,3976,6556,6556
janfeb,A81034,13149,19280,19280,8440,11153,11153
janfeb,A81035,3946,6658,6658,2752,3554,3554
janfeb,A81036,8435,17040,17040,4226,6318,6318
janfeb,A81037,2767,5237,5237,1326,2118,2118
janfeb,A81038,1661,2870,2870,1307,1782,1782
janfeb,A81039,4217,11094,11094,2219,4836,4836
janfeb,A81040,2813,6340,6340,2044,3892,3892
janfeb,A81041,3649,7276,7276,2073,3267,3267
janfeb,A81042,7482,14681,14681,3623,5778,5778
janfeb,A81044,12456,22581,22581,1614,3103,3103
janfeb,A81045,4181,9222,9222,2116,3429,3429
janfeb,A81046,3297,7742,7742,2355,3755,3755
janfeb,A81048,5409,10782,10782,2677,3599,3599
janfeb,A81049,3383,5172,5172,1665,1940,1940
janfeb,A81051,3122,6612,6612,1567,2415,2415
janfeb,A81052,5182,11604,11604,2542,3867,3867
janfeb,A81053,3181,6328,6328,1586,2482,2482
janfeb,A81054,4575,9586,9586,1508,2509,2509
janfeb,A81056,864,2367,2367,645,1616,1616
janfeb,A81057,4633,9618,9618,2403,4801,4801
janfeb,A81058,3936,8279,8279,1792,2924,2924
janfeb,A81060,4491,7208,7208,1295,2017,2017
janfeb,A81063,2278,4690,4690,1536,1882,1882
janfeb,A81064,6266,8696,8696,4190,4313,4313
janfeb,A81066,1577,4098,4098,1140,2145,2145
janfeb,A81067,5063,9232,9232,3573,4038,4038
janfeb,A81070,1813,4712,4712,580,1239,1239
janfeb,A81602,823,1836,1836,588,1023,1023
janfeb,A81608,12443,17105,17105,7259,8191,8191
janfeb,A81610,2640,5924,5924,1504,1922,1922
janfeb,A81611,13089,16529,16529,6074,6745,6745
janfeb,A81612,1459,4266,4266,504,1233,1233
janfeb,A81618,5017,9857,9857,2012,3570,3570
janfeb,A81621,1028,1999,1999,548,814,814
janfeb,A81622,1793,5040,5040,370,772,772
janfeb,A81629,2299,7356,7356,591,1809,1809
janfeb,A81631,3000,7319,7319,686,2336,2336
janfeb,A82003,1721,7506,7506,1039,2973,2973
janfeb,A82004,1173,2589,2589,954,1610,1610
janfeb,A82005,1872,4607,4607,1166,2104,2104
janfeb,A82006,5168,7710,7710,2800,3460,3460
janfeb,A82007,4363,9781,9781,3338,5148,5148
janfeb,A82008,2053,6715,6715,1608,3782,3782
janfeb,A82009,5744,9681,9681,5181,6946,6946
janfeb,A82010,2466,6191,6191,1438,2833,2833
janfeb,A82012,8772,16081,16081,5580,8537,8537
janfeb,A82013,4583,9033,9033,2875,4379,4379
janfeb,A82014,2860,5730,5730,2098,3459,3459
janfeb,A82015,5062,9767,9767,3590,5623,5623
janfeb,A82016,13857,35367,35367,7496,14586,14586
janfeb,A82018,13334,17444,17444,11231,12246,12246
janfeb,A82020,4508,10453,10453,2872,4195,4195
janfeb,A82021,5496,14197,14197,1990,4540,4540
janfeb,A82022,2319,4946,4946,1425,2308,2308
janfeb,A82023,5131,8464,8464,2762,3699,3699
janfeb,A82024,3044,5667,5667,1037,1667,1667
janfeb,A82025,3543,9344,9344,1838,3536,3536
janfeb,A82026,5231,15149,15149,3810,7387,7387
janfeb,A82027,4620,8823,8823,2392,3777,3777
janfeb,A82028,3586,8746,8746,2076,4748,4748
janfeb,A82029,1170,3074,3074,942,1927,1927
janfeb,A82030,2570,5508,5508,2064,3173,3173
janfeb,A82031,1843,4240,4240,1005,2243,2243
janfeb,A82032,13908,22861,22861,2909,4586,4586
janfeb,A82033,4130,9345,9345,2382,3899,3899
janfeb,A82035,6391,15281,15281,1440,4049,4049
janfeb,A82036,7259,14079,14079,2831,4672,4672
janfeb,A82037,2439,4542,4542,1654,2370,2370
janfeb,A82038,4387,6696,6696,2732,3567,3567
janfeb,A82039,2621,6311,6311,1938,3121,3121
janfeb,A82041,8836,16700,16700,4283,5783,5783
janfeb,A82044,9091,20119,20119,3675,6710,6710
janfeb,A82045,5165,9514,9514,3921,5043,5043
janfeb,A82046,1536,3699,3699,1007,1677,1677
janfeb,A82047,18629,36099,36099,7476,12817,12817
janfeb,A82053,3237,6999,6999,1886,2852,2852
janfeb,A82055,6816,11698,11698,1901,3480,3480
janfeb,A82062,3613,5975,5975,2426,3190,3190
janfeb,A82064,3325,7498,7498,1147,2514,2514
janfeb,A82068,1524,3143,3143,1328,1722,1722
janfeb,A82070,1527,5281,5281,1120,2598,2598
janfeb,A82071,1467,2998,2998,1013,1716,1716
janfeb,A82072,2021,5463,5463,920,2670,2670
janfeb,A82075,4595,8694,8694,2217,3242,3242
janfeb,A82608,1427,3661,3661,829,1430,1430
janfeb,A82613,453,905,905,436,851,851
janfeb,A82617,1970,3236,3236,362,423,423
janfeb,A82620,356,1014,1014,313,697,697
janfeb,A82629,1477,1955,1955,1438,1830,1830
janfeb,A82631,3957,5720,5720,2870,3347,3347
janfeb,A82646,1918,4317,4317,450,1158,1158
janfeb,A82647,958,3094,3094,806,1738,1738
janfeb,A82650,596,1934,1934,488,1126,1126
janfeb,A82651,1532,3710,3710,1353,2068,2068
janfeb,A82654,3719,6707,6707,2540,3735,3735
janfeb,A83001,10644,20194,20194,6003,9000,9000
janfeb,A83003,2824,7752,7752,1583,2914,2914
janfeb,A83005,10900,18113,18113,7651,10140,10140
janfeb,A83006,5902,9807,9807,2720,3903,3903
janfeb,A83007,4384,10149,10149,2277,4462,4462
janfeb,A83008,4392,9681,9681,1370,2233,2233
janfeb,A83009,4898,8368,8368,3309,4502,4502
janfeb,A83010,3748,12105,12105,1619,3681,3681
janfeb,A83011,9229,20694,20694,4269,8322,8322
janfeb,A83012,12960,28704,28704,2631,5328,5328
janfeb,A83013,3789,10026,10026,1512,2642,2642
janfeb,A83014,3039,6661,6661,1026,1868,1868
janfeb,A83015,4124,9291,9291,2274,3521,3521
janfeb,A83016,7209,13599,13599,4275,5586,5586
janfeb,A83018,6297,15728,15728,3426,6847,6847
janfeb,A83020,8030,16217,16217,4433,6395,6395
janfeb,A83021,6890,16822,16822,3613,5427,5427
janfeb,A83022,16439,31212,31212,8141,12710,12710
janfeb,A83023,6034,12286,12286,2397,4382,4382
janfeb,A83024,3049,6490,6490,1621,2740,2740
janfeb,A83025,7292,13512,13512,1915,2478,2478
janfeb,A83026,4624,9350,9350,3061,4295,4295
janfeb,A83027,4825,8994,8994,2316,3693,3693
janfeb,A83028,4561,8440,8440,1470,2585,2585
janfeb,A83029,3212,6997,6997,1943,2812,2812
janfeb,A83030,12254,18669,18669,5028,6363,6363
janfeb,A83031,3434,9589,9589,1981,3438,3438
janfeb,A83032,1498,3444,3444,904,1660,1660
janfeb,A83033,7521,13372,13372,2262,3804,3804
janfeb,A83034,6044,11709,11709,3226,5280,5280
janfeb,A83035,4835,8605,8605,1999,2908,2908
janfeb,A83036,3548,9877,9877,2174,4183,4183
janfeb,A83037,10194,17705,17705,4587,6694,6694
janfeb,A83038,3307,6023,6023,1049,1736,1736
janfeb,A83040,3244,9149,9149,1490,3338,3338
janfeb,A83041,5531,10429,10429,2235,3916,3916
janfeb,A83043,1162,2648,2648,556,1088,1088
janfeb,A83044,4345,10354,10354,1457,3550,3550
janfeb,A83045,11140,19670,19670,5795,7495,7495
janfeb,A83046,4600,10933,10933,1855,3877,3877
janfeb,A83047,4047,10250,10250,1795,3405,3405
janfeb,A83048,3598,7039,7039,2296,3386,3386
janfeb,A83049,8424,18061,18061,3266,6047,6047
janfeb,A83050,6599,12933,12933,3095,5585,5585
janfeb,A83051,6233,13908,13908,2150,4635,4635
janfeb,A83052,2947,7921,7921,1821,3803,3803
janfeb,A83054,14021,23426,23426,9770,13003,13003
janfeb,A83055,2731,5798,5798,2211,3436,3436
janfeb,A83057,17258,30771,30771,4620,8319,8319
janfeb,A83060,1292,3400,3400,870,1671,1671
janfeb,A83061,1584,3885,3885,1025,2088,2088
janfeb,A83066,5216,13181,13181,1413,2790,2790
janfeb,A83070,1385,4903,4903,710,1993,1993
janfeb,A83071,2166,5048,5048,684,1169,1169
janfeb,A83072,3071,5661,5661,1020,1585,1585
janfeb,A83073,2296,5634,5634,551,1280,1280
janfeb,A83074,3630,10432,10432,1276,2165,2165
janfeb,A83075,3955,8813,8813,1424,2870,2870
janfeb,A83610,1901,5251,5251,302,645,645
janfeb,A83616,3703,9341,9341,1381,2557,2557
janfeb,A83617,1718,3231,3231,727,1292,1292
janfeb,A83618,4537,8973,8973,2662,4013,4013
janfeb,A83619,1848,3771,3771,1012,1561,1561
janfeb,A83622,1469,2901,2901,960,1356,1356
janfeb,A83626,1279,2783,2783,571,857,857
janfeb,A83627,4791,8143,8143,1733,2676,2676
janfeb,A83634,1823,5058,5058,553,1167,1167
janfeb,A83635,1714,3922,3922,555,1084,1084
janfeb,A83636,5562,9547,9547,3268,4524,4524
janfeb,A83637,2154,4200,4200,1016,1326,1326
janfeb,A83641,3765,5298,5298,924,1036,1036
janfeb,A83644,2280,3586,3586,945,1314,1314
janfeb,A84002,3794,7159,7159,2694,3956,3956
janfeb,A84005,11499,18085,18085,5217,7407,7407
janfeb,A84006,10978,23459,23459,6639,10030,10030
janfeb,A84007,9680,14565,14565,4063,5669,5669
janfeb,A84008,2233,4727,4727,1478,2226,2226
janfeb,A84009,16170,28668,28668,8953,12566,12566
janfeb,A84011,2751,6397,6397,1861,3388,3388
janfeb,A84013,1806,5087,5087,887,1942,1942
janfeb,A84014,4426,10435,10435,3221,5575,5575
janfeb,A84016,2726,6593,6593,1543,3037,3037
janfeb,A84018,3775,8179,8179,3324,5467,5467
janfeb,A84020,2798,6895,6895,1902,2754,2754
janfeb,A84022,11376,18683,18683,4175,5804,5804
janfeb,A84024,5388,10360,10360,3829,6195,6195
janfeb,A84025,3121,6462,6462,1559,2359,2359
janfeb,A84026,8088,12313,12313,5311,6265,6265
janfeb,A84027,1407,3356,3356,717,1217,1217
janfeb,A84028,7584,16161,16161,2133,4132,4132
janfeb,A84029,3194,4956,4956,2058,2464,2464
janfeb,A84030,7161,13402,13402,5194,7339,7339
janfeb,A84031,6519,12307,12307,4211,5982,5982
janfeb,A84033,1963,4492,4492,1612,2931,2931
janfeb,A84034,2142,5478,5478,1567,2709,2709
janfeb,A84035,1998,4341,4341,1681,2792,2792
janfeb,A84036,40409,68018,68018,10434,18418,18418
janfeb,A84037,2549,6097,6097,588,1721,1721
janfeb,A84038,4381,9620,9620,2476,4446,4446
janfeb,A84039,1995,5964,5964,1317,2829,2829
janfeb,A84040,1502,3377,3377,1193,1695,1695
janfeb,A84042,1012,1963,1963,307,826,826
janfeb,A84044,3179,6867,6867,1953,2922,2922
janfeb,A84045,3479,6205,6205,852,1799,1799
janfeb,A84047,2018,5326,5326,1338,2768,2768
janfeb,A84604,2166,5262,5262,1846,3216,3216
janfeb,A84614,1319,1917,1917,1258,1466,1466
janfeb,A84619,2534,5223,5223,1229,1969,1969
janfeb,A85001,3383,6153,6153,2942,3559,3559
janfeb,A85002,1265,2818,2818,795,1248,1248
janfeb,A85004,4366,8484,8484,1631,2738,2738
janfeb,A85005,9266,15226,15226,6197,7945,7945
janfeb,A85006,8186,15805,15805,6027,8742,8742
janfeb,A85007,3310,7008,7008,2228,3559,3559
janfeb,A85008,8592,15747,15747,5547,7531,7531
janfeb,A85009,3779,5543,5543,1860,1964,1964
janfeb,A85010,6731,12515,12515,4190,5756,5756
janfeb,A85011,3983,6270,6270,3053,3523,3523
janfeb,A85013,836,2393,2393,449,1106,1106
janfeb,A85014,5610,15113,15113,2373,4720,4720
janfeb,A85016,3809,8645,8645,3298,5106,5106
janfeb,A85017,1854,4408,4408,1576,2942,2942
janfeb,A85018,2317,3858,3858,1354,1797,1797
janfeb,A85019,4550,8215,8215,1575,2667,2667
janfeb,A85020,5569,12473,12473,4033,5797,5797
janfeb,A85021,1113,2239,2239,805,1147,1147
janfeb,A85024,883,1966,1966,681,1037,1037
janfeb,A85026,3067,4752,4752,2239,2407,2407
janfeb,A85611,3308,5439,5439,1866,2823,2823
janfeb,A85614,1951,5337,5337,1496,3365,3365
janfeb,A85616,1371,4142,4142,915,2081,2081
janfeb,A85617,1938,4283,4283,1161,1943,1943
janfeb,A86003,21886,38273,38273,8182,14619,14619
janfeb,A86004,7082,12197,12197,4519,6638,6638
janfeb,A86005,4336,7673,7673,1892,2896,2896
janfeb,A86006,2046,4313,4313,1115,2157,2157
janfeb,A86008,6291,10510,10510,1012,2483,2483
janfeb,A86010,8631,13893,13893,3013,4946,4946
janfeb,A86011,9746,19464,19464,2597,4961,4961
janfeb,A86012,3318,7484,7484,1725,3120,3120
janfeb,A86013,4414,7236,7236,2854,3642,3642
janfeb,A86016,8726,12542,12542,7184,8020,8020
janfeb,A86017,6828,11730,11730,5672,7143,7143
janfeb,A86018,15093,20966,20966,9554,11606,11606
janfeb,A86020,7689,12727,12727,2483,2851,2851
janfeb,A86021,5474,9957,9957,2643,3942,3942
janfeb,A86022,6312,8693,8693,4483,4848,4848
janfeb,A86023,8270,12546,12546,7070,8601,8601
janfeb,A86024,2678,5408,5408,1973,3144,3144
janfeb,A86025,4808,10380,10380,2526,4504,4504
janfeb,A86026,5552,9455,9455,4038,5871,5871
janfeb,A86027,2097,4550,4550,1249,2238,2238
janfeb,A86028,3772,6516,6516,2193,3123,3123
janfeb,A86029,19071,28286,28286,2588,5903,5903
janfeb,A86030,5572,11599,11599,2803,4145,4145
janfeb,A86031,3507,6902,6902,2150,3415,3415
janfeb,A86033,2945,5625,5625,1849,2726,2726
janfeb,A86037,2445,5595,5595,883,1812,1812
janfeb,A86038,3973,6855,6855,3131,4429,4429
janfeb,A86040,7142,10003,10003,4526,5169,5169
janfeb,A86041,1973,4644,4644,970,1865,1865
janfeb,A86601,3499,7062,7062,1513,2301,2301
janfeb,A87002,11503,20920,20920,4162,7101,7101
janfeb,A87004,7425,17212,17212,2093,5655,5655
janfeb,A87005,3405,9751,9751,2621,5085,5085
janfeb,A87007,10069,17502,17502,5394,7017,7017
janfeb,A87008,3931,7542,7542,2248,3724,3724
janfeb,A87009,5916,12896,12896,3482,5442,5442
janfeb,A87011,3759,7151,7151,1184,2762,2762
janfeb,A87012,1719,4096,4096,1143,2160,2160
janfeb,A87013,5536,9375,9375,2671,3713,3713
janfeb,A87016,4567,10175,10175,3134,5407,5407
janfeb,A87017,3586,6349,6349,2319,3087,3087
janfeb,A87020,3524,8722,8722,2760,5321,5321
janfeb,A87022,7349,11153,11153,3262,3986,3986
janfeb,A87029,14405,24218,24218,7250,9876,9876
janfeb,A87030,3095,5699,5699,2404,3130,3130
janfeb,A87612,6289,9319,9319,5097,5753,5753
janfeb,A87615,2895,5242,5242,1659,2591,2591
janfeb,A88001,2413,3636,3636,775,1062,1062
janfeb,A88002,8096,15109,15109,3942,6341,6341
janfeb,A88003,6565,16637,16637,3334,7958,7958
janfeb,A88004,3801,7762,7762,2141,3243,3243
janfeb,A88005,3447,5352,5352,832,1314,1314
janfeb,A88006,2812,7129,7129,883,1635,1635
janfeb,A88008,1796,4774,4774,987,1844,1844
janfeb,A88009,1416,3992,3992,732,1999,1999
janfeb,A88010,1324,3235,3235,844,1439,1439
janfeb,A88012,4197,6946,6946,3231,3730,3730
janfeb,A88013,11096,17949,17949,3273,4689,4689
janfeb,A88014,1165,1517,1517,730,751,751
janfeb,A88015,3892,6581,6581,809,1194,1194
janfeb,A88016,1865,5707,5707,1223,2448,2448
janfeb,A88022,3252,7448,7448,756,2121,2121
janfeb,A88023,1652,3512,3512,1137,1979,1979
janfeb,A88025,1728,3310,3310,1183,1520,1520
janfeb,A88601,1231,3777,3777,196,887,887
janfeb,A88608,2817,4500,4500,977,1504,1504
janfeb,A88613,1472,4320,4320,1007,2329,2329
janfeb,A89001,3251,8976,8976,1933,4189,4189
janfeb,A89002,1524,3764,3764,826,1846,1846
janfeb,A89004,6225,9719,9719,4769,5680,5680
janfeb,A89005,1936,4680,4680,1080,2259,2259
janfeb,A89006,2597,5703,5703,1397,2374,2374
janfeb,A89007,4195,8936,8936,1664,3460,3460
janfeb,A89008,4805,6414,6414,1520,1905,1905
janfeb,A89009,3774,8149,8149,1690,3647,3647
janfeb,A89010,4514,11605,11605,2025,3539,3539
janfeb,A89011,1120,3362,3362,392,1158,1158
janfeb,A89012,5798,10642,10642,2919,4997,4997
janfeb,A89013,1336,3671,3671,889,1866,1866
janfeb,A89015,6005,10227,10227,1410,2995,2995
janfeb,A89016,5509,9084,9084,3830,5306,5306
janfeb,A89017,3831,9842,9842,1626,4228,4228
janfeb,A89018,2298,3552,3552,1276,1558,1558
janfeb,A89019,9866,14896,14896,2652,3998,3998
janfeb,A89020,6977,9521,9521,5051,5838,5838
janfeb,A89021,4241,7032,7032,2528,3140,3140
janfeb,A89022,1924,3960,3960,1385,2170,2170
janfeb,A89023,4455,8580,8580,2898,4615,4615
janfeb,A89024,2624,6228,6228,1164,2681,2681
janfeb,A89025,2748,6668,6668,1546,2712,2712
janfeb,A89026,2337,5216,5216,828,1502,1502
janfeb,A89027,4073,6323,6323,2783,3324,3324
janfeb,A89028,2944,5961,5961,2027,3097,3097
janfeb,A89030,3916,6632,6632,2030,2741,2741
janfeb,A89031,2755,5712,5712,987,2330,2330
janfeb,A89032,3060,5974,5974,1498,2371,2371
janfeb,A89034,1260,2674,2674,432,816,816
janfeb,A89035,3514,9002,9002,1307,3878,3878
janfeb,A89036,969,1826,1826,670,1059,1059
janfeb,A89040,1686,3250,3250,650,1297,1297
janfeb,A89041,4440,8296,8296,867,1847,1847
janfeb,A89614,1765,3792,3792,828,1608,1608
janfeb,A89616,545,1773,1773,492,1175,1175
janfeb,A89617,1012,3250,3250,626,1582,1582
janfeb,A89623,571,1594,1594,455,930,930
janfeb,B81003,14895,20090,20090,1814,2116,2116
janfeb,B81004,8140,14041,14041,6122,7994,7994
janfeb,B81005,13983,24859,24859,4540,5796,5796
janfeb,B81006,5572,12282,12282,2251,3362,3362
janfeb,B81007,5548,12467,12467,1426,3162,3162
janfeb,B81008,37916,51053,51053,16305,19164,19164
janfeb,B81009,1906,6027,6027,907,2121,2121
janfeb,B81011,2266,6217,6217,1511,3078,3078
janfeb,B81012,1631,2870,2870,1130,1248,1248
janfeb,B81013,4803,7370,7370,1909,2863,2863
janfeb,B81015,13875,19677,19677,8911,9545,9545
janfeb,B81016,6760,10369,10369,3823,4381,4381
janfeb,B81017,4958,12701,12701,1939,5619,5619
janfeb,B81018,4550,7669,7669,1737,2229,2229
janfeb,B81020,5617,9924,9924,5258,6801,6801
janfeb,B81022,7513,15702,15702,3508,5713,5713
janfeb,B81024,3070,6781,6781,2145,2960,2960
janfeb,B81025,17925,40310,40310,14377,23641,23641
janfeb,B81026,12109,19993,19993,7709,9582,9582
janfeb,B81027,3009,5597,5597,2060,3042,3042
janfeb,B81029,4370,11948,11948,3026,6236,6236
janfeb,B81030,13377,27785,27785,5226,8047,8047
janfeb,B81031,12443,21840,21840,9116,12381,12381
janfeb,B81032,1672,2931,2931,1236,1618,1618
janfeb,B81034,7538,12176,12176,3314,4350,4350
janfeb,B81035,1631,3518,3518,1380,1961,1961
janfeb,B81036,12376,21286,21286,10333,12908,12908
janfeb,B81037,4016,11024,11024,2314,4074,4074
janfeb,B81038,3765,5657,5657,2655,3365,3365
janfeb,B81039,19758,38021,38021,7884,13615,13615
janfeb,B81040,3491,7932,7932,2869,4580,4580
janfeb,B81041,7629,11631,11631,1275,2575,2575
janfeb,B81042,9107,15747,15747,7181,9068,9068
janfeb,B81043,4228,11310,11310,2618,5298,5298
janfeb,B81045,7498,15535,15535,3555,5088,5088
janfeb,B81046,6727,10816,10816,1673,2824,2824
janfeb,B81047,1236,4563,4563,975,2544,2544
janfeb,B81048,22457,44164,44164,9038,13746,13746
janfeb,B81051,4375,8634,8634,3065,4102,4102
janfeb,B81054,3387,5434,5434,2272,2391,2391
janfeb,B81061,15211,39848,39848,6322,13933,13933
janfeb,B81063,2010,5826,5826,731,1923,1923
janfeb,B81064,6653,12252,12252,4917,6910,6910
janfeb,B81068,9950,16164,16164,2830,3515,3515
janfeb,B81069,21720,33556,33556,9423,10731,10731
janfeb,B81074,3602,8983,8983,2354,4249,4249
janfeb,B81075,2864,4044,4044,2581,2965,2965
janfeb,B81082,1372,3983,3983,595,1390,1390
janfeb,B81085,8933,24843,24843,4069,10378,10378
janfeb,B81087,5093,8371,8371,1952,2620,2620
janfeb,B81088,6612,12646,12646,2681,3845,3845
janfeb,B81090,2801,4686,4686,1071,1377,1377
janfeb,B81091,5589,8092,8092,4237,5260,5260
janfeb,B81092,6893,11682,11682,5629,6384,6384
janfeb,B81097,734,1688,1688,419,901,901
janfeb,B81099,9202,15036,15036,2940,4424,4424
janfeb,B81100,870,2897,2897,484,1090,1090
janfeb,B81101,9049,19079,19079,3417,5936,5936
janfeb,B81104,1542,3938,3938,850,1760,1760
janfeb,B81108,1606,3009,3009,821,1427,1427
janfeb,B81109,18181,29409,29409,3312,6933,6933
janfeb,B81112,16259,28072,28072,701,2137,2137
janfeb,B81113,12521,19002,19002,7561,9927,9927
janfeb,B81118,3094,6910,6910,1787,2796,2796
janfeb,B81119,1462,3835,3835,867,1508,1508
janfeb,B81606,2834,4084,4084,822,941,941
janfeb,B81616,778,1632,1632,651,994,994
janfeb,B81617,9399,16389,16389,4760,7852,7852
janfeb,B81619,1259,4575,4575,655,1856,1856
janfeb,B81628,1218,2281,2281,1097,1559,1559
janfeb,B81631,1138,2835,2835,229,333,333
janfeb,B81635,1015,2488,2488,775,1258,1258
janfeb,B81642,3541,5694,5694,2231,3014,3014
janfeb,B81647,1801,2892,2892,642,746,746
janfeb,B81648,916,1933,1933,581,1067,1067
janfeb,B81653,2545,6811,6811,973,1910,1910
janfeb,B81655,2735,3817,3817,267,394,394
janfeb,B81656,5360,9069,9069,464,803,803
janfeb,B81663,1558,2680,2680,552,715,715
janfeb,B81665,2433,3677,3677,230,501,501
janfeb,B81666,917,1601,1601,865,1267,1267
janfeb,B81697,1338,2422,2422,1234,1819,1819
janfeb,B82002,6645,10203,10203,1373,2661,2661
janfeb,B82004,9699,16139,16139,1084,3108,3108
janfeb,B82005,25347,49402,49402,13563,22185,22185
janfeb,B82007,6811,15282,15282,3113,6439,6439
janfeb,B82008,5910,10871,10871,4107,5776,5776
janfeb,B82010,4978,8864,8864,3115,4940,4940
janfeb,B82011,2572,6170,6170,1429,2736,2736
janfeb,B82012,4924,12116,12116,2406,6518,6518
janfeb,B82013,7112,18349,18349,2787,6396,6396
janfeb,B82014,2623,5684,5684,1533,3044,3044
janfeb,B82016,14802,21355,21355,9999,12733,12733
janfeb,B82017,3666,11423,11423,991,3637,3637
janfeb,B82018,2171,5217,5217,1781,2737,2737
janfeb,B82019,1080,3540,3540,802,1745,1745
janfeb,B82021,3505,8049,8049,2332,4772,4772
janfeb,B82022,3392,6901,6901,1932,2877,2877
janfeb,B82023,4540,8224,8224,2006,3203,3203
janfeb,B82024,2461,7001,7001,1289,3650,3650
janfeb,B82025,5105,15921,15921,3509,8010,8010
janfeb,B82026,10686,25917,25917,6894,13912,13912
janfeb,B82027,13711,20558,20558,4411,6950,6950
janfeb,B82029,1649,3775,3775,482,1295,1295
janfeb,B82030,2640,6284,6284,1294,2455,2455
janfeb,B82031,8774,15115,15115,6911,8979,8979
janfeb,B82032,16552,24011,24011,9140,12184,12184
janfeb,B82033,4378,13446,13446,2030,4348,4348
janfeb,B82034,2439,5122,5122,1834,2666,2666
janfeb,B82035,1917,3852,3852,1018,1584,1584
janfeb,B82036,4808,9157,9157,1714,3466,3466
janfeb,B82037,5138,10440,10440,2113,3345,3345
janfeb,B82038,6800,19361,19361,2289,5990,5990
janfeb,B82041,4884,12033,12033,3085,5416,5416
janfeb,B82042,5227,9232,9232,4358,5445,5445
janfeb,B82044,6754,12795,12795,3597,5525,5525
janfeb,B82045,2035,3975,3975,1199,1661,1661
janfeb,B82046,1198,3430,3430,253,1118,1118
janfeb,B82047,3784,8130,8130,2791,4211,4211
janfeb,B82049,4692,8109,8109,2546,3635,3635
janfeb,B82050,7782,20459,20459,3480,9190,9190
janfeb,B82053,3932,14533,14533,2409,4855,4855
janfeb,B82054,5804,17417,17417,3036,6307,6307
janfeb,B82057,4886,8868,8868,1759,3319,3319
janfeb,B82059,9731,14609,14609,1957,4418,4418
janfeb,B82060,9503,15759,15759,6586,8847,8847
janfeb,B82061,4906,8588,8588,4289,5516,5516
janfeb,B82063,2446,8647,8647,1555,3739,3739
janfeb,B82064,1221,3404,3404,841,1607,1607
janfeb,B82066,4067,8681,8681,2763,3829,3829
janfeb,B82067,3349,7996,7996,2188,4303,4303
janfeb,B82068,1697,4401,4401,363,974,974
janfeb,B82069,5899,10380,10380,3059,4179,4179
janfeb,B82071,1583,4617,4617,1282,2879,2879
janfeb,B82072,1579,3437,3437,1399,2259,2259
janfeb,B82073,1944,8044,8044,817,2742,2742
janfeb,B82074,7077,14936,14936,5887,9378,9378
janfeb,B82075,5911,11405,11405,2835,4368,4368
janfeb,B82077,3360,9414,9414,2340,3751,3751
janfeb,B82078,2408,6676,6676,1706,3647,3647
janfeb,B82079,909,3345,3345,547,1601,1601
janfeb,B82080,17503,24788,24788,9492,13276,13276
janfeb,B82081,6292,9045,9045,1812,3019,3019
janfeb,B82083,27333,51695,51695,4756,12197,12197
janfeb,B82086,1524,4165,4165,984,2140,2140
janfeb,B82088,3288,8804,8804,1683,2819,2819
janfeb,B82097,3724,8178,8178,1475,3276,3276
janfeb,B82098,9938,19037,19037,5542,9490,9490
janfeb,B82100,9839,14361,14361,1318,2961,2961
janfeb,B82101,5667,8943,8943,2602,3874,3874
janfeb,B82104,6624,11199,11199,3863,4940,4940
janfeb,B82105,5229,11338,11338,2752,4602,4602
janfeb,B82106,1540,4051,4051,853,1676,1676
janfeb,B82609,1428,4024,4024,596,1630,1630
janfeb,B82619,695,1801,1801,226,653,653
janfeb,B82622,563,1141,1141,496,761,761
janfeb,B82628,1185,3667,3667,651,1267,1267
janfeb,B83002,2321,5774,5774,1944,3071,3071
janfeb,B83005,7463,11366,11366,4141,5078,5078
janfeb,B83008,5555,18479,18479,2232,4462,4462
janfeb,B83009,7120,13513,13513,5106,7198,7198
janfeb,B83010,12184,16532,16532,3542,4959,4959
janfeb,B83012,4406,9947,9947,2192,3002,3002
janfeb,B83014,6856,16003,16003,4992,8755,8755
janfeb,B83015,4587,8057,8057,1691,2222,2222
