period,GP_CODE,all_fast,all_known,all_total,gp_fast,gp_known,gp_total
mar,G81100,7131,12092,12092,2478,4237,4237
mar,G81102,6494,10160,10160,4459,5568,5568
mar,G81104,4384,7724,7724,2188,3036,3036
mar,G81613,1050,2092,2092,938,1473,1473
mar,G81614,1432,3015,3015,1088,1671,1671
mar,G81634,2467,3938,3938,1625,2023,2023
mar,G81638,7286,17418,17418,478,1590,1590
mar,G81641,1547,2552,2552,693,841,841
mar,G81646,229,641,641,181,374,374
mar,G81656,444,1392,1392,345,834,834
mar,G81658,4897,8798,8798,3731,4703,4703
mar,G81663,1587,2504,2504,1035,1442,1442
mar,G81669,327,945,945,233,450,450
mar,G81689,580,1119,1119,481,798,798
mar,G81694,405,989,989,297,506,506
mar,G82002,2980,4678,4678,826,1513,1513
mar,G82006,1865,5844,5844,1252,3543,3543
mar,G82007,1655,3492,3492,1120,1667,1667
mar,G82013,2838,5257,5257,1954,3308,3308
mar,G82014,2978,7763,7763,1385,3388,3388
mar,G82015,2351,4036,4036,1776,2019,2019
mar,G82016,1758,4763,4763,941,2402,2402
mar,G82018,1564,2700,2700,719,1004,1004
