section,measure,group,value,unit,weighted_base_n,ci95_low,ci95_high,period,source,note
age_band_robustness,Diversion rate (Q14) by age band,least_deprived / 35 to 44,8.2,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion gap by age band,gap / 35 to 44,8.2,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,most_deprived / 45 to 54,9.7,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,least_deprived / 45 to 54,5.6,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back gap by age band,gap / 45 to 54,4.1,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,most_deprived / 45 to 54,12.9,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,least_deprived / 45 to 54,6.6,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion gap by age band,gap / 45 to 54,6.3,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,most_deprived / 55 to 64,8.3,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,least_deprived / 55 to 64,4.8,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back gap by age band,gap / 55 to 64,3.5,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,most_deprived / 55 to 64,9.2,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,least_deprived / 55 to 64,5.0,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion gap by age band,gap / 55 to 64,4.2,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,most_deprived / 65 to 74,8.2,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,least_deprived / 65 to 74,4.2,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back gap by age band,gap / 65 to 74,4.0,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,most_deprived / 65 to 74,7.7,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,least_deprived / 65 to 74,4.7,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion gap by age band,gap / 65 to 74,3.0,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,most_deprived / 75 to 84,6.1,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,least_deprived / 75 to 84,3.6,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back gap by age band,gap / 75 to 84,2.5,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,most_deprived / 75 to 84,6.2,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,least_deprived / 75 to 84,5.3,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion gap by age band,gap / 75 to 84,0.9,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,most_deprived / 85 or over,5.7,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back rate (Q12) by age band,least_deprived / 85 or over,3.5,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Come-back gap by age band,gap / 85 or over,2.2,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,most_deprived / 85 or over,9.0,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion rate (Q14) by age band,least_deprived / 85 or over,5.4,%,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
age_band_robustness,Diversion gap by age band,gap / 85 or over,3.6,percentage points,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
