Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Wait_Time,Core_Category,Value
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,121_180,Core_10_1830,31.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,121_180,Core_8_10,6.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,181_240,Core_10_1830,27.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,181_240,Core_8_10,8.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,1_30,Core_10_1830,32.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,1_30,Core_8_10,10.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,241_300,Core_10_1830,21.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,241_300,Core_8_10,9.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,31_60,Core_10_1830,16.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,31_60,Core_8_10,2.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,61_90,Core_10_1830,15.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,61_90,Core_8_10,5.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,91_120,Core_10_1830,11.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,91_120,Core_8_10,5.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,>300,Core_10_1830,138.0
2026-06-01,Y63,QHM,16C,U07032,A81002,CBT003,>300,Core_8_10,40.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,121_180,Core_10_1830,11.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,121_180,Core_8_10,1.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,181_240,Core_10_1830,7.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,1_30,Core_10_1830,69.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,1_30,Core_8_10,33.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,241_300,Core_10_1830,5.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,31_60,Core_10_1830,33.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,31_60,Core_8_10,15.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,61_90,Core_10_1830,14.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,61_90,Core_8_10,4.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,91_120,Core_10_1830,7.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,91_120,Core_8_10,4.0
2026-06-01,Y63,QHM,16C,U02671,A81004,CBT003,>300,Core_10_1830,21.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,121_180,Core_10_1830,11.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,121_180,Core_8_10,2.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,181_240,Core_10_1830,6.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,181_240,Core_8_10,5.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,1_30,Core_10_1830,35.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,1_30,Core_8_10,2.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,241_300,Core_10_1830,9.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,241_300,Core_8_10,3.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,31_60,Core_10_1830,11.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,61_90,Core_10_1830,7.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,61_90,Core_8_10,2.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,91_120,Core_10_1830,6.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,91_120,Core_8_10,1.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,>300,Core_10_1830,17.0
2026-06-01,Y63,QHM,16C,U07842,A81005,CBT003,>300,Core_8_10,14.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,121_180,Core_10_1830,35.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,121_180,Core_8_10,14.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,181_240,Core_10_1830,47.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,181_240,Core_8_10,6.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,1_30,Core_10_1830,32.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,1_30,Core_8_10,15.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,241_300,Core_10_1830,24.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,241_300,Core_8_10,9.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,31_60,Core_10_1830,25.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,31_60,Core_8_10,5.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,61_90,Core_10_1830,25.0
2026-06-01,Y63,QHM,16C,U07032,A81006,CBT003,61_90,Core_8_10,5.0
