Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Wait_Time,Core_Category,Value
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,121_180,Core_10_1830,2.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,121_180,Core_8_10,5.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,181_240,Core_10_1830,3.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,1_30,Core_10_1830,89.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,1_30,Core_8_10,32.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,31_60,Core_10_1830,4.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,31_60,Core_8_10,6.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,61_90,Core_10_1830,2.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,61_90,Core_8_10,3.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,91_120,Core_10_1830,3.0
2026-06-01,Y62,QE1,01K,U59570,A82005,CBT003,91_120,Core_8_10,2.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,121_180,Core_10_1830,18.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,121_180,Core_8_10,13.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,181_240,Core_10_1830,10.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,181_240,Core_8_10,5.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,1_30,Core_10_1830,62.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,1_30,Core_8_10,18.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,241_300,Core_10_1830,6.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,241_300,Core_8_10,2.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,31_60,Core_10_1830,44.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,31_60,Core_8_10,20.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,61_90,Core_10_1830,25.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,61_90,Core_8_10,12.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,91_120,Core_10_1830,21.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,91_120,Core_8_10,7.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,>300,Core_10_1830,4.0
2026-06-01,Y62,QE1,01K,U17992,A82007,CBT003,>300,Core_8_10,7.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,121_180,Core_10_1830,19.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,121_180,Core_8_10,6.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,181_240,Core_10_1830,13.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,181_240,Core_8_10,7.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,1_30,Core_10_1830,80.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,1_30,Core_8_10,23.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,241_300,Core_10_1830,7.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,241_300,Core_8_10,7.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,31_60,Core_10_1830,31.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,31_60,Core_8_10,11.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,61_90,Core_10_1830,25.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,61_90,Core_8_10,6.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,91_120,Core_10_1830,14.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,91_120,Core_8_10,9.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,>300,Core_10_1830,17.0
2026-06-01,Y62,QE1,01K,U17992,A82008,CBT003,>300,Core_8_10,20.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,121_180,Core_10_1830,17.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,121_180,Core_8_10,11.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,181_240,Core_10_1830,11.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,181_240,Core_8_10,4.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,1_30,Core_10_1830,37.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,1_30,Core_8_10,15.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,241_300,Core_10_1830,11.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,241_300,Core_8_10,2.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,31_60,Core_10_1830,27.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,31_60,Core_8_10,5.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,61_90,Core_10_1830,16.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,61_90,Core_8_10,5.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,91_120,Core_10_1830,7.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,91_120,Core_8_10,4.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,>300,Core_10_1830,33.0
2026-06-01,Y62,QE1,01K,U17992,A82009,CBT003,>300,Core_8_10,7.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,0,Core_10_1830,1.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,121_180,Core_10_1830,8.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,121_180,Core_8_10,10.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,181_240,Core_10_1830,9.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,181_240,Core_8_10,3.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,1_30,Core_10_1830,95.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,1_30,Core_8_10,40.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,1_30,Non-Core,1.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,241_300,Core_10_1830,4.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,31_60,Core_10_1830,28.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,31_60,Core_8_10,6.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,61_90,Core_10_1830,13.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,61_90,Core_8_10,4.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,91_120,Core_10_1830,5.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,91_120,Core_8_10,4.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,91_120,Non-Core,1.0
2026-06-01,Y62,QE1,01K,U17992,A82010,CBT003,>300,Core_10_1830,1.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,121_180,Core_10_1830,19.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,121_180,Core_8_10,1.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,181_240,Core_10_1830,8.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,181_240,Core_8_10,8.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,1_30,Core_10_1830,103.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,1_30,Core_8_10,12.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,241_300,Core_10_1830,3.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,241_300,Core_8_10,7.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,31_60,Core_10_1830,38.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,31_60,Core_8_10,5.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,61_90,Core_10_1830,22.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,61_90,Core_8_10,3.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,91_120,Core_10_1830,21.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,91_120,Core_8_10,1.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,>300,Core_10_1830,2.0
2026-06-01,Y62,QE1,01K,U35939,A82025,CBT003,>300,Core_8_10,20.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,121_180,Core_10_1830,28.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,121_180,Core_8_10,12.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,181_240,Core_10_1830,21.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,181_240,Core_8_10,7.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,1_30,Core_10_1830,51.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,1_30,Core_8_10,30.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,241_300,Core_10_1830,22.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,241_300,Core_8_10,5.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,31_60,Core_10_1830,31.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,31_60,Core_8_10,13.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,61_90,Core_10_1830,18.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,61_90,Core_8_10,6.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,91_120,Core_10_1830,33.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,91_120,Core_8_10,5.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,>300,Core_10_1830,86.0
2026-06-01,Y62,QE1,01K,U35939,A82026,CBT003,>300,Core_8_10,18.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,121_180,Core_10_1830,17.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,181_240,Core_10_1830,3.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,1_30,Core_10_1830,112.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,1_30,Core_8_10,49.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,241_300,Core_10_1830,3.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,31_60,Core_10_1830,30.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,31_60,Core_8_10,6.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,61_90,Core_10_1830,12.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,61_90,Core_8_10,3.0
2026-06-01,Y62,QE1,01K,U35939,A82027,CBT003,91_120,Core_10_1830,6.0
2026-06-01,Y62,QE1,01K,U59980,A82030,CBT003,121_180,Core_10_1830,9.0
2026-06-01,Y62,QE1,01K,U59980,A82030,CBT003,121_180,Core_8_10,9.0
