Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Wait_Time,Core_Category,Value
2026-06-02,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Core_8_10,66.0
2026-06-02,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Non-Core,11.0
2026-06-02,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Core_10_1830,347.0
2026-06-02,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Core_8_10,265.0
2026-06-02,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Non-Core,34.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,0,Core_10_1830,13.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,0,Core_8_10,1.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Core_10_1830,302.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Core_8_10,87.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Non-Core,6.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Core_10_1830,200.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Core_8_10,67.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Non-Core,3.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Core_10_1830,736.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Core_8_10,225.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Non-Core,15.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Core_10_1830,143.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Core_8_10,59.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Non-Core,10.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Core_10_1830,412.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Core_8_10,138.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Non-Core,10.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Core_10_1830,289.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Core_8_10,92.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Non-Core,6.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Core_10_1830,202.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Core_8_10,56.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Non-Core,5.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Core_10_1830,372.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Core_8_10,227.0
2026-06-03,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Non-Core,23.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,0,Core_10_1830,9.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Core_10_1830,233.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Core_8_10,70.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Non-Core,11.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Core_10_1830,144.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Core_8_10,74.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Non-Core,7.0
