Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Wait_Time,Core_Category,Value
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,121_180,Core_10_1830,5.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,181_240,Core_10_1830,3.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,181_240,Core_8_10,1.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,1_30,Core_10_1830,52.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,1_30,Core_8_10,12.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,1_30,Non-Core,1.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,241_300,Core_10_1830,2.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,241_300,Core_8_10,1.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,31_60,Core_10_1830,27.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,31_60,Core_8_10,4.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,61_90,Core_10_1830,22.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,61_90,Core_8_10,2.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,91_120,Core_10_1830,9.0
2026-06-01,Y61,S1Y5D,06H,U88254,D81001,CBT003,91_120,Core_8_10,3.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,121_180,Core_10_1830,15.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,121_180,Core_8_10,14.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,181_240,Core_10_1830,4.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,181_240,Core_8_10,12.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,1_30,Core_10_1830,57.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,1_30,Core_8_10,21.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,241_300,Core_10_1830,7.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,241_300,Core_8_10,5.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,31_60,Core_10_1830,22.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,31_60,Core_8_10,6.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,61_90,Core_10_1830,17.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,61_90,Core_8_10,3.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,91_120,Core_10_1830,10.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,91_120,Core_8_10,6.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,91_120,Non-Core,1.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,>300,Core_10_1830,63.0
2026-06-01,Y61,S1Y5D,06H,U89554,D81004,CBT003,>300,Core_8_10,39.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,121_180,Core_10_1830,14.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,121_180,Core_8_10,2.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,181_240,Core_10_1830,2.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,181_240,Core_8_10,6.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,1_30,Core_10_1830,42.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,1_30,Core_8_10,14.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,1_30,Non-Core,1.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,241_300,Core_10_1830,3.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,241_300,Core_8_10,3.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,31_60,Core_10_1830,42.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,31_60,Core_8_10,12.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,61_90,Core_10_1830,14.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,61_90,Core_8_10,9.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,91_120,Core_10_1830,10.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,91_120,Core_8_10,5.0
2026-06-01,Y61,S1Y5D,06H,U95574,D81010,CBT003,>300,Core_8_10,7.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,121_180,Core_10_1830,11.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,121_180,Core_8_10,6.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,181_240,Core_10_1830,4.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,181_240,Core_8_10,7.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,1_30,Core_10_1830,45.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,1_30,Core_8_10,11.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,241_300,Core_10_1830,3.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,241_300,Core_8_10,8.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,31_60,Core_10_1830,32.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,31_60,Core_8_10,5.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,61_90,Core_10_1830,12.0
2026-06-01,Y61,S1Y5D,06H,U79015,D81011,CBT003,61_90,Core_8_10,2.0
